airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
UUDD,75,7,0,0,arrivals,0.0,0.0
LBWN,75,68,68,70,arrivals,0.9066666666666666,0.9333333333333333
LFMT,75,63,63,63,arrivals,0.84,0.84
LFMT,74,73,73,73,departures,0.9864864864864865,0.9864864864864865
EGJB,74,69,68,68,arrivals,0.918918918918919,0.918918918918919
LTAJ,74,2,0,0,arrivals,0.0,0.0
EDFH,74,63,62,63,arrivals,0.8378378378378378,0.8513513513513513
LTAU,73,0,0,0,arrivals,0.0,0.0
LTAJ,72,1,0,0,departures,0.0,0.0
ENTO,72,67,66,68,arrivals,0.9166666666666666,0.9444444444444444
LFMD,72,68,68,70,arrivals,0.9444444444444444,0.9722222222222222
EGHH,72,57,55,55,arrivals,0.7638888888888888,0.7638888888888888
LRIA,71,51,37,39,departures,0.5211267605633803,0.5492957746478874
ENTO,71,66,66,68,departures,0.9295774647887324,0.9577464788732394
LBWN,71,65,65,65,departures,0.9154929577464789,0.9154929577464789
EGHH,71,71,70,72,departures,0.9859154929577465,1.0140845070422535
EKYT,71,68,67,67,arrivals,0.9436619718309859,0.9436619718309859
LTAU,70,0,0,0,departures,0.0,0.0
