AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
EYVI;EYVI;VNO;Vilnius;Lithuania;Vilnius (EYVI);Vilnius (VNO);2025;NA;NA
GCFV;GCFV;FUE;Fuerteventura;Spain;Fuerteventura (GCFV);Fuerteventura (FUE);2025;ARR:19 - DEP:19;0,0613294160852001
GCFV;GCFV;FUE;Fuerteventura;Spain;Fuerteventura (GCFV);Fuerteventura (FUE);2025;ARR:01 - DEP:01;0,9384869629085567
GCLP;GCLP;LPA;Gran Canaria;Spain;Gran Canaria (GCLP);Gran Canaria (LPA);2025;ARR:03L - DEP:03L;0,1679489997801714
GCLP;GCLP;LPA;Gran Canaria;Spain;Gran Canaria (GCLP);Gran Canaria (LPA);2025;ARR:03R - DEP:03R;0,1214552648933831
GCLP;GCLP;LPA;Gran Canaria;Spain;Gran Canaria (GCLP);Gran Canaria (LPA);2025;ARR:21R - DEP:21L;0,0368212794020664
GCLP;GCLP;LPA;Gran Canaria;Spain;Gran Canaria (GCLP);Gran Canaria (LPA);2025;ARR:03L - DEP:03R;0,4320729830732029
GCLP;GCLP;LPA;Gran Canaria;Spain;Gran Canaria (GCLP);Gran Canaria (LPA);2025;ARR:03L - DEP:03L - DEP:03R;0,2266432182897340
GCRR;GCRR;ACE;Lanzarote;Spain;Lanzarote (GCRR);Lanzarote (ACE);2025;ARR:03 - DEP:03;0,8871814329981661
GCRR;GCRR;ACE;Lanzarote;Spain;Lanzarote (GCRR);Lanzarote (ACE);2025;ARR:21 - DEP:21;0,1059887434389426
GCTS;GCTS;TFS;Tenerife Sur - Reina Sofia;Spain;Tenerife Sur - Reina Sofia (GCTS);Tenerife Sur - Reina Sofia (TFS);2025;ARR:07 - DEP:07;0,8708355925055726
GCTS;GCTS;TFS;Tenerife Sur - Reina Sofia;Spain;Tenerife Sur - Reina Sofia (GCTS);Tenerife Sur - Reina Sofia (TFS);2025;ARR:25 - DEP:25;0,1291644074944273
GCXO;GCXO;TFN;Tenerife North;Spain;Tenerife North (GCXO);Tenerife North (TFN);2025;ARR:30 - DEP:30;0,8107032990346875
GCXO;GCXO;TFN;Tenerife North;Spain;Tenerife North (GCXO);Tenerife North (TFN);2025;ARR:12 - DEP:12;0,1892436618224249
GMMN;GMMN;CMN;Mohammed V International;Morocco;Mohammed V International (GMMN);Mohammed V International (CMN);2025;ARR:35L - DEP:35R;0,6665947500898957
GMMN;GMMN;CMN;Mohammed V International;Morocco;Mohammed V International (GMMN);Mohammed V International (CMN);2025;ARR:35L - DEP:35L;0,0957928802588997
GMMN;GMMN;CMN;Mohammed V International;Morocco;Mohammed V International (GMMN);Mohammed V International (CMN);2025;ARR:17R - DEP:17R;0,0331535418914060
GMMN;GMMN;CMN;Mohammed V International;Morocco;Mohammed V International (GMMN);Mohammed V International (CMN);2025;ARR:35R - DEP:35R;0,0939949658396260
GMMN;GMMN;CMN;Mohammed V International;Morocco;Mohammed V International (GMMN);Mohammed V International (CMN);2025;ARR:17R - DEP:17L;0,0822725638259619
GMMX;GMMX;RAK;Marrakesh - Menara;Morocco;Marrakesh - Menara (GMMX);Marrakesh - Menara (RAK);2025;ARR:10 - DEP:10;0,7457489878542510
GMMX;GMMX;RAK;Marrakesh - Menara;Morocco;Marrakesh - Menara (GMMX);Marrakesh - Menara (RAK);2025;ARR:28 - DEP:28;0,2400809716599190
LATI;LATI;TIA;Tirana;Albania;Tirana (LATI);Tirana (TIA);2025;NA;NA
LBBG;LBBG;BOJ;Burgas;Bulgaria;Burgas (LBBG);Burgas (BOJ);2025;NA;NA
LBSF;LBSF;SOF;Sofia;Bulgaria;Sofia (LBSF);Sofia (SOF);2025;ARR:27 - DEP:27;0,7103731598767545
LBSF;LBSF;SOF;Sofia;Bulgaria;Sofia (LBSF);Sofia (SOF);2025;ARR:09 - DEP:09;0,2790140362889421
LBWN;LBWN;VAR;Varna;Bulgaria;Varna (LBWN);Varna (VAR);2025;NA;NA
LCLK;LCLK;LCA;Larnaca;Cyprus;Larnaca (LCLK);Larnaca (LCA);2025;NA;NA
LDZA;LDZA;ZAG;Zagreb;Croatia;Zagreb (LDZA);Zagreb (ZAG);2025;ARR:22L - DEP:22L;0,3194524773472141
LDZA;LDZA;ZAG;Zagreb;Croatia;Zagreb (LDZA);Zagreb (ZAG);2025;ARR:04R - DEP:04R;0,6800334168755222
LEAL;LEAL;ALC;Alicante;Spain;Alicante (LEAL);Alicante (ALC);2025;ARR:10 - DEP:10;0,6973936170212764
LEAL;LEAL;ALC;Alicante;Spain;Alicante (LEAL);Alicante (ALC);2025;ARR:28 - DEP:28;0,3011702127659574
LEBB;LEBB;BIO;Bilbao;Spain;Bilbao (LEBB);Bilbao (BIO);2025;ARR:30 - DEP:30;0,6396814404432133
LEBB;LEBB;BIO;Bilbao;Spain;Bilbao (LEBB);Bilbao (BIO);2025;ARR:12 - DEP:12;0,3589335180055401
LEBL;LEBL;BCN;Barcelona;Spain;Barcelona (LEBL);Barcelona (BCN);2025;ARR:24R - DEP:24L;0,7594094649005075
LEBL;LEBL;BCN;Barcelona;Spain;Barcelona (LEBL);Barcelona (BCN);2025;ARR:06L - DEP:06R;0,2227927875357413
LEIB;LEIB;IBZ;Ibiza;Spain;Ibiza (LEIB);Ibiza (IBZ);2025;ARR:24 - DEP:24;0,5056342668863261
LEIB;LEIB;IBZ;Ibiza;Spain;Ibiza (LEIB);Ibiza (IBZ);2025;ARR:06 - DEP:06;0,4932454695222405
LEMD;LEMD;MAD;Madrid - Barajas;Spain;Madrid - Barajas (LEMD);Madrid - Barajas (MAD);2025;ARR:32L - ARR:32R - DEP:36L - DEP:36R;0,7699266194331984
LEMD;LEMD;MAD;Madrid - Barajas;Spain;Madrid - Barajas (LEMD);Madrid - Barajas (MAD);2025;ARR:18L - ARR:18R - DEP:14L - DEP:14R;0,1793395748987854
LEMG;LEMG;AGP;Málaga;Spain;Málaga (LEMG);Málaga (AGP);2025;ARR:31 - DEP:30;0,2874362818590704
LEMG;LEMG;AGP;Málaga;Spain;Málaga (LEMG);Málaga (AGP);2025;ARR:12 - DEP:13;0,6395802098950525
LEMG;LEMG;AGP;Málaga;Spain;Málaga (LEMG);Málaga (AGP);2025;ARR:31 - DEP:31;0,0552923538230885
LEPA;LEPA;PMI;Palma de Mallorca;Spain;Palma de Mallorca (LEPA);Palma de Mallorca (PMI);2025;ARR:06L - DEP:06R;0,3097984262153713
LEPA;LEPA;PMI;Palma de Mallorca;Spain;Palma de Mallorca (LEPA);Palma de Mallorca (PMI);2025;ARR:24L - DEP:24R;0,6155007006575401
LEPA;LEPA;PMI;Palma de Mallorca;Spain;Palma de Mallorca (LEPA);Palma de Mallorca (PMI);2025;ARR:24R - DEP:24R;0,0395063059178614
LEPA;LEPA;PMI;Palma de Mallorca;Spain;Palma de Mallorca (LEPA);Palma de Mallorca (PMI);2025;ARR:06L - DEP:06L;0,0348711868060796
LEVC;LEVC;VLC;Valencia;Spain;Valencia (LEVC);Valencia (VLC);2025;ARR:30 - DEP:30;0,6047332708114966
LEVC;LEVC;VLC;Valencia;Spain;Valencia (LEVC);Valencia (VLC);2025;ARR:12 - DEP:12;0,3949357312296574
LEZL;LEZL;SVQ;Sevilla;Spain;Sevilla (LEZL);Sevilla (SVQ);2025;ARR:27 - DEP:27;0,6822329271748370
LEZL;LEZL;SVQ;Sevilla;Spain;Sevilla (LEZL);Sevilla (SVQ);2025;ARR:09 - DEP:09;0,3176537262680647
LFBD;LFBD;BOD;Bordeaux-Mérignac;France;Bordeaux-Mérignac (LFBD);Bordeaux-Mérignac (BOD);2025;NA;NA
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:14R - DEP:14R;0,0374185908821788
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:14L - DEP:14L;0,0382474837181764
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:32R - DEP:32R;0,1116637063351095
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:32L - DEP:32L;0,1411486086441681
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:32L - DEP:32R;0,2224985198342214
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:14R - DEP:14L;0,3699230313795145
LFBO;LFBO;TLS;Toulouse-Blagnac;France;Toulouse-Blagnac (LFBO);Toulouse-Blagnac (TLS);2025;ARR:32R - DEP:32L;0,0339846062759029
LFLL;LFLL;LYS;Lyon-Saint-Exupéry;France;Lyon-Saint-Exupéry (LFLL);Lyon-Saint-Exupéry (LYS);2025;ARR:17L - DEP:17R;0,4200000000000000
LFLL;LFLL;LYS;Lyon-Saint-Exupéry;France;Lyon-Saint-Exupéry (LFLL);Lyon-Saint-Exupéry (LYS);2025;ARR:35R - DEP:35L;0,5147266881028938
LFML;LFML;MRS;Marseille-Provence;France;Marseille-Provence (LFML);Marseille-Provence (MRS);2025;ARR:31R - DEP:31R;0,5322356344217610
LFML;LFML;MRS;Marseille-Provence;France;Marseille-Provence (LFML);Marseille-Provence (MRS);2025;ARR:13L - DEP:13L;0,4234855648884685
LFMN;LFMN;NCE;Nice-Côte d’Azur;France;Nice-Côte d’Azur (LFMN);Nice-Côte d’Azur (NCE);2025;ARR:04R - DEP:04R;0,3071557155715571
LFMN;LFMN;NCE;Nice-Côte d’Azur;France;Nice-Côte d’Azur (LFMN);Nice-Côte d’Azur (NCE);2025;ARR:04L - DEP:04R;0,5176080108010801
LFMN;LFMN;NCE;Nice-Côte d’Azur;France;Nice-Côte d’Azur (LFMN);Nice-Côte d’Azur (NCE);2025;ARR:22R - DEP:22L;0,1179680468046804
LFMN;LFMN;NCE;Nice-Côte d’Azur;France;Nice-Côte d’Azur (LFMN);Nice-Côte d’Azur (NCE);2025;ARR:22L - DEP:22L;0,0417979297929793
LFPB;LFPB;LBG;Paris - Le Bourget;France;Paris - Le Bourget (LFPB);Paris - Le Bourget (LBG);2025;NA;NA
LFPG;LFPG;CDG;Paris - Charles-de-Gaulle;France;Paris - Charles-de-Gaulle (LFPG);Paris - Charles-de-Gaulle (CDG);2025;ARR:08R - ARR:09L - DEP:08L - DEP:09R;0,2845899796219520
LFPG;LFPG;CDG;Paris - Charles-de-Gaulle;France;Paris - Charles-de-Gaulle (LFPG);Paris - Charles-de-Gaulle (CDG);2025;ARR:26L - ARR:27R - DEP:26R - DEP:27R;0,2155154240742042
LFPG;LFPG;CDG;Paris - Charles-de-Gaulle;France;Paris - Charles-de-Gaulle (LFPG);Paris - Charles-de-Gaulle (CDG);2025;ARR:26L - ARR:27R - DEP:26R - DEP:27L;0,1995643313892207
LFPG;LFPG;CDG;Paris - Charles-de-Gaulle;France;Paris - Charles-de-Gaulle (LFPG);Paris - Charles-de-Gaulle (CDG);2025;ARR:08R - ARR:09L - DEP:08L - DEP:09L;0,1125711474949054
LFPG;LFPG;CDG;Paris - Charles-de-Gaulle;France;Paris - Charles-de-Gaulle (LFPG);Paris - Charles-de-Gaulle (CDG);2025;ARR:08R - ARR:09R - DEP:08L - DEP:09R;0,0917714847867332
LFPG;LFPG;CDG;Paris - Charles-de-Gaulle;France;Paris - Charles-de-Gaulle (LFPG);Paris - Charles-de-Gaulle (CDG);2025;ARR:26L - ARR:27L - DEP:26R - DEP:27L;0,0630314103014546
LFPO;LFPO;ORY;Paris - Orly;France;Paris - Orly (LFPO);Paris - Orly (ORY);2025;ARR:25 - DEP:24;0,5300932162293227
LFPO;LFPO;ORY;Paris - Orly;France;Paris - Orly (LFPO);Paris - Orly (ORY);2025;ARR:06 - DEP:07;0,4612317474001831
LFRS;LFRS;NTE;Nantes-Atlantique;France;Nantes-Atlantique (LFRS);Nantes-Atlantique (NTE);2025;NA;NA
LFSB;LFSB;BSL;Bâle-Mulhouse;France;Bâle-Mulhouse (LFSB);Bâle-Mulhouse (BSL);2025;ARR:15 - DEP:15;0,8589029653348182
LFSB;LFSB;BSL;Bâle-Mulhouse;France;Bâle-Mulhouse (LFSB);Bâle-Mulhouse (BSL);2025;ARR:33 - DEP:33;0,1339273284143115
LGAV;LGAV;ATH;Athens;Greece;Athens (LGAV);Athens (ATH);2025;ARR:03L - DEP:03R;0,5339128144343475
LGAV;LGAV;ATH;Athens;Greece;Athens (LGAV);Athens (ATH);2025;ARR:21R - DEP:21L;0,3031739760305544
LGAV;LGAV;ATH;Athens;Greece;Athens (LGAV);Athens (ATH);2025;ARR:03R - DEP:03L;0,0908731726590281
LGAV;LGAV;ATH;Athens;Greece;Athens (LGAV);Athens (ATH);2025;ARR:03R - DEP:03R;0,0341103648096931
LGIR;LGIR;HER;Heraklion;Greece;Heraklion (LGIR);Heraklion (HER);2025;NA;NA
LGRP;LGRP;RHO;Rhodes;Greece;Rhodes (LGRP);Rhodes (RHO);2025;NA;NA
LGTS;LGTS;SKG;Thessaloniki;Greece;Thessaloniki (LGTS);Thessaloniki (SKG);2025;NA;NA
LHBP;LHBP;BUD;Budapest - Ferihegy;Hungary;Budapest - Ferihegy (LHBP);Budapest - Ferihegy (BUD);2025;ARR:31R - DEP:31L;0,5578055097716035
LHBP;LHBP;BUD;Budapest - Ferihegy;Hungary;Budapest - Ferihegy (LHBP);Budapest - Ferihegy (BUD);2025;ARR:13R - DEP:13L;0,3099442743897653
LHBP;LHBP;BUD;Budapest - Ferihegy;Hungary;Budapest - Ferihegy (LHBP);Budapest - Ferihegy (BUD);2025;ARR:31L - DEP:31L;0,0375166784396829
LHBP;LHBP;BUD;Budapest - Ferihegy;Hungary;Budapest - Ferihegy (LHBP);Budapest - Ferihegy (BUD);2025;ARR:31R - DEP:31R;0,0419904246134526
LIBD;LIBD;BRI;Bari Karol Wojtyla;Italy;Bari Karol Wojtyla (LIBD);Bari Karol Wojtyla (BRI);2025;NA;NA
LICC;LICC;CTA;Catania;Italy;Catania (LICC);Catania (CTA);2025;ARR:08 - DEP:08;0,7613275273625986
LICC;LICC;CTA;Catania;Italy;Catania (LICC);Catania (CTA);2025;ARR:26 - DEP:26;0,2337883959044368
LICJ;LICJ;PMO;Palermo Falcone-Borsellino;Italy;Palermo Falcone-Borsellino (LICJ);Palermo Falcone-Borsellino (PMO);2025;NA;NA
LIEO;LIEO;OLB;Olbia Costa Smeralda;Italy;Olbia Costa Smeralda (LIEO);Olbia Costa Smeralda (OLB);2025;NA;NA
LIMC;LIMC;MXP;Milan - Malpensa;Italy;Milan - Malpensa (LIMC);Milan - Malpensa (MXP);2025;ARR:35L - DEP:35R;0,4409362033195020
LIMC;LIMC;MXP;Milan - Malpensa;Italy;Milan - Malpensa (LIMC);Milan - Malpensa (MXP);2025;ARR:35R - DEP:35L;0,5049922199170125
LIME;LIME;BGY;Bergamo;Italy;Bergamo (LIME);Bergamo (BGY);2025;ARR:28 - DEP:28;0,9713711171085356
LIMF;LIMF;TRN;Turin;Italy;Turin (LIMF);Turin (TRN);2025;ARR:36 - DEP:36;0,9994911912484894
LIML;LIML;LIN;Milan - Linate;Italy;Milan - Linate (LIML);Milan - Linate (LIN);2025;ARR:35 - DEP:35;0,9827444956477214
LIPE;LIPE;BLQ;Bologna;Italy;Bologna (LIPE);Bologna (BLQ);2025;ARR:12 - DEP:12;0,6156172669782789
LIPE;LIPE;BLQ;Bologna;Italy;Bologna (LIPE);Bologna (BLQ);2025;ARR:30 - DEP:30;0,3733159197140500
LIPZ;LIPZ;VCE;Venice;Italy;Venice (LIPZ);Venice (VCE);2025;ARR:04R - DEP:04R;0,9843128827764048
LIRA;LIRA;CIA;Rome - Ciampino;Italy;Rome - Ciampino (LIRA);Rome - Ciampino (CIA);2025;ARR:15 - DEP:15;0,9364872287833013
LIRA;LIRA;CIA;Rome - Ciampino;Italy;Rome - Ciampino (LIRA);Rome - Ciampino (CIA);2025;ARR:33 - DEP:33;0,0625514968415271
LIRF;LIRF;FCO;Rome - Fiumicino;Italy;Rome - Fiumicino (LIRF);Rome - Fiumicino (FCO);2025;ARR:16L - ARR:16R - DEP:25;0,5770062317181738
LIRF;LIRF;FCO;Rome - Fiumicino;Italy;Rome - Fiumicino (LIRF);Rome - Fiumicino (FCO);2025;ARR:16L - DEP:25;0,1214549154266819
LIRF;LIRF;FCO;Rome - Fiumicino;Italy;Rome - Fiumicino (LIRF);Rome - Fiumicino (FCO);2025;ARR:34L - ARR:34R - DEP:25;0,0919496375429225
LIRF;LIRF;FCO;Rome - Fiumicino;Italy;Rome - Fiumicino (LIRF);Rome - Fiumicino (FCO);2025;ARR:16L - DEP:16R - DEP:25;0,0576115986264784
LIRF;LIRF;FCO;Rome - Fiumicino;Italy;Rome - Fiumicino (LIRF);Rome - Fiumicino (FCO);2025;ARR:16L - ARR:16R - DEP:16R - DEP:25;0,0427317817626860
LIRN;LIRN;NAP;Naples;Italy;Naples (LIRN);Naples (NAP);2025;ARR:24 - DEP:24;0,7398758876591388
LIRN;LIRN;NAP;Naples;Italy;Naples (LIRN);Naples (NAP);2025;ARR:06 - DEP:06;0,2533427163969035
LJLJ;LJLJ;LJU;Ljubljana;Slovenia;Ljubljana (LJLJ);Ljubljana (LJU);2025;ARR:30 - DEP:30;0,9995042141794744
LKPR;LKPR;PRG;Prague;Czech Republic;Prague (LKPR);Prague (PRG);2025;ARR:30 - DEP:30;0,3636800384338217
LKPR;LKPR;PRG;Prague;Czech Republic;Prague (LKPR);Prague (PRG);2025;ARR:06 - DEP:06;0,1308551525342301
LKPR;LKPR;PRG;Prague;Czech Republic;Prague (LKPR);Prague (PRG);2025;ARR:24 - DEP:24;0,4381455680999279
LKPR;LKPR;PRG;Prague;Czech Republic;Prague (LKPR);Prague (PRG);2025;ARR:12 - DEP:12;0,0618544319000721
LLBG;LLBG;TLV;Tel Aviv - Ben Gurion International;Israel;Tel Aviv - Ben Gurion International (LLBG);Tel Aviv - Ben Gurion International (TLV);2025;NA;NA
LMML;LMML;MLA;Malta;Malta;Malta (LMML);Malta (MLA);2025;ARR:31 - DEP:31;0,4750386001029336
LMML;LMML;MLA;Malta;Malta;Malta (LMML);Malta (MLA);2025;ARR:13 - DEP:13;0,3371075656201749
LMML;LMML;MLA;Malta;Malta;Malta (LMML);Malta (MLA);2025;ARR:31 - DEP:23 - DEP:31;0,0517241379310345
LMML;LMML;MLA;Malta;Malta;Malta (LMML);Malta (MLA);2025;ARR:23 - ARR:31 - DEP:31;0,0499227997941328
