AIRPORT;PHASE;YEAR;RULE_NAME;RULE_DESCRIPTION;NB_FLIGHT
LEBL;DEP;2016;Scheduled;Traditional Scheduled;3068
LFMN;DEP;2016;Scheduled;Traditional Scheduled;1828
EHEH;DEP;2016;Lowcost;Lowcost;972
LFLL;DEP;2016;Lowcost;Lowcost;2186
LKPR;DEP;2016;Non-Scheduled;Charter;91
EHAM;DEP;2016;Lowcost;Lowcost;3659
LIPE;DEP;2016;Lowcost;Lowcost;1074
EIDW;DEP;2016;Scheduled;Traditional Scheduled;3830
ESSA;DEP;2016;Scheduled;Traditional Scheduled;5675
EPWA;DEP;2016;Scheduled;Traditional Scheduled;4111
LFML;DEP;2016;Lowcost;Lowcost;939
LZIB;DEP;2016;Lowcost;Lowcost;288
EDDW;DEP;2016;Scheduled;Traditional Scheduled;528
EVRA;DEP;2016;Scheduled;Traditional Scheduled;498
GMMX;DEP;2016;Lowcost;Lowcost;674
EDDN;DEP;2016;Lowcost;Lowcost;619
EGPH;DEP;2016;Non-Scheduled;Charter;40
LYBE;DEP;2016;Lowcost;Lowcost;166
LIML;DEP;2016;Lowcost;Lowcost;584
ENZV;DEP;2016;Scheduled;Traditional Scheduled;1407
ENBR;DEP;2016;Business;Business Aviation;73
EDDS;DEP;2016;Scheduled;Traditional Scheduled;1214
LEVC;DEP;2016;Lowcost;Lowcost;622
LCLK;DEP;2016;Scheduled;Traditional Scheduled;808
LFPO;DEP;2016;Other;Other Types;86
LIMC;DEP;2016;Cargo;All-Cargo;338
ENTC;DEP;2016;Lowcost;Lowcost;160
EPKT;DEP;2016;Business;Business Aviation;32
LFML;DEP;2016;Scheduled;Traditional Scheduled;1900
LCLK;DEP;2016;Business;Business Aviation;122
BIKF;DEP;2016;Lowcost;Lowcost;279
LTBA;DEP;2016;Business;Business Aviation;248
LBSF;DEP;2016;Cargo;All-Cargo;59
LLBG;DEP;2016;Cargo;All-Cargo;196
LEBB;DEP;2016;Non-Scheduled;Charter;30
LFBO;DEP;2016;Business;Business Aviation;117
LIMF;DEP;2016;Lowcost;Lowcost;477
LGAV;DEP;2016;Lowcost;Lowcost;967
LEPA;DEP;2016;Other;Other Types;14
LICC;DEP;2016;Business;Business Aviation;36
LSGG;DEP;2016;Cargo;All-Cargo;70
EDDH;DEP;2016;Cargo;All-Cargo;32
EDDB;DEP;2016;Cargo;All-Cargo;70
EPWA;DEP;2016;Cargo;All-Cargo;97
EIDW;DEP;2016;Cargo;All-Cargo;160
LBSF;DEP;2016;Lowcost;Lowcost;399
LFPO;DEP;2016;Lowcost;Lowcost;2571
LDZA;DEP;2016;Scheduled;Traditional Scheduled;1146
EGLC;DEP;2016;Lowcost;Lowcost;350
EGPD;DEP;2016;Scheduled;Traditional Scheduled;1784
EKCH;DEP;2016;Lowcost;Lowcost;2567
LFPG;DEP;2016;Scheduled;Traditional Scheduled;13610
LTBJ;DEP;2016;Lowcost;Lowcost;1758
EGGW;DEP;2016;Business;Business Aviation;1078
ENTC;DEP;2016;Scheduled;Traditional Scheduled;1109
LFPG;DEP;2016;Lowcost;Lowcost;2100
LTBA;DEP;2016;Scheduled;Traditional Scheduled;14517
LIPZ;DEP;2016;Other;Other Types;15
LCLK;DEP;2016;Scheduled;Traditional Scheduled;754
LEMD;DEP;2016;Lowcost;Lowcost;3601
EGLC;DEP;2016;Scheduled;Traditional Scheduled;2991
LCLK;DEP;2016;Cargo;All-Cargo;35
EGGW;DEP;2016;Lowcost;Lowcost;2984
ESSB;DEP;2016;Scheduled;Traditional Scheduled;1905
EGPF;DEP;2016;Cargo;All-Cargo;20
LIME;DEP;2016;Lowcost;Lowcost;2246
LOWW;DEP;2016;Lowcost;Lowcost;1750
LFMN;DEP;2016;Business;Business Aviation;636
LPPT;DEP;2016;Lowcost;Lowcost;1313
GCFV;DEP;2016;Scheduled;Traditional Scheduled;769
EDDN;DEP;2016;Other;Other Types;66
LGIR;DEP;2016;Scheduled;Traditional Scheduled;332
LIRF;DEP;2016;Lowcost;Lowcost;2509
LIRA;DEP;2016;Business;Business Aviation;531
LEMD;DEP;2016;Business;Business Aviation;414
EDDR;DEP;2016;Scheduled;Traditional Scheduled;104
LOWW;DEP;2016;Business;Business Aviation;492
EGPF;DEP;2016;Business;Business Aviation;112
LGTS;DEP;2016;Non-Scheduled;Charter;7
EICK;DEP;2016;Non-Scheduled;Charter;51
LEBB;DEP;2016;Scheduled;Traditional Scheduled;970
LTAI;DEP;2016;Non-Scheduled;Charter;142
EPWA;DEP;2016;Non-Scheduled;Charter;159
LFBO;DEP;2016;Other;Other Types;119
EDDB;DEP;2016;Scheduled;Traditional Scheduled;312
EFHK;DEP;2016;Cargo;All-Cargo;225
LBSF;DEP;2016;Military;Military;28
LIML;DEP;2016;Other;Other Types;32
EDDC;DEP;2016;Scheduled;Traditional Scheduled;354
LYBE;DEP;2016;Business;Business Aviation;199
GCTS;DEP;2016;Scheduled;Traditional Scheduled;603
LFPG;DEP;2016;Business;Business Aviation;26
LFPB;DEP;2016;Other;Other Types;47
EDDP;DEP;2016;Scheduled;Traditional Scheduled;375
LBWN;DEP;2016;Lowcost;Lowcost;18
LFSB;DEP;2016;Cargo;All-Cargo;198
GCLP;DEP;2016;Business;Business Aviation;69
LFSB;DEP;2016;Other;Other Types;33
EYVI;DEP;2016;Lowcost;Lowcost;682
EDDF;DEP;2016;Scheduled;Traditional Scheduled;16531
LIML;DEP;2016;Scheduled;Traditional Scheduled;3360
EDDV;DEP;2016;Scheduled;Traditional Scheduled;1363
ESSB;DEP;2016;Scheduled;Traditional Scheduled;1939
ENVA;DEP;2016;Scheduled;Traditional Scheduled;1576
EDDS;DEP;2016;Lowcost;Lowcost;2384
GMMX;DEP;2016;Lowcost;Lowcost;804
LEZL;DEP;2016;Scheduled;Traditional Scheduled;328
GCLP;DEP;2016;Cargo;All-Cargo;45
EPWA;DEP;2016;Scheduled;Traditional Scheduled;4415
LFPG;DEP;2016;Lowcost;Lowcost;2438
EDDL;DEP;2016;Scheduled;Traditional Scheduled;2802
LTFJ;DEP;2016;Cargo;All-Cargo;80
LFRS;DEP;2016;Scheduled;Traditional Scheduled;432
GMMX;DEP;2016;Scheduled;Traditional Scheduled;466
LICC;DEP;2016;Military;Military;12
EGLL;DEP;2016;Other;Other Types;38
EGNT;DEP;2016;Scheduled;Traditional Scheduled;755
EPWA;DEP;2016;Lowcost;Lowcost;751
EDDK;DEP;2016;Scheduled;Traditional Scheduled;561
LYBE;DEP;2016;Business;Business Aviation;212
ELLX;DEP;2016;Cargo;All-Cargo;436
LEZL;DEP;2016;Lowcost;Lowcost;1046
EDDB;DEP;2016;Scheduled;Traditional Scheduled;348
LPFR;DEP;2016;Lowcost;Lowcost;991
ESGG;DEP;2016;Scheduled;Traditional Scheduled;1960
EDDH;DEP;2016;Business;Business Aviation;323
LZIB;DEP;2016;Non-Scheduled;Charter;32
LIPE;DEP;2016;Lowcost;Lowcost;1163
ELLX;DEP;2016;Lowcost;Lowcost;154
LPPT;DEP;2016;Non-Scheduled;Charter;107
LFLL;DEP;2016;Non-Scheduled;Charter;51
EDDF;DEP;2016;Lowcost;Lowcost;969
EPKT;DEP;2016;Scheduled;Traditional Scheduled;141
LICC;DEP;2016;Non-Scheduled;Charter;33
EBLG;DEP;2016;Scheduled;Traditional Scheduled;459
GMMN;DEP;2016;Lowcost;Lowcost;181
EIDW;DEP;2016;Non-Scheduled;Charter;62
EFHK;DEP;2016;Non-Scheduled;Charter;121
EBBR;DEP;2016;Other;Other Types;82
EGSS;DEP;2016;Scheduled;Traditional Scheduled;202
EPWA;DEP;2016;Other;Other Types;70
ESSA;DEP;2016;Business;Business Aviation;178
LFML;DEP;2016;Business;Business Aviation;177
UGTB;DEP;2016;Scheduled;Traditional Scheduled;495
GCTS;DEP;2016;Non-Scheduled;Charter;227
EDDB;DEP;2016;Business;Business Aviation;398
LIMC;DEP;2016;Business;Business Aviation;134
EDDG;DEP;2016;Other;Other Types;129
LEPA;DEP;2016;Lowcost;Lowcost;4582
EDDN;DEP;2016;Lowcost;Lowcost;800
EDDF;DEP;2016;Lowcost;Lowcost;958
LEMD;DEP;2016;Scheduled;Traditional Scheduled;10441
EDDL;DEP;2016;Scheduled;Traditional Scheduled;2875
EHAM;DEP;2016;Scheduled;Traditional Scheduled;14486
GCRR;DEP;2016;Non-Scheduled;Charter;90
LEBL;DEP;2016;Lowcost;Lowcost;8799
EGCC;DEP;2016;Business;Business Aviation;184
LEMD;DEP;2016;Non-Scheduled;Charter;264
EGPH;DEP;2016;Scheduled;Traditional Scheduled;1761
EGKK;DEP;2016;Scheduled;Traditional Scheduled;2990
ESGG;DEP;2016;Lowcost;Lowcost;600
EGKK;DEP;2016;Non-Scheduled;Charter;100
GMMN;DEP;2016;Lowcost;Lowcost;206
LMML;DEP;2016;Scheduled;Traditional Scheduled;807
EGKK;DEP;2016;Lowcost;Lowcost;8087
LIPZ;DEP;2016;Lowcost;Lowcost;1460
EGNT;DEP;2016;Lowcost;Lowcost;833
LROP;DEP;2016;Lowcost;Lowcost;1031
GCTS;DEP;2016;Lowcost;Lowcost;1892
LIML;DEP;2016;Scheduled;Traditional Scheduled;3198
EBLG;DEP;2016;Cargo;All-Cargo;1002
LSGG;DEP;2016;Business;Business Aviation;1227
LFPB;DEP;2016;Business;Business Aviation;1824
EPWA;DEP;2016;Business;Business Aviation;225
LFRS;DEP;2016;Lowcost;Lowcost;1679
EGSS;DEP;2016;Lowcost;Lowcost;6209
GCRR;DEP;2016;Scheduled;Traditional Scheduled;886
EGCC;DEP;2016;Lowcost;Lowcost;4679
LLBG;DEP;2016;Business;Business Aviation;206
EGNX;DEP;2016;Scheduled;Traditional Scheduled;225
LEPA;DEP;2016;Scheduled;Traditional Scheduled;1801
LGTS;DEP;2016;Scheduled;Traditional Scheduled;1045
EDDP;DEP;2016;Lowcost;Lowcost;383
UKBB;DEP;2016;Scheduled;Traditional Scheduled;2134
LTFJ;DEP;2016;Other;Other Types;23
ENBR;DEP;2016;Scheduled;Traditional Scheduled;2220
ENVA;DEP;2016;Lowcost;Lowcost;544
EDDW;DEP;2016;Lowcost;Lowcost;430
LICJ;DEP;2016;Scheduled;Traditional Scheduled;572
EGSS;DEP;2016;Cargo;All-Cargo;402
LIEO;DEP;2016;Lowcost;Lowcost;457
EGGD;DEP;2016;Business;Business Aviation;139
LWSK;DEP;2016;Cargo;All-Cargo;31
LTAI;DEP;2016;Scheduled;Traditional Scheduled;1000
LIPE;DEP;2016;Business;Business Aviation;128
LLBG;DEP;2016;Non-Scheduled;Charter;495
EPWA;DEP;2016;Cargo;All-Cargo;110
LIML;DEP;2016;Lowcost;Lowcost;641
EGBB;DEP;2016;Cargo;All-Cargo;47
EFHK;DEP;2016;Business;Business Aviation;226
EDDS;DEP;2016;Other;Other Types;111
EVRA;DEP;2016;Scheduled;Traditional Scheduled;515
LQSA;DEP;2016;Lowcost;Lowcost;90
EDDC;DEP;2016;Scheduled;Traditional Scheduled;355
EBCI;DEP;2016;Business;Business Aviation;65
LEBL;DEP;2016;Cargo;All-Cargo;145
LICJ;DEP;2016;Business;Business Aviation;63
LDZA;DEP;2016;Business;Business Aviation;119
EGPH;DEP;2016;Business;Business Aviation;101
GCLP;DEP;2016;Military;Military;74
EPGD;DEP;2016;Scheduled;Traditional Scheduled;540
ENGM;DEP;2016;Non-Scheduled;Charter;61
LHBP;DEP;2016;Business;Business Aviation;173
LMML;DEP;2016;Cargo;All-Cargo;64
EGPD;DEP;2016;Lowcost;Lowcost;460
EGPH;DEP;2016;Cargo;All-Cargo;214
EDDH;DEP;2016;Other;Other Types;108
LEZL;DEP;2016;Business;Business Aviation;85
LFPO;DEP;2016;Other;Other Types;38
ENBO;DEP;2016;Business;Business Aviation;150
LGRP;DEP;2016;Business;Business Aviation;25
LFLL;DEP;2016;Scheduled;Traditional Scheduled;1742
EDDF;DEP;2016;Scheduled;Traditional Scheduled;18228
LKPR;DEP;2016;Scheduled;Traditional Scheduled;3270
EGBB;DEP;2016;Lowcost;Lowcost;3455
EBBR;DEP;2016;Scheduled;Traditional Scheduled;7355
EYVI;DEP;2016;Lowcost;Lowcost;834
LEBL;DEP;2016;Lowcost;Lowcost;9407
LEMG;DEP;2016;Lowcost;Lowcost;3760
LEPA;DEP;2016;Lowcost;Lowcost;6865
EGPF;DEP;2016;Scheduled;Traditional Scheduled;1733
EGNT;DEP;2016;Lowcost;Lowcost;1175
LROP;DEP;2016;Lowcost;Lowcost;1086
EDDM;DEP;2016;Non-Scheduled;Charter;141
LEMG;DEP;2016;Scheduled;Traditional Scheduled;1532
LTBJ;DEP;2016;Scheduled;Traditional Scheduled;1176
LEPA;DEP;2016;Scheduled;Traditional Scheduled;2404
EDDH;DEP;2016;Scheduled;Traditional Scheduled;2577
LLBG;DEP;2016;Lowcost;Lowcost;697
LTAC;DEP;2016;Lowcost;Lowcost;507
GCTS;DEP;2016;Lowcost;Lowcost;1621
EGGW;DEP;2016;Cargo;All-Cargo;93
LTAI;DEP;2016;Lowcost;Lowcost;3456
EFHK;DEP;2016;Lowcost;Lowcost;854
LIML;DEP;2016;Lowcost;Lowcost;663
LIRN;DEP;2016;Non-Scheduled;Charter;55
EPKK;DEP;2016;Scheduled;Traditional Scheduled;784
EDDN;DEP;2016;Scheduled;Traditional Scheduled;738
LSGG;DEP;2016;Business;Business Aviation;1518
EBLG;DEP;2016;Cargo;All-Cargo;993
BIKF;DEP;2016;Lowcost;Lowcost;469
LFSB;DEP;2016;Business;Business Aviation;287
LEPA;DEP;2016;Other;Other Types;75
LPFR;DEP;2016;Business;Business Aviation;135
LHBP;DEP;2016;Cargo;All-Cargo;225
EDDE;DEP;2016;Business;Business Aviation;66
EDDS;DEP;2016;Military;Military;55
LBSF;DEP;2016;Business;Business Aviation;145
LDZA;DEP;2016;Scheduled;Traditional Scheduled;1474
ENTC;DEP;2016;Military;Military;1
GMMX;DEP;2016;Business;Business Aviation;130
EDDR;DEP;2016;Business;Business Aviation;70
LSZH;DEP;2016;Non-Scheduled;Charter;32
ELLX;DEP;2016;Lowcost;Lowcost;107
EGGD;DEP;2016;Business;Business Aviation;162
EFHK;DEP;2016;Business;Business Aviation;224
LCLK;DEP;2016;Cargo;All-Cargo;34
EICK;DEP;2016;Scheduled;Traditional Scheduled;713
UKBB;DEP;2016;Cargo;All-Cargo;264
LMML;DEP;2016;Non-Scheduled;Charter;94
EBCI;DEP;2016;Business;Business Aviation;80
LIRN;DEP;2016;Business;Business Aviation;261
EGGW;DEP;2016;Scheduled;Traditional Scheduled;262
EDDM;DEP;2016;Lowcost;Lowcost;2805
ENBR;DEP;2016;Scheduled;Traditional Scheduled;2261
ENGM;DEP;2016;Scheduled;Traditional Scheduled;6471
ESGG;DEP;2016;Scheduled;Traditional Scheduled;2064
LEAL;DEP;2016;Non-Scheduled;Charter;82
LPPR;DEP;2016;Scheduled;Traditional Scheduled;1556
LPFR;DEP;2016;Lowcost;Lowcost;2239
LFLL;DEP;2016;Scheduled;Traditional Scheduled;1776
EGNX;DEP;2016;Lowcost;Lowcost;1824
EDDL;DEP;2016;Lowcost;Lowcost;6414
EGBB;DEP;2016;Lowcost;Lowcost;3579
LPFR;DEP;2016;Scheduled;Traditional Scheduled;594
LSZH;DEP;2016;Lowcost;Lowcost;1411
EDDP;DEP;2016;Lowcost;Lowcost;513
EGCC;DEP;2016;Scheduled;Traditional Scheduled;2439
ENTC;DEP;2016;Scheduled;Traditional Scheduled;1225
LFBD;DEP;2016;Lowcost;Lowcost;1494
LIRA;DEP;2016;Lowcost;Lowcost;1359
EETN;DEP;2016;Lowcost;Lowcost;361
LIPZ;DEP;2016;Lowcost;Lowcost;1856
EDDV;DEP;2016;Lowcost;Lowcost;859
LROP;DEP;2016;Non-Scheduled;Charter;253
LTAI;DEP;2016;Lowcost;Lowcost;3270
GCRR;DEP;2016;Scheduled;Traditional Scheduled;913
LZIB;DEP;2016;Lowcost;Lowcost;433
GCTS;DEP;2016;Lowcost;Lowcost;1641
LIME;DEP;2016;Business;Business Aviation;81
EDDF;DEP;2016;Business;Business Aviation;379
EPKK;DEP;2016;Business;Business Aviation;85
LMML;DEP;2016;Scheduled;Traditional Scheduled;897
EGPH;DEP;2016;Business;Business Aviation;171
EGGW;DEP;2016;Business;Business Aviation;1362
LIRN;DEP;2016;Business;Business Aviation;414
EICK;DEP;2016;Scheduled;Traditional Scheduled;709
UGTB;DEP;2016;Scheduled;Traditional Scheduled;630
LPFR;DEP;2016;Business;Business Aviation;121
LTBJ;DEP;2016;Lowcost;Lowcost;2024
LTBA;DEP;2016;Cargo;All-Cargo;630
LOWW;DEP;2016;Business;Business Aviation;731
EGSS;DEP;2016;Cargo;All-Cargo;408
LDZA;DEP;2016;Scheduled;Traditional Scheduled;1487
EDDG;DEP;2016;Non-Scheduled;Charter;11
ESSA;DEP;2016;Cargo;All-Cargo;364
EDDP;DEP;2016;Scheduled;Traditional Scheduled;399
EVRA;DEP;2016;Business;Business Aviation;149
EDDV;DEP;2016;Business;Business Aviation;239
ENBR;DEP;2016;Cargo;All-Cargo;64
LKPR;DEP;2016;Business;Business Aviation;488
EDDH;DEP;2016;Business;Business Aviation;368
LTFJ;DEP;2016;Business;Business Aviation;309
LWSK;DEP;2016;Business;Business Aviation;25
EDDG;DEP;2016;Business;Business Aviation;202
LBBG;DEP;2016;Non-Scheduled;Charter;1057
LFLL;DEP;2016;Non-Scheduled;Charter;100
EHAM;DEP;2016;Cargo;All-Cargo;546
LFML;DEP;2016;Business;Business Aviation;322
EPKK;DEP;2016;Military;Military;198
EGKK;DEP;2016;Business;Business Aviation;30
EPKT;DEP;2016;Non-Scheduled;Charter;482
EPGD;DEP;2016;Other;Other Types;29
EDDF;DEP;2016;Non-Scheduled;Charter;122
LEVC;DEP;2016;Other;Other Types;49
GCRR;DEP;2016;Lowcost;Lowcost;1151
ESSB;DEP;2016;Business;Business Aviation;376
LEZL;DEP;2016;Scheduled;Traditional Scheduled;335
LIPZ;DEP;2016;Non-Scheduled;Charter;62
EDDB;DEP;2016;Scheduled;Traditional Scheduled;315
EDDK;DEP;2016;Lowcost;Lowcost;3805
EGNX;DEP;2016;Lowcost;Lowcost;1858
LEPA;DEP;2016;Lowcost;Lowcost;8679
LFPG;DEP;2016;Scheduled;Traditional Scheduled;16947
LFML;DEP;2016;Lowcost;Lowcost;1343
EGPH;DEP;2016;Non-Scheduled;Charter;114
LHBP;DEP;2016;Scheduled;Traditional Scheduled;1712
LKPR;DEP;2016;Lowcost;Lowcost;2428
EPKK;DEP;2016;Lowcost;Lowcost;998
EDDL;DEP;2016;Scheduled;Traditional Scheduled;3034
LFPG;DEP;2016;Cargo;All-Cargo;1391
LEAL;DEP;2016;Lowcost;Lowcost;3697
LGAV;DEP;2016;Scheduled;Traditional Scheduled;7554
LEPA;DEP;2016;Business;Business Aviation;903
LIRN;DEP;2016;Lowcost;Lowcost;1796
LTAI;DEP;2016;Lowcost;Lowcost;4024
EDDS;DEP;2016;Lowcost;Lowcost;2990
LFBO;DEP;2016;Lowcost;Lowcost;1316
LFBD;DEP;2016;Lowcost;Lowcost;1539
LFLL;DEP;2016;Lowcost;Lowcost;2769
EGNT;DEP;2016;Scheduled;Traditional Scheduled;804
GCTS;DEP;2016;Scheduled;Traditional Scheduled;523
EBLG;DEP;2016;Cargo;All-Cargo;989
LEBL;DEP;2016;Business;Business Aviation;595
EGPF;DEP;2016;Lowcost;Lowcost;2358
LWSK;DEP;2016;Cargo;All-Cargo;53
LFMN;DEP;2016;Lowcost;Lowcost;2347
GCRR;DEP;2016;Lowcost;Lowcost;1298
EHAM;DEP;2016;Cargo;All-Cargo;573
LFBO;DEP;2016;Cargo;All-Cargo;233
ESSA;DEP;2016;Business;Business Aviation;159
LBBG;DEP;2016;Scheduled;Traditional Scheduled;429
GCXO;DEP;2016;Scheduled;Traditional Scheduled;1809
ENBR;DEP;2016;Lowcost;Lowcost;666
ENVA;DEP;2016;Lowcost;Lowcost;442
EBCI;DEP;2016;Other;Other Types;58
LGTS;DEP;2016;Business;Business Aviation;153
LIMF;DEP;2016;Other;Other Types;19
LZIB;DEP;2016;Lowcost;Lowcost;507
EDDN;DEP;2016;Scheduled;Traditional Scheduled;784
GCFV;DEP;2016;Scheduled;Traditional Scheduled;1002
LEPA;DEP;2016;Other;Other Types;35
GMMX;DEP;2016;Military;Military;100
EDDS;DEP;2016;Other;Other Types;95
LEAL;DEP;2016;Cargo;All-Cargo;49
EPKT;DEP;2016;Scheduled;Traditional Scheduled;151
LIPE;DEP;2016;Cargo;All-Cargo;128
LQSA;DEP;2016;Scheduled;Traditional Scheduled;318
LFSB;DEP;2016;Other;Other Types;58
LCLK;DEP;2016;Business;Business Aviation;219
EDDW;DEP;2016;Lowcost;Lowcost;542
ELLX;DEP;2016;Business;Business Aviation;337
GMMN;DEP;2016;Non-Scheduled;Charter;62
EDDP;DEP;2016;Business;Business Aviation;72
EGCC;DEP;2016;Cargo;All-Cargo;90
LIME;DEP;2016;Business;Business Aviation;86
EDDC;DEP;2016;Other;Other Types;31
LBSF;DEP;2016;Business;Business Aviation;175
EPWA;DEP;2016;Military;Military;86
LICC;DEP;2016;Non-Scheduled;Charter;83
LBBG;DEP;2016;Cargo;All-Cargo;23
EDDN;DEP;2016;Cargo;All-Cargo;47
EDDK;DEP;2016;Cargo;All-Cargo;1170
EFHK;DEP;2016;Scheduled;Traditional Scheduled;5766
LTAI;DEP;2016;Scheduled;Traditional Scheduled;1885
LDZA;DEP;2016;Scheduled;Traditional Scheduled;1601
LIMC;DEP;2016;Non-Scheduled;Charter;245
EDDM;DEP;2016;Scheduled;Traditional Scheduled;13373
ENGM;DEP;2016;Scheduled;Traditional Scheduled;6387
LFMN;DEP;2016;Scheduled;Traditional Scheduled;3220
LIRF;DEP;2016;Lowcost;Lowcost;4235
EGNT;DEP;2016;Business;Business Aviation;109
LEBB;DEP;2016;Scheduled;Traditional Scheduled;988
LEPA;DEP;2016;Business;Business Aviation;879
EDDK;DEP;2016;Scheduled;Traditional Scheduled;738
LSZH;DEP;2016;Lowcost;Lowcost;1585
LFBO;DEP;2016;Lowcost;Lowcost;1174
EVRA;DEP;2016;Lowcost;Lowcost;2272
ESSA;DEP;2016;Scheduled;Traditional Scheduled;6695
ENVA;DEP;2016;Lowcost;Lowcost;538
GCLP;DEP;2016;Scheduled;Traditional Scheduled;2409
EHAM;DEP;2016;Cargo;All-Cargo;581
LFBD;DEP;2016;Lowcost;Lowcost;1443
LKPR;DEP;2016;Cargo;All-Cargo;138
LEIB;DEP;2016;Lowcost;Lowcost;3717
EGLC;DEP;2016;Lowcost;Lowcost;384
LEMD;DEP;2016;Lowcost;Lowcost;4614
EGPH;DEP;2016;Scheduled;Traditional Scheduled;1976
LIML;DEP;2016;Business;Business Aviation;500
EETN;DEP;2016;Scheduled;Traditional Scheduled;1005
LEPA;DEP;2016;Lowcost;Lowcost;8885
LFBD;DEP;2016;Scheduled;Traditional Scheduled;871
EGGW;DEP;2016;Scheduled;Traditional Scheduled;260
GMMX;DEP;2016;Lowcost;Lowcost;645
LEPA;DEP;2016;Scheduled;Traditional Scheduled;3113
LICJ;DEP;2016;Business;Business Aviation;118
LEZL;DEP;2016;Lowcost;Lowcost;1048
LTBA;DEP;2016;Non-Scheduled;Charter;79
ESGG;DEP;2016;Non-Scheduled;Charter;71
LGAV;DEP;2016;Lowcost;Lowcost;1533
EGNT;DEP;2016;Scheduled;Traditional Scheduled;807
UGTB;DEP;2016;Non-Scheduled;Charter;127
LMML;DEP;2016;Scheduled;Traditional Scheduled;1024
ENTC;DEP;2016;Cargo;All-Cargo;58
GCFV;DEP;2016;Non-Scheduled;Charter;110
LEBL;DEP;2016;Non-Scheduled;Charter;302
EGSS;DEP;2016;Cargo;All-Cargo;408
LFPO;DEP;2016;Other;Other Types;68
GMMX;DEP;2016;Business;Business Aviation;41
LFRS;DEP;2016;Business;Business Aviation;49
LEZL;DEP;2016;Scheduled;Traditional Scheduled;373
LBSF;DEP;2016;Business;Business Aviation;133
LEZL;DEP;2016;Non-Scheduled;Charter;23
LFPG;DEP;2016;Other;Other Types;191
UGKO;DEP;2016;Scheduled;Traditional Scheduled;49
LYBE;DEP;2016;Lowcost;Lowcost;218
LEBL;DEP;2016;Cargo;All-Cargo;159
EDDV;DEP;2016;Non-Scheduled;Charter;97
LPPT;DEP;2016;Cargo;All-Cargo;81
EKCH;DEP;2016;Non-Scheduled;Charter;242
EDDS;DEP;2016;Lowcost;Lowcost;3083
LTBA;DEP;2016;Scheduled;Traditional Scheduled;16606
LTBA;DEP;2016;Lowcost;Lowcost;2370
EHAM;DEP;2016;Cargo;All-Cargo;576
LEMG;DEP;2016;Scheduled;Traditional Scheduled;1589
LEPA;DEP;2016;Non-Scheduled;Charter;860
LIMC;DEP;2016;Scheduled;Traditional Scheduled;3307
LCLK;DEP;2016;Non-Scheduled;Charter;460
GCLP;DEP;2016;Lowcost;Lowcost;1512
LROP;DEP;2016;Non-Scheduled;Charter;251
BIKF;DEP;2016;Other;Other Types;7
EHAM;DEP;2016;Lowcost;Lowcost;5496
LKPR;DEP;2016;Lowcost;Lowcost;2300
LEBB;DEP;2016;Business;Business Aviation;40
EGAA;DEP;2016;Cargo;All-Cargo;165
EGNX;DEP;2016;Cargo;All-Cargo;958
LROP;DEP;2016;Military;Military;119
LIMF;DEP;2016;Scheduled;Traditional Scheduled;1147
LEVC;DEP;2016;Scheduled;Traditional Scheduled;1143
LMML;DEP;2016;Scheduled;Traditional Scheduled;939
LIMF;DEP;2016;Lowcost;Lowcost;438
LYPG;DEP;2016;Scheduled;Traditional Scheduled;401
EGLL;DEP;2016;Lowcost;Lowcost;562
LEMG;DEP;2016;Lowcost;Lowcost;3956
LFML;DEP;2016;Scheduled;Traditional Scheduled;2312
EDDC;DEP;2016;Scheduled;Traditional Scheduled;398
UDYZ;DEP;2016;Scheduled;Traditional Scheduled;799
EGBB;DEP;2016;Cargo;All-Cargo;83
LIPE;DEP;2016;Business;Business Aviation;157
EGSS;DEP;2016;Business;Business Aviation;439
EDDV;DEP;2016;Lowcost;Lowcost;958
EGPF;DEP;2016;Scheduled;Traditional Scheduled;1723
LGTS;DEP;2016;Scheduled;Traditional Scheduled;1438
LIMC;DEP;2016;Cargo;All-Cargo;389
LFRS;DEP;2016;Scheduled;Traditional Scheduled;607
EBCI;DEP;2016;Business;Business Aviation;92
EDDN;DEP;2016;Cargo;All-Cargo;64
LATI;DEP;2016;Cargo;All-Cargo;180
EGCC;DEP;2016;Business;Business Aviation;242
LYBE;DEP;2016;Business;Business Aviation;266
LBBG;DEP;2016;Lowcost;Lowcost;387
LGRP;DEP;2016;Non-Scheduled;Charter;604
LHBP;DEP;2016;Business;Business Aviation;216
EDDP;DEP;2016;Lowcost;Lowcost;542
ESSB;DEP;2016;Other;Other Types;31
EDDL;DEP;2016;Business;Business Aviation;406
LGTS;DEP;2016;Business;Business Aviation;108
LOWW;DEP;2016;Other;Other Types;45
LEMG;DEP;2016;Other;Other Types;53
EPKT;DEP;2016;Scheduled;Traditional Scheduled;148
LSGG;DEP;2016;Other;Other Types;104
ENVA;DEP;2016;Other;Other Types;23
EDDS;DEP;2016;Business;Business Aviation;562
EFHK;DEP;2016;Lowcost;Lowcost;848
LTBJ;DEP;2016;Cargo;All-Cargo;42
LPPR;DEP;2016;Other;Other Types;12
LGTS;DEP;2016;Cargo;All-Cargo;116
ENZV;DEP;2016;Lowcost;Lowcost;599
LWSK;DEP;2016;Scheduled;Traditional Scheduled;315
GMMN;DEP;2016;Lowcost;Lowcost;257
EGGD;DEP;2016;Non-Scheduled;Charter;14
LPFR;DEP;2016;Non-Scheduled;Charter;118
