AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
UGTB;UGTB;DEP;2025;10;[>+61];NA;NA
LIEO;LIEO;DEP;2019;11;[- 5, -15];NA;NA
UGTB;UGTB;ARR;2019;1;[+31, +60];NA;NA
LCLK;LCLK;ARR;2024;10;[>+61];NA;NA
LGTS;LGTS;DEP;2021;8;[- 5, -15];NA;NA
EGNT;EGNT;ARR;2020;11;[>+61];NA;NA
EPKT;EPKT;ARR;2023;9;[-16, -30];NA;NA
LIEO;LIEO;DEP;2022;9;[+31, +60];NA;NA
LIPE;LIPE;DEP;2020;7;[+ 5, +15];NA;NA
EBLG;EBLG;DEP;2020;12;[- 4, + 4];NA;NA
LICJ;LICJ;DEP;2024;6;[+31, +60];NA;NA
LFBD;LFBD;ARR;2025;7;[>+61];NA;NA
EPKT;EPKT;ARR;2024;11;[<-31];NA;NA
LICJ;LICJ;DEP;2025;12;[<-31];NA;NA
EBLG;EBLG;DEP;2025;7;[- 4, + 4];NA;NA
UKBB;UKBB;ARR;2019;5;[- 4, + 4];NA;NA
LWSK;LWSK;ARR;2020;6;[<-31];NA;NA
EGNX;EGNX;ARR;2025;6;[>+61];NA;NA
LFRS;LFRS;DEP;2023;3;[- 4, + 4];NA;NA
LIEO;LIEO;DEP;2019;7;[- 4, + 4];NA;NA
EGNX;EGNX;ARR;2025;10;[+31, +60];NA;NA
LBWN;LBWN;DEP;2020;9;[<-31];NA;NA
LIPE;LIPE;DEP;2021;6;[+ 5, +15];NA;NA
GMMX;GMMX;DEP;2020;2;[-16, -30];NA;NA
LGRP;LGRP;DEP;2026;2;[-16, -30];NA;NA
LYBE;LYBE;ARR;2024;1;[- 4, + 4];NA;NA
EPGD;EPGD;ARR;2024;10;[+31, +60];NA;NA
LQSA;LQSA;ARR;2020;3;[-16, -30];NA;NA
UKBB;UKBB;ARR;2022;2;[+31, +60];NA;NA
LTBA;LTBA;DEP;2025;1;[+ 5, +15];NA;NA
LFRS;LFRS;ARR;2025;8;[- 4, + 4];NA;NA
UGKO;UGKO;ARR;2021;12;[<-31];NA;NA
LWSK;LWSK;ARR;2021;2;[-16, -30];NA;NA
EBLG;EBLG;DEP;2022;1;[- 4, + 4];NA;NA
ENTC;ENTC;DEP;2024;1;[+16, +30];NA;NA
EGCC;EGCC;ARR;2024;7;[<-31];NA;NA
LFBD;LFBD;DEP;2022;10;[+16, +30];NA;NA
EBLG;EBLG;DEP;2024;7;[<-31];NA;NA
LIPE;LIPE;DEP;2020;9;[+16, +30];NA;NA
LICJ;LICJ;ARR;2019;11;[+ 5, +15];NA;NA
LTFJ;LTFJ;DEP;2025;6;[+ 5, +15];NA;NA
