bias_s,coverage_pct,det_type,mad_s,milestone,n_detected,n_truth,p90_abs_s,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
,0.0,landing,,AIBT,0,55415,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,0.05,take-off,25.0,ATOT,28,55252,75.0,L05_ordered_airport,6,0.01,26,0.05,26,0.05,19,0.03,23,0.04
,0.0,take-off,,AIBT,0,55415,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35.0,0.23,landing,35.0,ALDT,129,55415,85470.0,L06_deterministic_ids,6,0.01,113,0.2,113,0.2,51,0.09,96,0.17
,0.0,landing,,AOBT,0,55252,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,0.05,take-off,25.0,ATOT,28,55252,75.0,L06_deterministic_ids,6,0.01,26,0.05,26,0.05,19,0.03,23,0.04
,0.0,take-off,,AIBT,0,55415,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35.0,0.23,landing,35.0,ALDT,129,55415,85470.0,L07_all_crossings,6,0.01,113,0.2,113,0.2,51,0.09,96,0.17
,0.0,landing,,AOBT,0,55252,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,0.05,take-off,25.0,ATOT,28,55252,75.0,L07_all_crossings,6,0.01,26,0.05,26,0.05,19,0.03,23,0.04
,0.0,take-off,,AIBT,0,55415,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35.0,0.23,landing,35.0,ALDT,129,55415,85470.0,L08_interpolated,6,0.01,113,0.2,113,0.2,51,0.09,96,0.17
,0.0,landing,,AOBT,0,55252,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,0.05,take-off,25.0,ATOT,28,55252,75.0,L08_interpolated,6,0.01,26,0.05,26,0.05,19,0.03,23,0.04
,0.0,take-off,,AIBT,0,55415,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35.0,0.23,landing,35.0,ALDT,129,55415,85470.0,L09_rings,6,0.01,113,0.2,113,0.2,51,0.09,96,0.17
,0.0,landing,,AOBT,0,55252,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
