airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
LIEE,195,1,0,0,arrivals,0.0,0.0,legacy
EPWR,194,189,189,190,arrivals,0.9742268041237113,0.979381443298969,legacy
EPWR,193,190,190,190,departures,0.9844559585492227,0.9844559585492227,legacy
EGNM,193,173,173,176,arrivals,0.8963730569948186,0.9119170984455959,legacy
UDYZ,192,1,0,0,departures,0.0,0.0,legacy
UDYZ,192,1,0,0,arrivals,0.0,0.0,legacy
LIEE,191,1,0,0,departures,0.0,0.0,legacy
EHEH,191,191,189,189,departures,0.9895287958115183,0.9895287958115183,legacy
EGNM,190,185,184,184,departures,0.968421052631579,0.968421052631579,legacy
EHEH,190,187,186,187,arrivals,0.9789473684210527,0.9842105263157894,legacy
EYVI,189,116,115,118,arrivals,0.6084656084656085,0.6243386243386243,legacy
EGLC,189,189,189,189,arrivals,1.0,1.0,legacy
EYVI,186,175,175,177,departures,0.9408602150537635,0.9516129032258065,legacy
DAAG,186,5,4,4,departures,0.021505376344086023,0.021505376344086023,legacy
DTTA,186,0,0,0,arrivals,0.0,0.0,legacy
DTTA,185,2,0,0,departures,0.0,0.0,legacy
DAAG,184,93,92,93,arrivals,0.5,0.5054347826086957,legacy
LFOB,181,172,172,172,departures,0.9502762430939227,0.9502762430939227,legacy
LFOB,181,177,144,144,arrivals,0.7955801104972375,0.7955801104972375,legacy
LDDU,180,4,0,0,arrivals,0.0,0.0,legacy
LGKO,178,168,168,169,departures,0.9438202247191011,0.949438202247191,legacy
LDDU,177,1,0,0,departures,0.0,0.0,legacy
LGKO,177,166,166,169,arrivals,0.9378531073446328,0.9548022598870056,legacy
EETN,162,142,142,142,arrivals,0.8765432098765432,0.8765432098765432,legacy
EPPO,161,156,156,156,departures,0.968944099378882,0.968944099378882,legacy
HESH,161,0,0,0,arrivals,0.0,0.0,legacy
UMKK,160,1,0,0,departures,0.0,0.0,legacy
EETN,159,149,149,150,departures,0.9371069182389937,0.9433962264150944,legacy
LPMA,159,153,153,153,departures,0.9622641509433962,0.9622641509433962,legacy
HESH,159,0,0,0,departures,0.0,0.0,legacy
UMKK,159,0,0,0,arrivals,0.0,0.0,legacy
LPMA,158,14,14,18,arrivals,0.08860759493670886,0.11392405063291139,legacy
LIMF,157,153,151,152,departures,0.9617834394904459,0.9681528662420382,legacy
LIMF,157,155,153,157,arrivals,0.9745222929936306,1.0,legacy
LIRA,156,153,49,49,arrivals,0.3141025641025641,0.3141025641025641,legacy
LIRA,154,152,152,155,departures,0.987012987012987,1.0064935064935066,legacy
EPPO,154,148,148,148,arrivals,0.961038961038961,0.961038961038961,legacy
EKBI,154,150,149,150,arrivals,0.9675324675324676,0.974025974025974,legacy
LPPD,153,42,42,42,departures,0.27450980392156865,0.27450980392156865,legacy
EKBI,152,146,146,147,departures,0.9605263157894737,0.9671052631578947,legacy
LPPD,151,92,91,93,arrivals,0.6026490066225165,0.6158940397350994,legacy
ULLI,148,1,0,0,arrivals,0.0,0.0,legacy
OLBA,144,8,5,5,departures,0.034722222222222224,0.034722222222222224,legacy
LIPX,144,120,119,119,departures,0.8263888888888888,0.8263888888888888,legacy
OLBA,144,17,16,17,arrivals,0.1111111111111111,0.11805555555555555,legacy
ENTC,143,7,0,0,arrivals,0.0,0.0,legacy
ULLI,142,0,0,0,departures,0.0,0.0,legacy
LIPX,142,138,138,143,arrivals,0.971830985915493,1.0070422535211268,legacy
LGSR,139,3,0,0,departures,0.0,0.0,legacy
LGSR,139,2,0,0,arrivals,0.0,0.0,legacy
ENTC,138,5,0,0,departures,0.0,0.0,legacy
LTCG,138,84,84,84,arrivals,0.6086956521739131,0.6086956521739131,legacy
EGPD,137,124,124,124,departures,0.9051094890510949,0.9051094890510949,legacy
EGPD,136,123,123,123,arrivals,0.9044117647058824,0.9044117647058824,legacy
ENBO,134,99,98,127,departures,0.7313432835820896,0.9477611940298507,legacy
EBLG,134,133,132,138,departures,0.9850746268656716,1.0298507462686568,legacy
LTDB,133,3,0,0,departures,0.0,0.0,legacy
LTCG,133,97,97,97,departures,0.7293233082706767,0.7293233082706767,legacy
ENBO,133,115,110,129,arrivals,0.8270676691729323,0.9699248120300752,legacy
LRCL,130,0,0,0,departures,0.0,0.0,legacy
LIBR,130,2,0,0,departures,0.0,0.0,legacy
LRCL,129,0,0,0,arrivals,0.0,0.0,legacy
LTDB,129,3,0,0,arrivals,0.0,0.0,legacy
LGZA,126,126,123,125,departures,0.9761904761904762,0.9920634920634921,legacy
EBLG,126,97,97,102,arrivals,0.7698412698412699,0.8095238095238095,legacy
LGZA,126,119,118,120,arrivals,0.9365079365079365,0.9523809523809523,legacy
LIBR,125,0,0,0,arrivals,0.0,0.0,legacy
EGAC,123,120,120,121,departures,0.975609756097561,0.983739837398374,legacy
EGAC,123,116,116,140,arrivals,0.943089430894309,1.1382113821138211,legacy
BKPR,120,0,0,0,departures,0.0,0.0,legacy
BKPR,120,2,0,0,arrivals,0.0,0.0,legacy
EICK,120,119,119,119,arrivals,0.9916666666666667,0.9916666666666667,legacy
EICK,119,118,118,118,departures,0.9915966386554622,0.9915966386554622,legacy
LDZD,118,10,3,3,arrivals,0.025423728813559324,0.025423728813559324,legacy
OJAI,116,1,0,1,departures,0.0,0.008620689655172414,legacy
OJAI,116,0,0,0,arrivals,0.0,0.0,legacy
LDZD,114,1,0,0,departures,0.0,0.0,legacy
LICA,112,1,0,0,arrivals,0.0,0.0,legacy
EGLF,110,110,109,119,departures,0.990909090909091,1.0818181818181818,legacy
LICA,108,0,0,0,departures,0.0,0.0,legacy
EGJJ,108,106,96,96,arrivals,0.8888888888888888,0.8888888888888888,legacy
EGLF,108,107,104,107,arrivals,0.9629629629629629,0.9907407407407407,legacy
LCPH,107,98,97,97,arrivals,0.9065420560747663,0.9065420560747663,legacy
LWSK,106,0,0,0,departures,0.0,0.0,legacy
OKKK,106,103,103,103,departures,0.9716981132075472,0.9716981132075472,legacy
LEST,106,82,79,79,arrivals,0.7452830188679245,0.7452830188679245,legacy
LCPH,105,23,23,23,departures,0.21904761904761905,0.21904761904761905,legacy
LGMK,105,12,9,9,departures,0.08571428571428572,0.08571428571428572,legacy
LEST,105,15,15,15,departures,0.14285714285714285,0.14285714285714285,legacy
LZIB,105,101,101,101,departures,0.9619047619047619,0.9619047619047619,legacy
LEGE,105,29,27,27,arrivals,0.2571428571428571,0.2571428571428571,legacy
LWSK,105,0,0,0,arrivals,0.0,0.0,legacy
LZIB,105,103,103,103,arrivals,0.9809523809523809,0.9809523809523809,legacy
LEGE,104,79,79,80,departures,0.7596153846153846,0.7692307692307693,legacy
