adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,datum,fl_cap,k,legacy,margin,n_ground_truth,penalty_nm,radius_nm,stage,stage2_role
0.979015428134336,67835,0.7284683964842928,0.08297237057908238,0.9800338067237817,0.7935545262771714,0.0,0.0,0.7131817990664031,0.0,64927.0,1454,0.9498597158113856,62970,0.696980529038227,0.08372934101518147,0.9502754093412812,0.7603382595924362,0.0,0.0,0.6620337272383195,0.0,56322.0,3324,field,6100,2.0,True,4,95116,0.0,30.0,0,
0.9956230271079436,61189,0.6461373480802388,0.08297237057908238,0.9966446779053669,0.7038773732000367,0.0,0.0,0.6433092224231465,0.0,60651.0,269,0.988541323674679,60044,0.6385886706758064,0.08372934101518147,0.9889157896470511,0.6966793647879567,0.0,0.0,0.6312712897935153,0.0,58652.0,696,field,2000,2.0,,0,95116,10.0,5.0,1,
0.9930850891146966,61180,0.6476933428655537,0.08297237057908238,0.9941339919728311,0.7055512244336422,0.0,0.0,0.643214601118634,0.0,60328.0,426,0.9863212335057276,61218,0.6525400563522435,0.08372934101518147,0.9867663888844114,0.711848265100055,0.0,0.0,0.6436141132932419,0.0,59520.0,849,field,2000,2.0,,0,95116,10.0,10.0,1,
0.9915239129377826,61180,0.6487131502586315,0.08297237057908238,0.9925856222723364,0.7066518389434101,0.0,0.0,0.643214601118634,0.0,60134.0,523,0.9841132014793376,61202,0.6538332141805795,0.08372934101518147,0.9845881595881596,0.7132366440242335,0.0,0.0,0.6434458976407754,0.0,59226.0,988,field,2000,2.0,,0,95116,10.0,15.0,1,
0.9889600103449391,61183,0.6504268472181336,0.08297237057908238,0.9900482216252953,0.7084976611941668,0.0,0.0,0.6432461415534716,0.0,59817.0,683,0.9825670990111725,61210,0.6549476428781699,0.08372934101518147,0.9830720801747398,0.7144299614466679,0.0,0.0,0.6435300054670087,0.0,59038.0,1086,field,2000,2.0,,0,95116,10.0,20.0,1,
0.9837446740091648,61184,0.6538857815719753,0.08297237057908238,0.9848214141999453,0.7122695588370174,0.0,0.0,0.6432566550317507,0.0,59162.0,1011,0.9792383115532878,61221,0.6572921485344211,0.08372934101518147,0.9797868254273094,0.7169542867633559,0.0,0.0,0.6436456537280794,0.0,58625.0,1298,field,2000,2.0,,0,95116,10.0,30.0,1,
0.9793991004113777,61186,0.6568085285335801,0.08297237057908238,0.9804820203833088,0.7154452902870769,0.0,0.0,0.643277681988309,0.0,58612.0,1287,0.9763666517828666,61226,0.6592791959291812,0.08372934101518147,0.976943083722934,0.7190999632825409,0.0,0.0,0.6436982211194752,0.0,58262.0,1482,field,2000,2.0,,0,95116,10.0,40.0,1,
0.9650636425292977,61186,0.6665650363766349,0.08297237057908238,0.9661455866098215,0.726061634412547,0.0,0.0,0.643277681988309,0.0,56756.0,2215,0.9686931485612137,61234,0.6645885024601539,0.08372934101518147,0.9693832320162108,0.7248026436570589,0.0,0.0,0.6437823289457084,0.0,57276.0,1979,field,2000,2.0,,0,95116,10.0,60.0,1,
0.9493708203385622,61186,0.6775831616131881,0.08297237057908238,0.950654112675181,0.7378932403925526,0.0,0.0,0.643277681988309,0.0,54660.0,3263,0.9636478086395468,61235,0.668078977248833,0.08372934101518147,0.9644977870182236,0.7284858637782266,0.0,0.0,0.6437928424239876,0.0,56615.0,2310,field,2000,2.0,,0,95116,10.0,80.0,1,
0.9954533023383016,58238,0.6150805332436183,0.08297237057908238,0.9964752583669838,0.6700449417591489,0.0,0.0,0.6122839480213634,0.0,57706.0,266,0.9890234857849196,60009,0.6379052945876614,0.08372934101518147,0.989382223467924,0.6959450156049202,0.0,0.0,0.6309033180537449,0.0,58677.0,666,field,2000,2.0,,2,95116,10.0,5.0,1,
0.9904889917310375,58215,0.6179191723789899,0.08297237057908238,0.9915011751882005,0.6731404200678712,0.0,0.0,0.6120421380209429,0.0,57097.0,559,0.9869096426380863,61143,0.6513520333066992,0.08372934101518147,0.9873239891486888,0.710574628235726,0.0,0.0,0.6428256024223054,0.0,59521.0,811,field,2000,2.0,,2,95116,10.0,10.0,1,
0.9876825978520893,58215,0.6196749232516086,0.08297237057908238,0.988689050797371,0.6750550307254884,0.0,0.0,0.6120421380209429,0.0,56763.0,726,0.9848384757915088,61124,0.6525190293956853,0.08372934101518147,0.9852670943615204,0.7118367908940701,0.0,0.0,0.6426258463350015,0.0,59242.0,941,field,2000,2.0,,2,95116,10.0,15.0,1,
0.9829297943470773,58215,0.6226712645611674,0.08297237057908238,0.983943209667878,0.6783110153168853,0.0,0.0,0.6120421380209429,0.0,56193.0,1011,0.9833974163033511,61127,0.6535072963539257,0.08372934101518147,0.983840594872125,0.7129038920506701,0.0,0.0,0.642657386769839,0.0,59063.0,1032,field,2000,2.0,,2,95116,10.0,20.0,1,
0.9762212197944091,58215,0.626950250220783,0.08297237057908238,0.9772208420063117,0.6829771622489224,0.0,0.0,0.6120421380209429,0.0,55379.0,1418,0.9805289579624372,61135,0.6555048572269649,0.08372934101518147,0.9809694966383723,0.7150839911878099,0.0,0.0,0.6427414945960722,0.0,58707.0,1214,field,2000,2.0,,2,95116,10.0,30.0,1,
0.9703965462637307,58217,0.6307351024012784,0.08297237057908238,0.9714004438437537,0.6870930019260754,0.0,0.0,0.6120631649775011,0.0,54665.0,1776,0.9779267102800748,61139,0.6572921485344211,0.08372934101518147,0.9783648845433742,0.7170346062052506,0.0,0.0,0.6427835485091887,0.0,58379.0,1380,field,2000,2.0,,2,95116,10.0,40.0,1,
0.9496142365472132,58218,0.6445498128600866,0.08297237057908238,0.9505755571883419,0.7021576630285242,0.0,0.0,0.6120736784557803,0.0,52040.0,3089,0.9708642288944285,61146,0.6621493754993902,0.08372934101518147,0.971342335186656,0.7223012667523407,0.0,0.0,0.6428571428571429,0.0,57476.0,1835,field,2000,2.0,,2,95116,10.0,60.0,1,
0.9300445708260779,58218,0.6581121998401951,0.08297237057908238,0.9311155537784886,0.7168325231587637,0.0,0.0,0.6120736784557803,0.0,49460.0,4379,0.9660484074823054,61147,0.6654611211573237,0.08372934101518147,0.9665828867706802,0.7258697448136588,0.0,0.0,0.642867656335422,0.0,56849.0,2149,field,2000,2.0,,2,95116,10.0,80.0,1,
0.9953093756423913,53260,0.562586736195803,0.08297237057908238,0.9963893513928124,0.612824451985692,0.0,0.0,0.5599478531477354,0.0,52758.0,251,0.9893830227743271,59734,0.6347512511039152,0.08372934101518147,0.9897272757398018,0.6925142280154213,0.0,0.0,0.6280121115269776,0.0,58452.0,641,field,2000,2.0,,4,95116,10.0,5.0,1,
0.9901980842555566,53238,0.5652571596787082,0.08297237057908238,0.9912674325506917,0.6157364945427863,0.0,0.0,0.559716556625594,0.0,52184.0,527,0.9871978864281288,60533,0.6446654611211573,0.08372934101518147,0.9875844291447776,0.7032999816412704,0.0,0.0,0.6364123806720215,0.0,58963.0,785,field,2000,2.0,,4,95116,10.0,10.0,1,
0.979648167230973,53238,0.5713444636023381,0.08297237057908238,0.9806948384482187,0.6223745758048244,0.0,0.0,0.559716556625594,0.0,51026.0,1106,0.9853602136529442,60509,0.6456116741662812,0.08372934101518147,0.9857615300653275,0.7043211859739306,0.0,0.0,0.6361600571933218,0.0,58711.0,899,field,2000,2.0,,4,95116,10.0,15.0,1,
0.9671371736879394,53238,0.5787354388325834,0.08297237057908238,0.9681748745180767,0.6304228194075026,0.0,0.0,0.559716556625594,0.0,49620.0,1809,0.9838227164829447,60511,0.6466419950376383,0.08372934101518147,0.984222768009629,0.7054456581604553,0.0,0.0,0.6361810841498802,0.0,58521.0,995,field,2000,2.0,,4,95116,10.0,20.0,1,
0.9555938470374957,53239,0.5857374153664998,0.08297237057908238,0.956606892586337,0.6380583325690177,0.0,0.0,0.5597270701038731,0.0,48291.0,2474,0.9813034101412379,60516,0.6483556919971404,0.08372934101518147,0.9817173077235047,0.7073044795300165,0.0,0.0,0.6362336515412759,0.0,58210.0,1153,field,2000,2.0,,4,95116,10.0,30.0,1,
0.9464066693922534,53242,0.5914567475503596,0.08297237057908238,0.9474002633545677,0.6442951481243694,0.0,0.0,0.5597586105387107,0.0,47212.0,3015,0.9789068439527021,60517,0.6499537406955718,0.08372934101518147,0.9793187151064002,0.7090485588397283,0.0,0.0,0.636244165019555,0.0,57909.0,1304,field,2000,2.0,,4,95116,10.0,40.0,1,
0.9170814888816163,53243,0.6103810084528365,0.08297237057908238,0.918014414290148,0.6649316701825185,0.0,0.0,0.5597691240169897,0.0,43615.0,4814,0.9716629740230549,60521,0.6548425080953783,0.08372934101518147,0.9720843572816782,0.7143725904167432,0.0,0.0,0.6362862189326717,0.0,56991.0,1765,field,2000,2.0,,4,95116,10.0,60.0,1,
0.8903213939333132,53243,0.6287270280499601,0.08297237057908238,0.8913199966518791,0.6848459139686325,0.0,0.0,0.5597691240169897,0.0,40125.0,6559,0.9656635925583177,60522,0.65892173766769,0.08372934101518147,0.9661260455909584,0.7187901597209473,0.0,0.0,0.6362967324109509,0.0,56218.0,2152,field,2000,2.0,,4,95116,10.0,80.0,1,
0.9932087772780779,32906,0.348322048866647,0.08297237057908238,0.994439407676035,0.3793680638356416,0.0,0.0,0.34595651625383744,0.0,32456.0,225,0.9899130143860823,59177,0.6284957315278187,0.08372934101518147,0.990227740499657,0.6857100238663485,0.0,0.0,0.6221561041254888,0.0,57971.0,603,field,2000,2.0,,8,95116,10.0,5.0,1,
0.9665285491786417,32890,0.3577631523613272,0.08297237057908238,0.9677229528937535,0.3896519306612859,0.0,0.0,0.34578830060137095,0.0,30612.0,1139,0.9875629305776364,59633,0.6348458724084276,0.08372934101518147,0.9878901331919687,0.6926289700752708,0.0,0.0,0.626950250220783,0.0,58131.0,751,field,2000,2.0,,8,95116,10.0,10.0,1,
0.9021092185742889,32890,0.38331090457967115,0.08297237057908238,0.9031992310860909,0.4174883059708337,0.0,0.0,0.34578830060137095,0.0,25752.0,3569,0.9858265112048292,59608,0.635697464149039,0.08372934101518147,0.9861527008023824,0.6935583807600514,0.0,0.0,0.6266874132638042,0.0,57894.0,857,field,2000,2.0,,8,95116,10.0,15.0,1,
0.8777688817720843,32890,0.39394003111989573,0.08297237057908238,0.8788947677836567,0.4290332935889205,0.0,0.0,0.34578830060137095,0.0,23730.0,4580,0.9832415135420447,59610,0.6373901341519829,0.08372934101518147,0.9835659835659836,0.6954057279236276,0.0,0.0,0.6267084402203625,0.0,57578.0,1016,field,2000,2.0,,8,95116,10.0,20.0,1,
0.8187294633077765,32890,0.4223474494301695,0.08297237057908238,0.8197293323031678,0.45999954141062094,0.0,0.0,0.34578830060137095,0.0,18326.0,7282,0.9807834685181225,59613,0.6390197232852517,0.08372934101518147,0.9811063017396027,0.6971842298512942,0.0,0.0,0.6267399806552,0.0,57277.0,1168,field,2000,2.0,,8,95116,10.0,30.0,1,
