n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,trend_max_datum,trend_max_height_ft,trend_ceiling,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.6745552798687918,0.6698662685562892,0.9882327270460248,0.9819351800988778,0.6666176037680306,0.657765255056983,2.0,63406,755,61896.0,62564,1151,60262.0,0.08297237057908238,0.0,0.0,0.0,0.7346716500045859,0.989466456515972,0.08372934101518147,0.0,0.0,0.0,0.7305971176794566,0.9825828844251095,path0_legacy,trend,trend,40,30.0,4,0.0,ring,40,msl,6000.0,40.0,40.0,15000.0,10.0
95116,0.6745552798687918,0.6698662685562892,0.9902277084210034,0.9833948049909754,0.6679633289877623,0.6587430085369443,2.0,63534,627,62280.0,62657,1058,60541.0,0.08297237057908238,0.0,0.0,0.0,0.7346716500045859,0.9914639284655358,0.08372934101518147,0.0,0.0,0.0,0.7305971176794566,0.9840434721153393,path1_penalty,trend,trend,40,30.0,4,10.0,ring,40,msl,6000.0,40.0,40.0,15000.0,10.0
95116,0.7186698347281214,0.6894739055469111,0.9864388431323785,0.9660414760597743,0.7089238403633458,0.6660603894192355,2.0,67430,927,65576.0,63353,2227,58899.0,0.08297237057908238,0.0,0.0,0.0,0.7827432816655966,0.9876380466942027,0.08372934101518147,0.0,0.0,0.0,0.7520768312832752,0.9665573270272332,path2_ceiling,trend,trend,60,30.0,4,10.0,ring,60,msl,6000.0,60.0,40.0,15000.0,10.0
95116,0.72253879473485,0.691439925985113,0.9859003273917788,0.9658187236760077,0.7123512342823499,0.667805626813575,2.0,67756,969,65818.0,63519,2248,59023.0,0.08297237057908238,0.0,0.0,0.0,0.7868476566082729,0.987236274624082,0.08372934101518147,0.0,0.0,0.0,0.7542110335964751,0.966347689826718,path3_margin,trend,trend,60,30.0,2,10.0,ring,60,msl,6000.0,60.0,40.0,15000.0,10.0
95116,0.7222128769081964,0.6882753690230876,0.9870731068215565,0.9668682980478416,0.7128769081963077,0.6654716346356029,2.0,67806,888,66030.0,63297,2169,58959.0,0.08297237057908238,0.0,0.0,0.0,0.7865839677153077,0.9882959961521083,0.08372934101518147,0.0,0.0,0.0,0.7507802460069763,0.9673707054652158,path4_radius,trend,trend,60,20.0,2,10.0,ring,60,msl,6000.0,60.0,40.0,15000.0,10.0
95116,0.7260713234366458,0.6900942007653812,0.986417804549601,0.9651274394795777,0.7162096808107995,0.666028848984398,2.0,68123,938,66247.0,63350,2289,58772.0,0.08297237057908238,0.0,0.0,0.0,0.7907685957993212,0.9876620175718387,0.08372934101518147,0.0,0.0,0.0,0.752753809436387,0.9656423388817755,path5_datum,trend,trend,40,20.0,2,10.0,ring,40,field,6100.0,6100.0,40.0,15000.0,10.0
