adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,k,model,n_ground_truth
0.9814247993379136,74709,0.8003175070440305,0.08297237057908238,0.9856831124594178,0.8616435843345868,0.8921985815602836,0.07970096300050684,0.7854514487573069,0.007412002186803482,71881.0,1414,0.9621852517985612,64197,0.7014592707851466,0.08372934101518147,0.9654418857005064,0.7613365155131265,0.5207547169811321,0.017327975891511804,0.6749337650868413,0.002786071743975777,59151.0,2523,2.0,base,95116
0.980207240293809,74731,0.8015475840026914,0.08297237057908238,0.985202616464582,0.8623314684031917,0.8920454545454546,0.07957425240750127,0.7856827452794483,0.007401488708524328,71713.0,1509,0.9615027968053603,64288,0.7029521847007864,0.08372934101518147,0.9649518652226233,0.7628052138791995,0.5207547169811321,0.017327975891511804,0.6758904916102443,0.002786071743975777,59140.0,2574,2.0,rescue: gate OR align<=0.1,95116
0.9796894450632248,74765,0.802336094873628,0.08297237057908238,0.9848299681190223,0.8630652114097037,0.8918918918918919,0.07944754181449569,0.7860402035409395,0.007390975230245175,71665.0,1550,0.9599230379142678,64359,0.7048866647041507,0.08372934101518147,0.9635558889722431,0.7647558288966404,0.5207547169811321,0.017327975891511804,0.6766369485680642,0.002786071743975777,58985.0,2687,2.0,rescue: gate OR align<=0.25,95116
0.9771743664615705,74961,0.8065099457504521,0.08297237057908238,0.9833258403194669,0.8670320095386591,0.8882265275707899,0.07551951343132286,0.7881008452836537,0.00705454392531225,71459.0,1751,0.9570299783966145,64678,0.7105218890617772,0.08372934101518147,0.9615906077265752,0.7701372315035799,0.524904214559387,0.01720241084881969,0.6799907481391143,0.0027440178308591615,58870.0,2904,2.0,rescue: gate OR align<=1.0,95116
0.9687058400349425,75406,0.8183901762058959,0.08297237057908238,0.9794828849576049,0.8761808676511053,0.8814102564102564,0.06969082615306639,0.7927793431178771,0.006560410446192018,70534.0,2436,0.9462667961559089,65282,0.7253143530005467,0.08372934101518147,0.9546946430664635,0.7830916100605838,0.5294117647058824,0.01582119537920643,0.6863408890197232,0.002502207830438622,57868.0,3707,2.0,rescue: gate OR align<=3.0,95116
0.9331742243436754,2346,0.026430884393792844,0.08297237057908238,0.9077857537272225,0.020762634137393376,0.8162790697674419,0.08895083628991383,0.02466462004289499,0.009041591320072333,2010.0,168,0.8944954128440367,2340,0.02750325917826654,0.08372934101518147,0.8883021933387489,0.028249495134936662,0.3713592233009709,0.01921145153189352,0.02460153917322007,0.004331553051011397,1788.0,276,2.0,veto: gate AND align<=0.1,95116
0.9614583333333333,4615,0.0504646957399386,0.08297237057908238,0.9557889594528578,0.04693662294781253,0.8172293364377182,0.08895083628991383,0.04851970225829513,0.009031077841793179,4245.0,185,0.93732912723449,4457,0.049991589217376675,0.08372934101518147,0.9356521739130435,0.05278134753075087,0.3740831295843521,0.01921145153189352,0.046858572690188824,0.004300012616173935,3861.0,298,2.0,veto: gate AND align<=0.25,95116
0.9847355987643104,16257,0.17356701291055132,0.08297237057908238,0.9854310508646354,0.18099376318444466,0.830367734282325,0.08869741510390268,0.17091761638420455,0.008862862189326717,15753.0,252,0.9751536200908363,14600,0.15740779679549183,0.08372934101518147,0.9752936411502633,0.1699788874609877,0.37438423645320196,0.019085886489201405,0.15349678287564658,0.004268472181336473,13856.0,372,2.0,veto: gate AND align<=1.0,95116
0.9904240766073872,37648,0.3996383363471971,0.08297237057908238,0.9914935866473461,0.4272447950105476,0.8545232273838631,0.08857070451089712,0.3958114302535851,0.00860002523234787,36920.0,364,0.9851779483600838,35294,0.3766453593506876,0.08372934101518147,0.9854462858585009,0.40918165962915365,0.38287153652392947,0.019085886489201405,0.3710627023844569,0.004173850876824089,34232.0,531,2.0,veto: gate AND align<=3.0,95116
0.9000380083618396,2368,0.027660961352453845,0.08297237057908238,0.8909673971138429,0.02145051820599835,0.8160651920838184,0.08882412569690826,0.024895916565036376,0.009031077841793179,1842.0,263,0.8814358230601885,2431,0.02899617309390639,0.08372934101518147,0.8795366795366796,0.02971819350100973,0.3713592233009709,0.01921145153189352,0.025558265696623072,0.004331553051011397,1777.0,327,2.0,replace: align<=0.1 only,95116
