n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,trend_max_datum,trend_max_height_ft,trend_ceiling,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.6745552798687918,0.6698662685562892,0.9882327270460248,0.9819351800988778,0.6666176037680306,0.657765255056983,2.0,63406,755,61896.0,62564,1151,60262.0,0.08297237057908238,0.0,0.0,0.0,0.7346716500045859,0.989466456515972,0.08372934101518147,0.0,0.0,0.0,0.7305971176794566,0.9825828844251095,legacy,trend,trend,40,30.0,4,0.0,ring,40,msl,6000.0,40.0,40.0,15000.0,10.0
95116,0.7803944657050339,0.7184069977711426,0.9792261680228486,0.9566967160334836,0.7641826821985785,0.6872976155431263,2.0,72686,1542,69602.0,65373,2959,59455.0,0.08297237057908238,0.0,0.0,0.0,0.8498349078235348,0.9805736178938564,0.08372934101518147,0.0,0.0,0.0,0.783665320359831,0.9571729772467715,trend,trend,trend,60,20.0,0,10.0,haversine,60,field,12000.0,12000.0,30.0,15000.0,10.0
95116,0.8003175070440305,0.7014592707851466,0.9814247993379136,0.9621852517985612,0.7854514487573069,0.6749337650868413,2.0,74709,1414,71881.0,64197,2523,59151.0,0.08297237057908238,0.007412002186803482,0.07970096300050684,0.8921985815602836,0.8616435843345868,0.9856831124594178,0.08372934101518147,0.002786071743975777,0.017327975891511804,0.5207547169811321,0.7613365155131265,0.9654418857005064,endpoint,endpoint,endpoint,60,20.0,2,10.0,haversine,60,field,6100.0,6100.0,30.0,15000.0,10.0
95116,0.9163547668110518,0.8855397619748517,0.8768012849931162,0.7928741882249581,0.8034610370494975,0.7021216199167333,2.0,76422,10738,54946.0,66783,17446,31891.0,0.08297237057908238,0.0,0.0,0.0,0.9621434467577731,0.9106313004933152,0.08372934101518147,0.0,0.0,0.0,0.9115338718560676,0.840651041011052,nearest,nearest,nearest,60,20.0,2,10.0,haversine,60,field,6100.0,6100.0,30.0,15000.0,10.0
95116,0.7997602926952353,0.6768156776988099,0.9820822926252136,0.9853982850751833,0.7854304218007485,0.6669330081164052,2.0,74707,1363,71981.0,63436,940,61556.0,0.08297237057908238,0.007401488708524328,0.07957425240750127,0.8920454545454546,0.8615633311932496,0.9857616202477745,0.08372934101518147,0.0,0.0,0.0,0.7384684229851294,0.9856585714507683,combined,endpoint,trend,60,20.0,2,10.0,haversine,60,field,6100.0,6100.0,30.0,15000.0,10.0
95116,0.7997392657386769,0.6853946759745995,0.9821081137929222,0.9843539084550251,0.7854304218007485,0.6746709281298625,2.0,74707,1361,71985.0,64172,1020,62132.0,0.08297237057908238,0.007401488708524328,0.07957425240750127,0.8920454545454546,0.8615633311932496,0.9857616202477745,0.08372934101518147,0.0,0.0,0.0,0.7477740040389205,0.9846862053091914,recommended,endpoint,trend,60,30.0,0,10.0,haversine,60,field,6000.0,6000.0,30.0,15000.0,10.0
