adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,height_ft,k,n_ground_truth,penalty_nm,radius_nm
0.9852891507486772,26255,0.28714749081347857,0.07942973523421588,0.9867046899687849,0.30375286791215994,0.8066914498141264,0.08831908831908832,0.2829233073632259,0.008696214398862057,25471.0,392,0.9723720778159228,29740,0.32958329292341515,0.07982844642722443,0.9734954889454377,0.35435818763101495,0.6738095238095239,0.03820194384449244,0.3204775913533551,0.004525910839556461,28050.0,845,0.0,2.0,92799,10.0,5.0
0.9886550308008214,38518,0.4198321102598088,0.07942973523421588,0.9900907260700186,0.4477103525776092,0.8620689655172413,0.08818342151675485,0.41506912790008516,0.00812508755482279,37634.0,442,0.9753258520945145,41979,0.4638088772508324,0.07982844642722443,0.9762584874736596,0.5001698071225305,0.6754176610978521,0.03820194384449244,0.45236478841366823,0.004515134861367041,39855.0,1062,500.0,2.0,92799,10.0,5.0
0.989270706682878,46378,0.5051886334982058,0.07942973523421588,0.9908566971443429,0.5402678278784473,0.8777173913043478,0.08764075430742098,0.49976831646892744,0.007931119947413226,45372.0,503,0.9757644968912574,46140,0.509552904664921,0.07982844642722443,0.9769071813553184,0.5497183543933202,0.6754176610978521,0.03820194384449244,0.4972036336598455,0.004515134861367041,43848.0,1146,1000.0,2.0,92799,10.0,5.0
0.9898131170009816,53441,0.581805838424983,0.07942973523421588,0.9913629621284665,0.6234372805169265,0.8830811554332875,0.0870980870980871,0.5758790504208019,0.007834136143708445,52341.0,550,0.9748450976759505,47357,0.5234862444638412,0.07982844642722443,0.976011776413999,0.564837043716551,0.6746411483253588,0.03806695464362851,0.5103179991163698,0.00450435888317762,44913.0,1222,2000.0,2.0,92799,10.0,5.0
0.9891429851620798,57397,0.6252976863974827,0.07942973523421588,0.9906098369811848,0.6706700379266751,0.8841379310344828,0.08696242029575363,0.618508820138148,0.007812584187329604,56137.0,630,0.9734351583831168,47417,0.5249086735848446,0.07982844642722443,0.9746500423877758,0.5663711632373435,0.6730769230769231,0.03779697624190065,0.510964557807735,0.00448280692679878,44829.0,1294,5000.0,2.0,92799,10.0,5.0
0.9889860650526642,57558,0.627151154646063,0.07942973523421588,0.9904637605498999,0.6726717235566793,0.8841379310344828,0.08696242029575363,0.6202437526266447,0.007812584187329604,56276.0,641,0.973010607363722,47516,0.5262341189021433,0.07982844642722443,0.974259549542117,0.5677881743977703,0.6730769230769231,0.03779697624190065,0.5120313796484876,0.00448280692679878,44880.0,1318,8000.0,2.0,92799,10.0,5.0
0.9885523041276925,57598,0.6278623692065647,0.07942973523421588,0.9900227703325164,0.6734443039752774,0.8841379310344828,0.08696242029575363,0.6206747917542215,0.007812584187329604,56264.0,667,0.9725251120067102,47538,0.5267405898770461,0.07982844642722443,0.9737894086132289,0.5683268728554531,0.6730769230769231,0.03779697624190065,0.5122684511686548,0.00448280692679878,44852.0,1343,10000.0,2.0,92799,10.0,5.0
0.9873292010547584,57662,0.6293386782185153,0.07942973523421588,0.9887806062287577,0.6750479936320645,0.8841379310344828,0.08696242029575363,0.6213644543583444,0.007812584187329604,56182.0,740,0.9709778149682634,47575,0.5279906033470189,0.07982844642722443,0.9722679055998684,0.5696619081636238,0.6730769230769231,0.03779697624190065,0.5126671623616634,0.00448280692679878,44731.0,1422,15000.0,2.0,92799,10.0,5.0
0.9866078300579815,57684,0.6300391168008276,0.07942973523421588,0.988048429840819,0.6758088682867444,0.8841379310344828,0.08696242029575363,0.6216015258785116,0.007812584187329604,56118.0,783,0.9698538554044964,47582,0.5286802659511417,0.07982844642722443,0.9712537472793725,0.5703411366537458,0.6730769230769231,0.03779697624190065,0.5127425942089893,0.00448280692679878,44624.0,1479,20000.0,2.0,92799,10.0,5.0
0.9862048923913229,57692,0.630383948102889,0.07942973523421588,0.9876395741365879,0.6761834527321253,0.8841379310344828,0.08696242029575363,0.621687733704027,0.007812584187329604,56078.0,807,0.9691483729075877,47591,0.5291651849696656,0.07982844642722443,0.9707010812696198,0.5707744375870993,0.6730769230769231,0.03779697624190065,0.5128395780126941,0.00448280692679878,44561.0,1515,25000.0,2.0,92799,10.0,5.0
