airport,role,n_truth,n_correct_msl,n_correct_field,delta_correct,elevation_ft,band
ENJS,arrivals,7,0,0,0,,unknown
ENHE,departures,5,0,0,0,,unknown
ENMS,arrivals,9,0,0,0,237.0,<500
ENML,departures,17,4,4,0,10.0,<500
ENML,arrivals,15,0,0,0,10.0,<500
ENLK,departures,23,0,0,0,78.0,<500
ENLK,arrivals,22,0,0,0,78.0,<500
ENQM,departures,1,0,0,0,,unknown
ENRA,departures,15,7,7,0,229.0,<500
ENRA,arrivals,14,0,0,0,229.0,<500
ENLA,arrivals,1,0,0,0,,unknown
ENKR,departures,23,0,0,0,283.0,<500
ENKR,arrivals,23,0,0,0,283.0,<500
ENKB,departures,46,4,4,0,204.0,<500
ENKB,arrivals,44,0,0,0,204.0,<500
ENQR,arrivals,2,0,0,0,,unknown
ENQO,departures,3,0,0,0,170.0,<500
ENQO,arrivals,2,0,0,0,170.0,<500
ENRO,departures,4,4,4,0,2054.0,1500-3000
ENRO,arrivals,3,0,0,0,2054.0,1500-3000
ENRK,arrivals,1,0,0,0,400.0,<500
ENQM,arrivals,1,0,0,0,,unknown
ENQL,departures,1,0,0,0,,unknown
ENQK,departures,1,0,0,0,,unknown
ENQJ,departures,2,0,0,0,,unknown
ENTO,departures,71,65,65,0,286.0,<500
ENTO,arrivals,72,67,67,0,286.0,<500
ENTC,departures,138,17,17,0,31.0,<500
ENQE,departures,2,0,0,0,180.0,<500
ENQE,arrivals,2,0,0,0,180.0,<500
ENQD,departures,2,0,0,0,,unknown
ENQD,arrivals,2,0,0,0,,unknown
ENST,departures,12,3,3,0,56.0,<500
ENSO,departures,6,6,6,0,160.0,<500
ENSO,arrivals,6,6,6,0,160.0,<500
ENSL,departures,3,0,0,0,,unknown
ENUE,departures,1,0,0,0,90.0,<500
ENUD,departures,1,0,0,0,100.0,<500
ENUD,arrivals,2,0,0,0,100.0,<500
ENUA,departures,2,0,0,0,147.0,<500
ENUA,arrivals,2,0,0,0,147.0,<500
ENSG,departures,21,0,0,0,1633.0,1500-3000
ENSG,arrivals,21,0,0,0,1633.0,1500-3000
ENSF,departures,1,0,0,0,,unknown
ENTC,arrivals,143,0,0,0,31.0,<500
ENQC,departures,2,0,0,0,,unknown
LSMP,arrivals,8,6,5,-1,1465.0,500-1500
LSGG,arrivals,670,637,636,-1,1411.0,500-1500
LIRP,arrivals,228,220,219,-1,6.0,<500
LIPX,arrivals,142,137,136,-1,239.0,<500
LIPZ,arrivals,409,386,385,-1,7.0,<500
LIRF,arrivals,1433,1255,1254,-1,13.0,<500
LIMC,arrivals,967,852,851,-1,768.0,500-1500
LICC,arrivals,391,352,351,-1,39.0,<500
LFRK,arrivals,22,20,19,-1,256.0,<500
LFPB,arrivals,225,217,216,-1,218.0,<500
LEMD,arrivals,1786,1534,1533,-1,1998.0,1500-3000
LEST,arrivals,106,90,89,-1,1213.0,500-1500
GMME,arrivals,63,26,25,-1,276.0,<500
EGTK,arrivals,16,15,14,-1,270.0,<500
EGAA,arrivals,246,191,190,-1,268.0,<500
EGFF,arrivals,49,44,43,-1,220.0,<500
EDDF,arrivals,2091,1770,1769,-1,364.0,<500
EDMO,arrivals,22,19,16,-3,1947.0,1500-3000
