airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
EGPH,584,553,553,557,arrivals,0.946917808219178,0.9537671232876712,path0_legacy
LHBP,578,567,566,567,departures,0.9792387543252595,0.9809688581314879,path0_legacy
EGPH,577,573,571,571,departures,0.9896013864818024,0.9896013864818024,path0_legacy
LHBP,577,542,540,543,arrivals,0.9358752166377816,0.9410745233968805,path0_legacy
EGGW,552,532,527,534,arrivals,0.9547101449275363,0.967391304347826,path0_legacy
EGGW,550,548,538,542,departures,0.9781818181818182,0.9854545454545455,path0_legacy
EDDH,538,532,529,529,departures,0.983271375464684,0.983271375464684,path0_legacy
EDDH,532,523,521,523,arrivals,0.9793233082706767,0.9830827067669173,path0_legacy
GCLP,521,0,0,0,arrivals,0.0,0.0,path0_legacy
GCLP,520,2,0,0,departures,0.0,0.0,path0_legacy
LLBG,516,457,456,458,arrivals,0.8837209302325582,0.8875968992248062,path0_legacy
EDDK,515,499,499,500,departures,0.9689320388349515,0.970873786407767,path0_legacy
LLBG,513,497,496,497,departures,0.9668615984405458,0.9688109161793372,path0_legacy
LPPR,513,509,508,508,departures,0.9902534113060428,0.9902534113060428,path0_legacy
LPPR,512,482,480,480,arrivals,0.9375,0.9375,path0_legacy
LEIB,509,490,490,491,arrivals,0.962671905697446,0.9646365422396856,path0_legacy
EDDK,509,488,484,484,arrivals,0.9508840864440079,0.9508840864440079,path0_legacy
LROP,509,496,494,495,arrivals,0.9705304518664047,0.9724950884086444,path0_legacy
LROP,504,495,494,495,departures,0.9801587301587301,0.9821428571428571,path0_legacy
LEIB,495,418,418,418,departures,0.8444444444444444,0.8444444444444444,path0_legacy
EGBB,474,468,467,467,departures,0.9852320675105485,0.9852320675105485,path0_legacy
EGBB,466,433,431,431,arrivals,0.924892703862661,0.924892703862661,path0_legacy
LIML,465,458,453,460,arrivals,0.9741935483870968,0.989247311827957,path0_legacy
LIME,460,454,451,453,arrivals,0.9804347826086957,0.9847826086956522,path0_legacy
LIML,458,451,451,456,departures,0.9847161572052402,0.9956331877729258,path0_legacy
LIME,453,447,446,446,departures,0.9845474613686535,0.9845474613686535,path0_legacy
LIRN,449,4,0,0,departures,0.0,0.0,path0_legacy
LIRN,447,4,0,0,arrivals,0.0,0.0,path0_legacy
LFML,445,442,441,442,arrivals,0.9910112359550561,0.9932584269662922,path0_legacy
LFML,444,440,439,440,departures,0.9887387387387387,0.990990990990991,path0_legacy
EDDS,440,420,415,419,departures,0.9431818181818182,0.9522727272727273,path0_legacy
EDDS,433,414,414,420,arrivals,0.9561200923787528,0.9699769053117783,path0_legacy
LGIR,430,3,0,0,arrivals,0.0,0.0,path0_legacy
LGIR,424,0,0,0,departures,0.0,0.0,path0_legacy
LIPZ,412,407,407,408,departures,0.9878640776699029,0.9902912621359223,path0_legacy
LFLL,412,401,401,401,arrivals,0.9733009708737864,0.9733009708737864,path0_legacy
LFLL,411,406,406,406,departures,0.9878345498783455,0.9878345498783455,path0_legacy
LIPZ,409,390,390,393,arrivals,0.9535452322738386,0.960880195599022,path0_legacy
LPFR,407,403,402,404,arrivals,0.9877149877149877,0.9926289926289926,path0_legacy
LPFR,405,403,400,400,departures,0.9876543209876543,0.9876543209876543,path0_legacy
LYBE,395,374,374,376,arrivals,0.9468354430379747,0.9518987341772152,path0_legacy
LYBE,394,388,387,387,departures,0.9822335025380711,0.9822335025380711,path0_legacy
LICC,391,22,19,19,arrivals,0.04859335038363171,0.04859335038363171,path0_legacy
LICC,390,4,0,0,departures,0.0,0.0,path0_legacy
LTAC,381,2,0,0,departures,0.0,0.0,path0_legacy
LIPE,380,374,374,375,departures,0.9842105263157894,0.9868421052631579,path0_legacy
LIPE,376,373,372,372,arrivals,0.9893617021276596,0.9893617021276596,path0_legacy
LTAC,374,4,0,0,arrivals,0.0,0.0,path0_legacy
LCLK,368,319,316,317,departures,0.8586956521739131,0.8614130434782609,path0_legacy
LCLK,367,356,355,362,arrivals,0.9673024523160763,0.9863760217983651,path0_legacy
GMMN,360,148,147,149,departures,0.4083333333333333,0.41388888888888886,path0_legacy
EPKK,360,351,351,353,departures,0.975,0.9805555555555555,path0_legacy
EGGD,360,343,342,343,arrivals,0.95,0.9527777777777777,path0_legacy
EGGD,359,357,357,357,departures,0.9944289693593314,0.9944289693593314,path0_legacy
LEVC,357,352,352,353,arrivals,0.9859943977591037,0.988795518207283,path0_legacy
GMMN,357,266,266,272,arrivals,0.7450980392156863,0.7619047619047619,path0_legacy
ENBR,357,337,325,335,arrivals,0.9103641456582633,0.938375350140056,path0_legacy
EPKK,356,307,306,307,arrivals,0.8595505617977528,0.8623595505617978,path0_legacy
LEVC,355,318,318,318,departures,0.895774647887324,0.895774647887324,path0_legacy
LFSB,354,349,348,350,departures,0.9830508474576272,0.9887005649717514,path0_legacy
LFSB,352,344,344,345,arrivals,0.9772727272727273,0.9801136363636364,path0_legacy
ENBR,349,342,337,353,departures,0.9656160458452722,1.011461318051576,path0_legacy
LTBJ,346,2,1,1,departures,0.002890173410404624,0.002890173410404624,path0_legacy
LGRP,346,316,315,316,arrivals,0.9104046242774566,0.9132947976878613,path0_legacy
EGPF,346,307,305,308,arrivals,0.8815028901734104,0.8901734104046243,path0_legacy
EGPF,344,324,322,323,departures,0.936046511627907,0.938953488372093,path0_legacy
LTBJ,341,3,0,0,arrivals,0.0,0.0,path0_legacy
LGRP,340,318,318,319,departures,0.9352941176470588,0.9382352941176471,path0_legacy
LMML,326,322,322,325,departures,0.9877300613496932,0.9969325153374233,path0_legacy
LMML,326,320,318,320,arrivals,0.9754601226993865,0.9815950920245399,path0_legacy
LATI,323,2,0,0,arrivals,0.0,0.0,path0_legacy
GCTS,323,0,0,0,arrivals,0.0,0.0,path0_legacy
GCTS,321,2,0,0,departures,0.0,0.0,path0_legacy
GCXO,320,1,0,0,arrivals,0.0,0.0,path0_legacy
GCXO,319,65,65,65,departures,0.20376175548589343,0.20376175548589343,path0_legacy
LATI,316,3,0,0,departures,0.0,0.0,path0_legacy
LICJ,314,120,118,118,arrivals,0.37579617834394907,0.37579617834394907,path0_legacy
LICJ,310,139,139,140,departures,0.4483870967741935,0.45161290322580644,path0_legacy
EBCI,304,304,304,304,departures,1.0,1.0,path0_legacy
EBCI,303,300,299,299,arrivals,0.9867986798679867,0.9867986798679867,path0_legacy
BIKF,297,291,291,292,departures,0.9797979797979798,0.9831649831649831,path0_legacy
BIKF,296,100,99,102,arrivals,0.3344594594594595,0.34459459459459457,path0_legacy
ELLX,294,291,291,291,departures,0.9897959183673469,0.9897959183673469,path0_legacy
ELLX,294,284,284,287,arrivals,0.9659863945578231,0.9761904761904762,path0_legacy
LFBO,293,290,290,290,departures,0.9897610921501706,0.9897610921501706,path0_legacy
LFBO,290,289,287,287,arrivals,0.9896551724137931,0.9896551724137931,path0_legacy
LGTS,281,219,219,222,arrivals,0.7793594306049823,0.7900355871886121,path0_legacy
LTBS,280,5,0,0,arrivals,0.0,0.0,path0_legacy
LGTS,279,116,116,118,departures,0.4157706093189964,0.4229390681003584,path0_legacy
GMMX,279,4,0,0,arrivals,0.0,0.0,path0_legacy
GMMX,278,1,1,1,departures,0.0035971223021582736,0.0035971223021582736,path0_legacy
EVRA,278,228,227,227,arrivals,0.8165467625899281,0.8165467625899281,path0_legacy
LEZL,276,275,274,276,arrivals,0.9927536231884058,1.0,path0_legacy
LEZL,275,274,274,274,departures,0.9963636363636363,0.9963636363636363,path0_legacy
LTBS,273,1,0,0,departures,0.0,0.0,path0_legacy
EVRA,273,270,269,270,departures,0.9853479853479854,0.989010989010989,path0_legacy
LBSF,272,1,0,0,departures,0.0,0.0,path0_legacy
