n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,period,trend_max_datum,trend_max_height_ft,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.7997497792169561,0.6828924681441608,0.9820952030393458,0.985789943652431,0.7854304218007485,0.6731885276925018,2.0,74707,1362,71983.0,64031,923,62185.0,0.08297237057908238,0.007401488708524328,0.07957425240750127,0.8920454545454546,0.8615633311932496,0.9857616202477745,0.08372934101518147,0.0,0.0,0.0,0.7450431430145034,0.9861239450502064,datum_msl,endpoint,trend,202506,msl,6000.0,60,30.0,0,10.0,haversine,30.0,15000.0,10.0
95116,0.7997392657386769,0.6860359981496278,0.9821081137929222,0.9842459350527946,0.7854304218007485,0.6752281424786576,2.0,74707,1361,71985.0,64225,1028,62169.0,0.08297237057908238,0.007401488708524328,0.07957425240750127,0.8920454545454546,0.8615633311932496,0.9857616202477745,0.08372934101518147,0.0,0.0,0.0,0.7484509821920323,0.9846080730963221,datum_field,endpoint,trend,202506,field,6100.0,60,30.0,0,10.0,haversine,30.0,15000.0,10.0
95116,0.6745552798687918,0.6698662685562892,0.9882327270460248,0.9819351800988778,0.6666176037680306,0.657765255056983,2.0,63406,755,61896.0,62564,1151,60262.0,0.08297237057908238,0.0,0.0,0.0,0.7346716500045859,0.989466456515972,0.08372934101518147,0.0,0.0,0.0,0.7305971176794566,0.9825828844251095,legacy,trend,trend,202506,msl,6000.0,40,30.0,4,0.0,ring,40.0,15000.0,10.0
