b,bins,mean_age_best_s,mean_age_modulo_s,mean_penalty_s,share_bins_no_phase0,share_penalty_gt_5s
0. (null),751068,53.140239144472524,54.91136482290751,1.5705531363403717,0.0038105737429899823,0.062862483823036
"1. 0-2,000",575262,57.70816484026287,58.8900438568472,0.8671520107614584,0.005708703164818813,0.02799420090324061
"2. 2,000-5,000",571826,19.49626819791729,20.16734063703411,0.6263686359153544,0.0024378045069654054,0.01774315963247561
"3. 5,000-10,000",521598,24.12696199250202,24.612459503888953,0.4481986260263239,0.0018079057051599125,0.009549499806364289
"4. 10,000-20,000",787813,22.434478186807237,22.87029102240377,0.4082155985527471,0.001600633652910018,0.006743986199770758
"5. 20,000-30,000",814920,23.41758315039829,23.780162161630937,0.34762682271520295,0.0015093506111029304,0.005491336572915133
"6. 30,000+",3815343,34.686738627599425,35.12919115274547,0.41710798810513205,0.0017018129169513725,0.007679257146736217
