n_events,rung,type
85528,L00_legacy,first-xing-fl100
77053,L00_legacy,first-xing-fl245
87431,L00_legacy,first-xing-fl50
86245,L00_legacy,first-xing-fl70
166617,L00_legacy,first_seen
6943,L00_legacy,landing
85528,L00_legacy,last-xing-fl100
77053,L00_legacy,last-xing-fl245
87431,L00_legacy,last-xing-fl50
86245,L00_legacy,last-xing-fl70
166617,L00_legacy,last_seen
921209,L00_legacy,level-end
1346268,L00_legacy,level-start
8831,L00_legacy,take-off
95055,L00_legacy,top-of-climb
91779,L00_legacy,top-of-descent
83286,L01_clean_tracks,first-xing-fl100
74847,L01_clean_tracks,first-xing-fl245
83947,L01_clean_tracks,first-xing-fl50
83375,L01_clean_tracks,first-xing-fl70
166617,L01_clean_tracks,first_seen
21100,L01_clean_tracks,landing
83286,L01_clean_tracks,last-xing-fl100
74847,L01_clean_tracks,last-xing-fl245
83947,L01_clean_tracks,last-xing-fl50
83375,L01_clean_tracks,last-xing-fl70
166617,L01_clean_tracks,last_seen
2101212,L01_clean_tracks,level-end
4340720,L01_clean_tracks,level-start
21932,L01_clean_tracks,take-off
102437,L01_clean_tracks,top-of-climb
101460,L01_clean_tracks,top-of-descent
83286,L02_smoothing,first-xing-fl100
74847,L02_smoothing,first-xing-fl245
83947,L02_smoothing,first-xing-fl50
83375,L02_smoothing,first-xing-fl70
166617,L02_smoothing,first_seen
3007,L02_smoothing,landing
83286,L02_smoothing,last-xing-fl100
74847,L02_smoothing,last-xing-fl245
83947,L02_smoothing,last-xing-fl50
83375,L02_smoothing,last-xing-fl70
166617,L02_smoothing,last_seen
561422,L02_smoothing,level-end
648032,L02_smoothing,level-start
4064,L02_smoothing,take-off
98700,L02_smoothing,top-of-climb
98337,L02_smoothing,top-of-descent
83286,L03_complete_rules,first-xing-fl100
74847,L03_complete_rules,first-xing-fl245
83947,L03_complete_rules,first-xing-fl50
83375,L03_complete_rules,first-xing-fl70
166617,L03_complete_rules,first_seen
639,L03_complete_rules,landing
83286,L03_complete_rules,last-xing-fl100
74847,L03_complete_rules,last-xing-fl245
83947,L03_complete_rules,last-xing-fl50
83375,L03_complete_rules,last-xing-fl70
166617,L03_complete_rules,last_seen
295425,L03_complete_rules,level-end
368790,L03_complete_rules,level-start
371,L03_complete_rules,take-off
86622,L03_complete_rules,top-of-climb
85970,L03_complete_rules,top-of-descent
83286,L04_field_elevation,first-xing-fl100
74847,L04_field_elevation,first-xing-fl245
83947,L04_field_elevation,first-xing-fl50
83375,L04_field_elevation,first-xing-fl70
166617,L04_field_elevation,first_seen
639,L04_field_elevation,landing
83286,L04_field_elevation,last-xing-fl100
