n_events,rung,type
2565,L00_legacy,entry-apron
34,L00_legacy,entry-hangar
6531,L00_legacy,entry-parking_position
31233,L00_legacy,entry-runway
30934,L00_legacy,entry-taxiway
774,L00_legacy,entry-threshold
2564,L00_legacy,exit-apron
34,L00_legacy,exit-hangar
6479,L00_legacy,exit-parking_position
31175,L00_legacy,exit-runway
29433,L00_legacy,exit-taxiway
774,L00_legacy,exit-threshold
95845,L00_legacy,first-xing-fl100
86384,L00_legacy,first-xing-fl245
98017,L00_legacy,first-xing-fl50
96633,L00_legacy,first-xing-fl70
236899,L00_legacy,first_seen
9232,L00_legacy,landing
95845,L00_legacy,last-xing-fl100
86384,L00_legacy,last-xing-fl245
98017,L00_legacy,last-xing-fl50
96633,L00_legacy,last-xing-fl70
236899,L00_legacy,last_seen
888611,L00_legacy,level-end
1270412,L00_legacy,level-start
8483,L00_legacy,take-off
114099,L00_legacy,top-of-climb
108767,L00_legacy,top-of-descent
1679,L01_clean_tracks,entry-apron
21,L01_clean_tracks,entry-hangar
3109,L01_clean_tracks,entry-parking_position
26787,L01_clean_tracks,entry-runway
18587,L01_clean_tracks,entry-taxiway
9,L01_clean_tracks,entry-threshold
1679,L01_clean_tracks,exit-apron
21,L01_clean_tracks,exit-hangar
3077,L01_clean_tracks,exit-parking_position
26787,L01_clean_tracks,exit-runway
18029,L01_clean_tracks,exit-taxiway
9,L01_clean_tracks,exit-threshold
95845,L01_clean_tracks,first-xing-fl100
86384,L01_clean_tracks,first-xing-fl245
98017,L01_clean_tracks,first-xing-fl50
96633,L01_clean_tracks,first-xing-fl70
236899,L01_clean_tracks,first_seen
7515,L01_clean_tracks,landing
95845,L01_clean_tracks,last-xing-fl100
86384,L01_clean_tracks,last-xing-fl245
98017,L01_clean_tracks,last-xing-fl50
96633,L01_clean_tracks,last-xing-fl70
236899,L01_clean_tracks,last_seen
1996206,L01_clean_tracks,level-end
4212266,L01_clean_tracks,level-start
8267,L01_clean_tracks,take-off
129543,L01_clean_tracks,top-of-climb
122991,L01_clean_tracks,top-of-descent
1679,L02_smoothing,entry-apron
21,L02_smoothing,entry-hangar
3109,L02_smoothing,entry-parking_position
26787,L02_smoothing,entry-runway
18587,L02_smoothing,entry-taxiway
9,L02_smoothing,entry-threshold
1679,L02_smoothing,exit-apron
21,L02_smoothing,exit-hangar
3077,L02_smoothing,exit-parking_position
26787,L02_smoothing,exit-runway
18029,L02_smoothing,exit-taxiway
9,L02_smoothing,exit-threshold
95845,L02_smoothing,first-xing-fl100
86384,L02_smoothing,first-xing-fl245
98017,L02_smoothing,first-xing-fl50
96633,L02_smoothing,first-xing-fl70
236899,L02_smoothing,first_seen
5126,L02_smoothing,landing
95845,L02_smoothing,last-xing-fl100
86384,L02_smoothing,last-xing-fl245
98017,L02_smoothing,last-xing-fl50
96633,L02_smoothing,last-xing-fl70
236899,L02_smoothing,last_seen
584299,L02_smoothing,level-end
664127,L02_smoothing,level-start
2908,L02_smoothing,take-off
126667,L02_smoothing,top-of-climb
120581,L02_smoothing,top-of-descent
1679,L03_complete_rules,entry-apron
21,L03_complete_rules,entry-hangar
3109,L03_complete_rules,entry-parking_position
26787,L03_complete_rules,entry-runway
18587,L03_complete_rules,entry-taxiway
9,L03_complete_rules,entry-threshold
1679,L03_complete_rules,exit-apron
21,L03_complete_rules,exit-hangar
3077,L03_complete_rules,exit-parking_position
26787,L03_complete_rules,exit-runway
18029,L03_complete_rules,exit-taxiway
9,L03_complete_rules,exit-threshold
95845,L03_complete_rules,first-xing-fl100
86384,L03_complete_rules,first-xing-fl245
98017,L03_complete_rules,first-xing-fl50
96633,L03_complete_rules,first-xing-fl70
236899,L03_complete_rules,first_seen
887,L03_complete_rules,landing
95845,L03_complete_rules,last-xing-fl100
86384,L03_complete_rules,last-xing-fl245
98017,L03_complete_rules,last-xing-fl50
96633,L03_complete_rules,last-xing-fl70
236899,L03_complete_rules,last_seen
303398,L03_complete_rules,level-end
373205,L03_complete_rules,level-start
481,L03_complete_rules,take-off
100924,L03_complete_rules,top-of-climb
100800,L03_complete_rules,top-of-descent
1679,L04_field_elevation,entry-apron
21,L04_field_elevation,entry-hangar
3109,L04_field_elevation,entry-parking_position
26787,L04_field_elevation,entry-runway
18587,L04_field_elevation,entry-taxiway
9,L04_field_elevation,entry-threshold
1679,L04_field_elevation,exit-apron
21,L04_field_elevation,exit-hangar
3077,L04_field_elevation,exit-parking_position
26787,L04_field_elevation,exit-runway
18029,L04_field_elevation,exit-taxiway
9,L04_field_elevation,exit-threshold
95845,L04_field_elevation,first-xing-fl100
86384,L04_field_elevation,first-xing-fl245
98017,L04_field_elevation,first-xing-fl50
96633,L04_field_elevation,first-xing-fl70
236899,L04_field_elevation,first_seen
3835,L04_field_elevation,landing
95845,L04_field_elevation,last-xing-fl100
86384,L04_field_elevation,last-xing-fl245
98017,L04_field_elevation,last-xing-fl50
96633,L04_field_elevation,last-xing-fl70
236899,L04_field_elevation,last_seen
301044,L04_field_elevation,level-end
370466,L04_field_elevation,level-start
2570,L04_field_elevation,take-off
100925,L04_field_elevation,top-of-climb
100801,L04_field_elevation,top-of-descent
1679,L05_ordered_airport,entry-apron
21,L05_ordered_airport,entry-hangar
3109,L05_ordered_airport,entry-parking_position
26787,L05_ordered_airport,entry-runway
18587,L05_ordered_airport,entry-taxiway
9,L05_ordered_airport,entry-threshold
1679,L05_ordered_airport,exit-apron
21,L05_ordered_airport,exit-hangar
3077,L05_ordered_airport,exit-parking_position
26787,L05_ordered_airport,exit-runway
18029,L05_ordered_airport,exit-taxiway
9,L05_ordered_airport,exit-threshold
95845,L05_ordered_airport,first-xing-fl100
86384,L05_ordered_airport,first-xing-fl245
98017,L05_ordered_airport,first-xing-fl50
96633,L05_ordered_airport,first-xing-fl70
236899,L05_ordered_airport,first_seen
3835,L05_ordered_airport,landing
95845,L05_ordered_airport,last-xing-fl100
86384,L05_ordered_airport,last-xing-fl245
98017,L05_ordered_airport,last-xing-fl50
96633,L05_ordered_airport,last-xing-fl70
236899,L05_ordered_airport,last_seen
301044,L05_ordered_airport,level-end
370466,L05_ordered_airport,level-start
2570,L05_ordered_airport,take-off
100925,L05_ordered_airport,top-of-climb
100801,L05_ordered_airport,top-of-descent
1679,L06_deterministic_ids,entry-apron
21,L06_deterministic_ids,entry-hangar
3109,L06_deterministic_ids,entry-parking_position
26787,L06_deterministic_ids,entry-runway
18587,L06_deterministic_ids,entry-taxiway
9,L06_deterministic_ids,entry-threshold
1679,L06_deterministic_ids,exit-apron
21,L06_deterministic_ids,exit-hangar
3077,L06_deterministic_ids,exit-parking_position
26787,L06_deterministic_ids,exit-runway
18029,L06_deterministic_ids,exit-taxiway
9,L06_deterministic_ids,exit-threshold
95845,L06_deterministic_ids,first-xing-fl100
86384,L06_deterministic_ids,first-xing-fl245
98017,L06_deterministic_ids,first-xing-fl50
96633,L06_deterministic_ids,first-xing-fl70
236899,L06_deterministic_ids,first_seen
3835,L06_deterministic_ids,landing
95845,L06_deterministic_ids,last-xing-fl100
86384,L06_deterministic_ids,last-xing-fl245
98017,L06_deterministic_ids,last-xing-fl50
96633,L06_deterministic_ids,last-xing-fl70
236899,L06_deterministic_ids,last_seen
301044,L06_deterministic_ids,level-end
370466,L06_deterministic_ids,level-start
2570,L06_deterministic_ids,take-off
100925,L06_deterministic_ids,top-of-climb
100801,L06_deterministic_ids,top-of-descent
1679,L07_all_crossings,entry-apron
21,L07_all_crossings,entry-hangar
3109,L07_all_crossings,entry-parking_position
26787,L07_all_crossings,entry-runway
18587,L07_all_crossings,entry-taxiway
9,L07_all_crossings,entry-threshold
1679,L07_all_crossings,exit-apron
21,L07_all_crossings,exit-hangar
3077,L07_all_crossings,exit-parking_position
26787,L07_all_crossings,exit-runway
18029,L07_all_crossings,exit-taxiway
9,L07_all_crossings,exit-threshold
236899,L07_all_crossings,first_seen
3835,L07_all_crossings,landing
236899,L07_all_crossings,last_seen
301044,L07_all_crossings,level-end
370466,L07_all_crossings,level-start
2570,L07_all_crossings,take-off
100925,L07_all_crossings,top-of-climb
100801,L07_all_crossings,top-of-descent
215959,L07_all_crossings,xing-fl100
194128,L07_all_crossings,xing-fl245
213382,L07_all_crossings,xing-fl50
220883,L07_all_crossings,xing-fl70
1679,L08_interpolated,entry-apron
21,L08_interpolated,entry-hangar
3109,L08_interpolated,entry-parking_position
26787,L08_interpolated,entry-runway
18587,L08_interpolated,entry-taxiway
9,L08_interpolated,entry-threshold
1679,L08_interpolated,exit-apron
21,L08_interpolated,exit-hangar
3077,L08_interpolated,exit-parking_position
26787,L08_interpolated,exit-runway
18029,L08_interpolated,exit-taxiway
9,L08_interpolated,exit-threshold
236899,L08_interpolated,first_seen
3835,L08_interpolated,landing
236899,L08_interpolated,last_seen
301044,L08_interpolated,level-end
370466,L08_interpolated,level-start
2570,L08_interpolated,take-off
100925,L08_interpolated,top-of-climb
100801,L08_interpolated,top-of-descent
215959,L08_interpolated,xing-fl100
194128,L08_interpolated,xing-fl245
213382,L08_interpolated,xing-fl50
220883,L08_interpolated,xing-fl70
1679,L09_rings,entry-apron
21,L09_rings,entry-hangar
3109,L09_rings,entry-parking_position
26787,L09_rings,entry-runway
18587,L09_rings,entry-taxiway
9,L09_rings,entry-threshold
1679,L09_rings,exit-apron
21,L09_rings,exit-hangar
3077,L09_rings,exit-parking_position
26787,L09_rings,exit-runway
18029,L09_rings,exit-taxiway
9,L09_rings,exit-threshold
236899,L09_rings,first_seen
3835,L09_rings,landing
236899,L09_rings,last_seen
301044,L09_rings,level-end
370466,L09_rings,level-start
2570,L09_rings,take-off
100925,L09_rings,top-of-climb
100801,L09_rings,top-of-descent
138512,L09_rings,xing-100nm
151526,L09_rings,xing-40nm
215959,L09_rings,xing-fl100
194128,L09_rings,xing-fl245
213382,L09_rings,xing-fl50
220883,L09_rings,xing-fl70
65886,L10_runway,ALDT
46355,L10_runway,ATOT
1679,L10_runway,entry-apron
21,L10_runway,entry-hangar
3109,L10_runway,entry-parking_position
26787,L10_runway,entry-runway
18587,L10_runway,entry-taxiway
9,L10_runway,entry-threshold
1679,L10_runway,exit-apron
21,L10_runway,exit-hangar
3077,L10_runway,exit-parking_position
26787,L10_runway,exit-runway
18029,L10_runway,exit-taxiway
9,L10_runway,exit-threshold
236899,L10_runway,first_seen
3835,L10_runway,landing
236899,L10_runway,last_seen
301044,L10_runway,level-end
370466,L10_runway,level-start
2570,L10_runway,take-off
100925,L10_runway,top-of-climb
100801,L10_runway,top-of-descent
138512,L10_runway,xing-100nm
151526,L10_runway,xing-40nm
215959,L10_runway,xing-fl100
194128,L10_runway,xing-fl245
213382,L10_runway,xing-fl50
220883,L10_runway,xing-fl70
1842,L11_blocks,AIBT
65886,L11_blocks,ALDT
1842,L11_blocks,AOBT
46355,L11_blocks,ATOT
1679,L11_blocks,entry-apron
21,L11_blocks,entry-hangar
3109,L11_blocks,entry-parking_position
26787,L11_blocks,entry-runway
18587,L11_blocks,entry-taxiway
9,L11_blocks,entry-threshold
1679,L11_blocks,exit-apron
21,L11_blocks,exit-hangar
3077,L11_blocks,exit-parking_position
26787,L11_blocks,exit-runway
18029,L11_blocks,exit-taxiway
9,L11_blocks,exit-threshold
236899,L11_blocks,first_seen
3835,L11_blocks,landing
236899,L11_blocks,last_seen
301044,L11_blocks,level-end
370466,L11_blocks,level-start
2570,L11_blocks,take-off
100925,L11_blocks,top-of-climb
100801,L11_blocks,top-of-descent
138512,L11_blocks,xing-100nm
151526,L11_blocks,xing-40nm
215959,L11_blocks,xing-fl100
194128,L11_blocks,xing-fl245
213382,L11_blocks,xing-fl50
220883,L11_blocks,xing-fl70
1842,L12_level_offs,AIBT
65886,L12_level_offs,ALDT
1842,L12_level_offs,AOBT
46355,L12_level_offs,ATOT
1679,L12_level_offs,entry-apron
21,L12_level_offs,entry-hangar
3109,L12_level_offs,entry-parking_position
26787,L12_level_offs,entry-runway
18587,L12_level_offs,entry-taxiway
9,L12_level_offs,entry-threshold
1679,L12_level_offs,exit-apron
21,L12_level_offs,exit-hangar
3077,L12_level_offs,exit-parking_position
26787,L12_level_offs,exit-runway
18029,L12_level_offs,exit-taxiway
9,L12_level_offs,exit-threshold
236899,L12_level_offs,first_seen
3835,L12_level_offs,landing
236899,L12_level_offs,last_seen
301044,L12_level_offs,level-end
13945,L12_level_offs,level-off-climb-end
13945,L12_level_offs,level-off-climb-start
103769,L12_level_offs,level-off-descent-end
103769,L12_level_offs,level-off-descent-start
370466,L12_level_offs,level-start
2570,L12_level_offs,take-off
100925,L12_level_offs,top-of-climb
100801,L12_level_offs,top-of-descent
138512,L12_level_offs,xing-100nm
151526,L12_level_offs,xing-40nm
215959,L12_level_offs,xing-fl100
194128,L12_level_offs,xing-fl245
213382,L12_level_offs,xing-fl50
220883,L12_level_offs,xing-fl70
1842,L13_shipped,AIBT
65886,L13_shipped,ALDT
1842,L13_shipped,AOBT
46355,L13_shipped,ATOT
1679,L13_shipped,entry-apron
21,L13_shipped,entry-hangar
3109,L13_shipped,entry-parking_position
26787,L13_shipped,entry-runway
