bias_s,coverage_pct,det_type,mad_s,milestone,n_detected,n_truth,p90_abs_s,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
34.0,2.12,landing,35.0,ALDT,1215,57363,104.0,L00_legacy,145,0.25,1113,1.94,1164,2.03,528,0.92,926,1.61
,0.0,landing,,AOBT,0,57363,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1.0,1.81,take-off,7.0,ATOT,1041,57364,4273.0,L00_legacy,596,1.04,769,1.34,772,1.35,701,1.22,754,1.31
,0.0,take-off,,AIBT,0,57362,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7.0,6.39,landing,14.0,ALDT,3668,57363,74.0,L01_clean_tracks,1605,2.8,3565,6.21,3619,6.31,2423,4.22,3101,5.41
,0.0,landing,,AOBT,0,57363,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.0,3.26,take-off,11.0,ATOT,1871,57364,5629.0,L01_clean_tracks,935,1.63,1418,2.47,1420,2.48,1219,2.13,1391,2.42
