adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_wrong,fl_cap,legacy,margin,n_ground_truth,penalty_nm,radius_nm,stage,stage2_role
0.9872950441443381,64188,0.6835232768409101,0.08297237057908238,0.9883287654359006,0.7445886453269742,0.0,0.0,0.6748391437823289,0.0,826,0.9752063536644354,62500,0.6737983094326927,0.08372934101518147,0.9756173706721614,0.7350605838076005,0.0,0.0,0.6570923924471173,0.0,1589,40,True,4,95116,0.0,30.0,0,
0.9937114651583552,56571,0.598521804953951,0.08297237057908238,0.9947773791939227,0.6519765202237916,0.0,0.0,0.5947579797300139,0.0,358,0.9827681413629572,60511,0.6473358846040624,0.08372934101518147,0.9832791680207995,0.7061226363135671,0.0,0.0,0.6361810841498802,0.0,1061,20,,0,95116,10.0,20.0,1,
0.9925610119830869,56573,0.5992367214769334,0.08297237057908238,0.9936418723105296,0.6527446574337339,0.0,0.0,0.5947790066865721,0.0,424,0.9811455344260169,60520,0.6485028806930485,0.08372934101518147,0.9817981246552675,0.7072930053240316,0.0,0.0,0.6362757054543925,0.0,1163,20,,0,95116,10.0,30.0,1,
0.9920043485122126,56575,0.5995941797384247,0.08297237057908238,0.9930839579420386,0.6531344584059433,0.0,0.0,0.5948000336431305,0.0,456,0.9801460705089796,60525,0.6492177972160309,0.08372934101518147,0.9807972775887215,0.7080732513310078,0.0,0.0,0.6363282728457883,0.0,1226,20,,0,95116,10.0,40.0,1,
0.98974825492906,56575,0.6009609319147147,0.08297237057908238,0.9908229566192053,0.6546248738879208,0.0,0.0,0.5948000336431305,0.0,586,0.9785792809105018,60531,0.6503217124353421,0.08372934101518147,0.9793392441107948,0.7091977235175326,0.0,0.0,0.6363913537154632,0.0,1325,20,,0,95116,10.0,60.0,1,
0.982853271255342,56575,0.6051768367046554,0.08297237057908238,0.9841355436881382,0.6590731908648996,0.0,0.0,0.5948000336431305,0.0,987,0.9776151945346189,60531,0.6509630346103705,0.08372934101518147,0.978547641372175,0.7097714338167799,0.0,0.0,0.6363913537154632,0.0,1386,20,,0,95116,10.0,80.0,1,
0.9938903758873502,51243,0.5420539131166155,0.08297237057908238,0.9950290296898969,0.5904223608181235,0.0,0.0,0.538742167458682,0.0,315,0.9842436290164897,60405,0.6452331889482317,0.08372934101518147,0.9847089317444533,0.7038622177345327,0.0,0.0,0.6350666554522898,0.0,967,20,,2,95116,10.0,20.0,1,
0.9928697370715545,51243,0.5426111274654106,0.08297237057908238,0.994006052141527,0.5910299917453912,0.0,0.0,0.538742167458682,0.0,368,0.9829636981954862,60410,0.6461268346019597,0.08372934101518147,0.983443762514855,0.7048260510372683,0.0,0.0,0.6351192228436856,0.0,1047,20,,2,95116,10.0,30.0,1,
0.9924085442608982,51245,0.5428844779006686,0.08297237057908238,0.9935437589670014,0.5913280748417866,0.0,0.0,0.5387631944152403,0.0,392,0.9821176011574789,60413,0.6467155893855924,0.08372934101518147,0.9825968153798611,0.7054686065724252,0.0,0.0,0.635150763278523,0.0,1100,20,,2,95116,10.0,40.0,1,
0.9905286556489804,51245,0.5439147987720258,0.08297237057908238,0.9916595711742395,0.5924516188205081,0.0,0.0,0.5387631944152403,0.0,490,0.9808913061125092,60418,0.647577694604483,0.08372934101518147,0.9814011662849439,0.7063865430512208,0.0,0.0,0.6352033306699189,0.0,1177,20,,2,95116,10.0,60.0,1,
0.9824201526015107,51245,0.5484040539972245,0.08297237057908238,0.9836458913181181,0.5972782720352197,0.0,0.0,0.5387631944152403,0.0,917,0.980350159827354,60418,0.6479351528659741,0.08372934101518147,0.9808913061125092,0.7067537176427391,0.0,0.0,0.6352033306699189,0.0,1211,20,,2,95116,10.0,80.0,1,
