n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.687213507716893,0.6806215568358636,0.9881893979958694,0.978745095616176,0.6790971024853862,0.6661550107237478,2.0,64593,772,63049.0,63362,1376,60610.0,0.08297237057908238,0.0,0.0,0.0,0.7484178666422086,0.9894761029411765,0.08372934101518147,0.0,0.0,0.0,0.7423237561960713,0.9793956256279465,legacy,trend,trend,40,30.0,4,0.0,ring,40,40.0,15000.0,10.0
95116,0.7805521678792212,0.7216977164725178,0.9848335870048355,0.9437832325733848,0.7687139913368939,0.6811262037932629,2.0,73117,1126,70865.0,64786,3859,57068.0,0.08297237057908238,0.0,0.0,0.0,0.8499036962303953,0.98630820698214,0.08372934101518147,0.0,0.0,0.0,0.7871190563612998,0.944416099360049,trend,trend,trend,120,20.0,0,10.0,haversine,120,30.0,15000.0,10.0
95116,0.8095693679296858,0.6910088733756676,0.9816111060608028,0.9563338709186623,0.794682282686404,0.660835190714496,2.0,75587,1416,72755.0,62856,2870,57116.0,0.08297237057908238,0.007369948273686867,0.07944754181449569,0.8944365192582026,0.8718471980188939,0.9857191699760671,0.08372934101518147,0.002954287396442239,0.01946258161727775,0.5516014234875445,0.7496787222324215,0.959670013468838,endpoint,endpoint,endpoint,60,20.0,2,10.0,haversine,60,30.0,15000.0,10.0
95116,0.9167858194204971,0.8856133563228058,0.8777995665187326,0.7941022840590721,0.8047541948778334,0.703267589049161,2.0,76545,10656,55233.0,66892,17344,32204.0,0.08297237057908238,0.0,0.0,0.0,0.962602036136843,0.9116624187132274,0.08372934101518147,0.0,0.0,0.0,0.9115453460620525,0.8420125121156049,nearest,nearest,nearest,60,20.0,2,10.0,haversine,60,30.0,15000.0,10.0
95116,0.8090121535808907,0.6826086042306236,0.9822612085769981,0.9795924653842008,0.7946612557298457,0.6686782455107447,2.0,75585,1365,72855.0,63602,1325,60952.0,0.08297237057908238,0.0073594347954077126,0.07932083122149011,0.8942857142857142,0.8717669448775567,0.9857967621878246,0.08372934101518147,0.0,0.0,0.0,0.74468744262897,0.9799849000785812,combined,endpoint,trend,60,20.0,2,10.0,haversine,60,30.0,15000.0,10.0
95116,0.8090436940157282,0.6629483998486059,0.9822229152859537,0.9823810203466705,0.7946612557298457,0.651267925480466,2.0,75585,1368,72849.0,61946,1111,59724.0,0.08297237057908238,0.0073594347954077126,0.07932083122149011,0.8942857142857142,0.8717669448775567,0.9857967621878246,0.08372934101518147,0.0,0.0,0.0,0.723299522673031,0.9826927042847852,recommended,endpoint,trend,40,30.0,4,10.0,ring,40,30.0,15000.0,10.0
