n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.6962025316455697,0.6818726607510829,0.9908788885533072,0.9830241916832416,0.6898523907649606,0.6702973211657345,2.0,65616,604,64408.0,63756,1101,61554.0,0.08297237057908238,0.0,0.0,0.0,0.7582087498853527,0.9921674176671607,0.08372934101518147,0.0,0.0,0.0,0.7436891867082798,0.9836763662171752,grid_fl40_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,40.0,15000.0,10.0
95116,0.6966966651246899,0.6833550611884436,0.9893159491149441,0.9811840364318902,0.6892531225030489,0.6704970772530384,2.0,65559,708,64143.0,63775,1223,61329.0,0.08297237057908238,0.0,0.0,0.0,0.7586214803265157,0.9907662082514734,0.08372934101518147,0.0,0.0,0.0,0.7452841013401873,0.9818638092158946,grid_fl40_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,40.0,15000.0,10.0
95116,0.7322111947516716,0.6983683081710753,0.9897623662861655,0.9778098937163159,0.7247150847386349,0.6828714411876025,2.0,68932,713,67506.0,64952,1474,62004.0,0.08297237057908238,0.0,0.0,0.0,0.7973952123268825,0.9910858063031976,0.08372934101518147,0.0,0.0,0.0,0.7617151643106297,0.9784137982978083,grid_fl60_r20_m2,trend,trend,60,20.0,2,10.0,haversine,60,40.0,15000.0,10.0
95116,0.7325791664914421,0.7016800538290088,0.988447187141217,0.9760267301958316,0.7241158164767232,0.6848584885823625,2.0,68875,805,67265.0,65141,1600,61941.0,0.08297237057908238,0.0,0.0,0.0,0.7977047601577547,0.9898820046278332,0.08372934101518147,0.0,0.0,0.0,0.7653295391958876,0.9766266866566716,grid_fl60_r30_m2,trend,trend,60,30.0,2,10.0,haversine,60,40.0,15000.0,10.0
95116,0.7506728626098659,0.7054964464443416,0.9893558913740704,0.9704041487839771,0.7426826191177089,0.6846166785819421,2.0,70641,760,69121.0,65118,1986,61146.0,0.08297237057908238,0.0,0.0,0.0,0.8174928918646244,0.9906878900497861,0.08372934101518147,0.0,0.0,0.0,0.7695176243803928,0.9709684634309997,grid_fl80_r20_m2,trend,trend,80,20.0,2,10.0,haversine,80,40.0,15000.0,10.0
95116,0.7511880230455444,0.7119517221077422,0.9880615815255424,0.9687675359579432,0.7422200260734262,0.6897157155473317,2.0,70597,853,68891.0,65603,2115,61373.0,0.08297237057908238,0.0,0.0,0.0,0.8179514812436944,0.9895157334080875,0.08372934101518147,0.0,0.0,0.0,0.7765742610611346,0.9693114657210402,grid_fl80_r30_m2,trend,trend,80,30.0,2,10.0,haversine,80,40.0,15000.0,10.0
95116,0.7665587282896673,0.7136023381975692,0.9883969716919025,0.9564493554327809,0.7576643256655031,0.6825244964043904,2.0,72066,846,70374.0,64919,2956,59007.0,0.08297237057908238,0.0,0.0,0.0,0.8347587819866092,0.9897680295559736,0.08372934101518147,0.0,0.0,0.0,0.7783986598127409,0.9569569126903403,grid_fl100_r20_m2,trend,trend,100,20.0,2,10.0,haversine,100,40.0,15000.0,10.0
95116,0.7677362378569326,0.725945161697296,0.9870864373356705,0.9541340207678605,0.7578220278396904,0.6926489759872156,2.0,72081,943,70195.0,65882,3167,59548.0,0.08297237057908238,0.0,0.0,0.0,0.8359281849032376,0.9885891404824928,0.08372934101518147,0.0,0.0,0.0,0.7918693776390674,0.9546317360497297,grid_fl100_r30_m2,trend,trend,100,30.0,2,10.0,haversine,100,40.0,15000.0,10.0
95116,0.7792484965726061,0.7210563942974894,0.9856447064855165,0.9444476845911582,0.7680621556835864,0.6810000420539131,2.0,73055,1064,70927.0,64774,3810,57154.0,0.08297237057908238,0.0,0.0,0.0,0.8486081812345226,0.9869763168916089,0.08372934101518147,0.0,0.0,0.0,0.7865109234440977,0.9449712601756485,grid_fl120_r20_m2,trend,trend,120,20.0,2,10.0,haversine,120,40.0,15000.0,10.0
95116,0.7814878674460659,0.7375205012826443,0.984528870473013,0.9406842480399145,0.769397367425039,0.6937739181630851,2.0,73182,1150,70882.0,65989,4161,57667.0,0.08297237057908238,0.0,0.0,0.0,0.8509355223333027,0.9859879819999461,0.08372934101518147,0.0,0.0,0.0,0.8044336331925831,0.9412477891253495,grid_fl120_r30_m2,trend,trend,120,30.0,2,10.0,haversine,120,40.0,15000.0,10.0
