adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,k,model,n_ground_truth
0.9815331870186876,75581,0.8095693679296858,0.08297237057908238,0.9857043281560293,0.8717440154086031,0.8950354609929078,0.079954384186518,0.7946192018167291,0.007412002186803482,72737.0,1422,0.9563576602349504,62848,0.690903738592876,0.08372934101518147,0.9596902546523016,0.7497705158803011,0.5207547169811321,0.017327975891511804,0.6607510828882628,0.002786071743975777,57112.0,2868,2.0,base,95116
0.9803392644083623,75592,0.810673283148997,0.08297237057908238,0.9852270486955379,0.8722943226634872,0.8950354609929078,0.079954384186518,0.7947348500777998,0.007412002186803482,72560.0,1516,0.9552747966007034,63286,0.6965074225156651,0.08372934101518147,0.9593607097822949,0.7552666605470901,0.5207547169811321,0.017327975891511804,0.6653559863745322,0.002786071743975777,57360.0,2963,2.0,rescue: gate OR align<=0.1,95116
0.9798235042568907,75612,0.8113146053240254,0.08297237057908238,0.9848558481644447,0.8728675593873246,0.8948863636363636,0.07982767359351242,0.7949451196433828,0.007401488708524328,72498.0,1557,0.9544325520480513,63402,0.6983998486059128,0.08372934101518147,0.9587342961492415,0.7571484303286212,0.5207547169811321,0.017327975891511804,0.666575549854914,0.002786071743975777,57348.0,3027,2.0,rescue: gate OR align<=0.25,95116
0.9773026400681308,75739,0.814773539677867,0.08297237057908238,0.983379356375391,0.8760318261029074,0.8912071535022354,0.075772934617334,0.7962803313848353,0.00705454392531225,72221.0,1759,0.952489433769971,63552,0.7014802977417048,0.08372934101518147,0.957178004860304,0.7601776207086469,0.5307692307692308,0.017327975891511804,0.6681525715967871,0.0027335043525800076,57212.0,3170,2.0,rescue: gate OR align<=1.0,95116
0.9690658577309864,76030,0.8248559653475755,0.08297237057908238,0.9796866684838337,0.8832775382922131,0.8846153846153846,0.06994424733907754,0.7993397535640692,0.006560410446192018,71176.0,2427,0.9494350282485876,63859,0.7071365490558896,0.08372934101518147,0.9550236796355135,0.7656049201395263,0.53125,0.017076845806127575,0.6713802094284873,0.002691450439463392,57057.0,3401,2.0,rescue: gate OR align<=3.0,95116
0.932746196957566,2330,0.02626266874132638,0.08297237057908238,0.9068600111544897,0.020556268916811886,0.8167053364269141,0.08920425747592499,0.02449640439042853,0.00906261827663064,1994.0,168,0.9728143063583815,10771,0.1164052315067917,0.08372934101518147,0.9726115233122653,0.12526390673765375,0.37317073170731707,0.01921145153189352,0.11324067454476638,0.004310526094453089,10169.0,301,2.0,veto: gate AND align<=0.1,95116
0.9611996644295302,4583,0.050128264435005676,0.08297237057908238,0.9554187192118226,0.046546821975603045,0.8176538908246226,0.08920425747592499,0.04818327095336221,0.009052104798351487,4213.0,185,0.9755117806102742,12628,0.13609697632364692,0.08372934101518147,0.9754476503244977,0.14674362034147237,0.375,0.01921145153189352,0.13276420370915515,0.004289499137894781,11994.0,317,2.0,veto: gate AND align<=0.25,95116
0.9847533085320486,16147,0.1723895033432861,0.08297237057908238,0.9854526893383526,0.1796867834540952,0.8307692307692308,0.08895083628991383,0.16976113377349764,0.008883889145885025,15647.0,250,0.9785198327208212,15443,0.16592371420160645,0.08372934101518147,0.9788132881008769,0.17926152010280888,0.4114441416893733,0.018960321446509294,0.1623596450649733,0.0038584465284494723,14765.0,339,2.0,veto: gate AND align<=1.0,95116
0.9904214053882893,37534,0.3984292863450944,0.08297237057908238,0.9914937145010633,0.4259034210767679,0.8548780487804878,0.08882412569690826,0.39461289372976155,0.008621052188906178,36808.0,363,0.9815458802800575,21169,0.22674418604651161,0.08372934101518147,0.9818742408670467,0.2456168533137507,0.41597796143250687,0.018960321446509294,0.2225598216914084,0.0038163926153328568,20373.0,398,2.0,veto: gate AND align<=3.0,95116
0.8993469074145217,2341,0.027366583960637538,0.08297237057908238,0.8891906572514937,0.021106576171695864,0.8167053364269141,0.08920425747592499,0.02461205265149922,0.00906261827663064,1817.0,262,0.9658767772511848,11209,0.12200891542958073,0.08372934101518147,0.9701649701649702,0.1307600514044428,0.37317073170731707,0.01921145153189352,0.11784557803103579,0.004310526094453089,10417.0,396,2.0,replace: align<=0.1 only,95116
