adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,height_ft,k,n_ground_truth,penalty_nm,radius_nm
0.985582064235407,26728,0.2922337525188849,0.07942973523421588,0.9869696969696969,0.3090321674392471,0.8115942028985508,0.09116809116809117,0.2880203450468216,0.00892250994083988,25946.0,391,0.971290950269546,30449,0.3378161402601321,0.07982844642722443,0.9725214474617816,0.36310618215034374,0.6781609195402298,0.03982181425485961,0.32811775988965397,0.004687550512397763,28649.0,900,0.0,2.0,92799,10.0,5.0
0.9887316026165167,38695,0.4217286824211468,0.07942973523421588,0.990156762668611,0.449524745984923,0.8658064516129033,0.0910324243657577,0.4169764760396125,0.008351383096800611,37813.0,441,0.9741588663853064,41317,0.45704156294787657,0.07982844642722443,0.9751818570817287,0.49262802871496997,0.6797235023041475,0.03982181425485961,0.44523109085227214,0.004676774534208342,39125.0,1096,500.0,2.0,92799,10.0,5.0
0.9893289118466084,46541,0.5069343419648918,0.07942973523421588,0.9909061453720704,0.5419183405909069,0.8811096433289299,0.09048975715642382,0.5015248009138029,0.00815741548939105,45537.0,502,0.9743474057363841,45351,0.5015679048265607,0.07982844642722443,0.9755759570413997,0.5408532515136255,0.6797235023041475,0.03982181425485961,0.488701386868393,0.004676774534208342,42963.0,1194,1000.0,2.0,92799,10.0,5.0
0.9897857590619124,53684,0.5844675050377698,0.07942973523421588,0.991343205444619,0.626071077398511,0.8863636363636364,0.08994708994708994,0.578497613120831,0.008060431685686268,52576.0,554,0.9735943880221967,46494,0.514606838435759,0.07982844642722443,0.974848075624578,0.5549999414458198,0.6789838337182448,0.03968682505399568,0.5010183299389002,0.004665998556018923,43972.0,1261,2000.0,2.0,92799,10.0,5.0
0.9891829807659341,57703,0.6286059117016347,0.07942973523421588,0.9906391108023619,0.6740178864072669,0.8873994638069705,0.08981142314475647,0.6218062694641106,0.008038879729307427,56441.0,631,0.9729351863444764,46625,0.5164064267933922,0.07982844642722443,0.9741794402741858,0.5569556510639294,0.6789838337182448,0.03968682505399568,0.5024299830817143,0.004665998556018923,44031.0,1297,5000.0,2.0,92799,10.0,5.0
0.9890292041900921,57877,0.6305994676666774,0.07942973523421588,0.9904958105394364,0.6761717469682071,0.8873994638069705,0.08981142314475647,0.6236812896690697,0.008038879729307427,56593.0,642,0.972527815327025,46764,0.5181629112382676,0.07982844642722443,0.9737851260451373,0.5588528065018562,0.6789838337182448,0.03968682505399568,0.5039278440500436,0.004665998556018923,44122.0,1321,8000.0,2.0,92799,10.0,5.0
0.9885830332610884,57928,0.6314399939654523,0.07942973523421588,0.9900418381107154,0.6770847965538231,0.8873994638069705,0.08981142314475647,0.6242308645567302,0.008038879729307427,56590.0,669,0.9721161033136783,46821,0.5190142135152318,0.07982844642722443,0.9733885646143224,0.5597662517127098,0.6789838337182448,0.03968682505399568,0.5045420748068405,0.004665998556018923,44135.0,1343,10000.0,2.0,92799,10.0,5.0
0.9871338858728025,58003,0.6331857024321382,0.07942973523421588,0.988569753810082,0.6789811303085639,0.8873994638069705,0.08981142314475647,0.6250390629209367,0.008038879729307427,56491.0,756,0.9703809346644344,46948,0.521352600782336,0.07982844642722443,0.9716749281459575,0.5622840814605755,0.6789838337182448,0.03968682505399568,0.5059106240368969,0.004665998556018923,44082.0,1433,15000.0,2.0,92799,10.0,5.0
0.9864492655059848,58019,0.6337999331889352,0.07942973523421588,0.9878748213086237,0.6796483588518987,0.8873994638069705,0.08981142314475647,0.6252114785719673,0.008038879729307427,56425.0,797,0.9692551963048499,47005,0.5225918382741194,0.07982844642722443,0.9705778461154861,0.5636074059327095,0.6789838337182448,0.03968682505399568,0.5065248547936939,0.004665998556018923,44023.0,1491,20000.0,2.0,92799,10.0,5.0
0.986064612613225,58023,0.6340908846000496,0.07942973523421588,0.9874845062663545,0.6799644144776888,0.8873994638069705,0.08981142314475647,0.6252545824847251,0.008038879729307427,56383.0,820,0.968302616422577,47075,0.5238849556568498,0.07982844642722443,0.9698760210639797,0.5648604653886241,0.6789838337182448,0.03968682505399568,0.5072791732669533,0.004665998556018923,43993.0,1541,25000.0,2.0,92799,10.0,5.0
