flights,fresh_share,freshness,overall_t2pt_vs_ols,overall_vr_vs_ols,t2pt_vs_ols,vr_vs_ols,vr_zero_share,window_min
29251,0.10216307700855502,1. <30% fresh,0.39321458358155603,0.3840998451090194,0.36521828313561927,0.35626132439916586,0.4485915146945785,5
2701,0.10216307700855502,2. 30-60%,0.39321458358155603,0.3840998451090194,0.5860792299148464,0.5542391706775268,0.4485915146945785,5
941,0.10216307700855502,3. 60-90%,0.39321458358155603,0.3840998451090194,0.6216790648246546,0.5685441020191286,0.4485915146945785,5
679,0.10216307700855502,4. >=90% fresh,0.39321458358155603,0.3840998451090194,0.5154639175257731,0.6509572901325479,0.4485915146945785,5
18597,0.2860092238254103,1. <30% fresh,0.6128133704735376,0.5202462981967454,0.5492283701672313,0.4687315158358875,0.45269483224228585,10
13239,0.2860092238254103,2. 30-60%,0.6128133704735376,0.5202462981967454,0.7001284084900672,0.5778382053025153,0.45269483224228585,10
1447,0.2860092238254103,3. 60-90%,0.6128133704735376,0.5202462981967454,0.6668970283344852,0.585348997926745,0.45269483224228585,10
822,0.2860092238254103,4. >=90% fresh,0.6128133704735376,0.5202462981967454,0.5498783454987834,0.6435523114355232,0.45269483224228585,10
12015,0.43721441619601475,1. <30% fresh,0.6579983333812247,0.5782017758110399,0.5776113191843529,0.5027049521431544,0.46669335847191706,20
10532,0.43721441619601475,2. 30-60%,0.6579983333812247,0.5782017758110399,0.6240030383592859,0.5984618306114698,0.46669335847191706,20
11206,0.43721441619601475,3. 60-90%,0.6579983333812247,0.5782017758110399,0.7812778868463324,0.6275209709084419,0.46669335847191706,20
1048,0.43721441619601475,4. >=90% fresh,0.6579983333812247,0.5782017758110399,0.6030534351145038,0.7127862595419847,0.46669335847191706,20
