n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.6872450481517305,0.6806110433575844,0.9882511320523804,0.9787138730555942,0.6791706968333403,0.6661234702889104,2.0,64600,768,63064.0,63359,1378,60603.0,0.08297237057908238,0.0,0.0,0.0,0.7484407961111621,0.9895530161453386,0.08372934101518147,0.0,0.0,0.0,0.7423122819900863,0.9793643923702353,path0_legacy,trend,trend,40,30.0,4,0.0,ring,40,40.0,15000.0,10.0
95116,0.6872450481517305,0.6806110433575844,0.9902398727205972,0.9800114308664288,0.6805374490096303,0.6670066024643593,2.0,64730,638,63454.0,63443,1294,60855.0,0.08297237057908238,0.0,0.0,0.0,0.7484407961111621,0.9915443767041451,0.08372934101518147,0.0,0.0,0.0,0.7423122819900863,0.9806628126255913,path1_penalty,trend,trend,40,30.0,4,10.0,ring,40,40.0,15000.0,10.0
95116,0.7283527482232222,0.6991568190420119,0.9865902595340512,0.963083261905836,0.7185857269018883,0.6733462298666891,2.0,68349,929,66491.0,64046,2455,59136.0,0.08297237057908238,0.0,0.0,0.0,0.7932449784462992,0.9878450643156526,0.08372934101518147,0.0,0.0,0.0,0.7626101523774554,0.9636339015692942,path2_flcap,trend,trend,60,30.0,4,10.0,ring,60,40.0,15000.0,10.0
95116,0.7325791664914421,0.7016800538290088,0.9858352468427095,0.9628114652162838,0.7222023634299172,0.6755856007401488,2.0,68693,987,66719.0,64259,2482,59295.0,0.08297237057908238,0.0,0.0,0.0,0.7977047601577547,0.9872662728696877,0.08372934101518147,0.0,0.0,0.0,0.7653295391958876,0.9634032983508246,path3_margin,trend,trend,60,30.0,2,10.0,ring,60,40.0,15000.0,10.0
95116,0.7322111947516716,0.6983683081710753,0.9871921889582884,0.9650136994550327,0.7228331721266664,0.6739349846503218,2.0,68753,892,66969.0,64102,2324,59454.0,0.08297237057908238,0.0,0.0,0.0,0.7973952123268825,0.9885121923165402,0.08372934101518147,0.0,0.0,0.0,0.7617151643106297,0.9656097009866687,path4_radius,trend,trend,60,20.0,2,10.0,ring,60,40.0,15000.0,10.0
