arm,edge,bin_lower_s,bin_upper_s,n
recommended,off,-1800,-1770,781
recommended,off,-1770,-1740,20
recommended,off,-1740,-1710,16
recommended,off,-1710,-1680,11
recommended,off,-1680,-1650,20
recommended,off,-1650,-1620,18
recommended,off,-1620,-1590,19
recommended,off,-1590,-1560,28
recommended,off,-1560,-1530,19
recommended,off,-1530,-1500,27
recommended,off,-1500,-1470,17
recommended,off,-1470,-1440,28
recommended,off,-1440,-1410,43
recommended,off,-1410,-1380,49
recommended,off,-1380,-1350,37
recommended,off,-1350,-1320,42
recommended,off,-1320,-1290,56
recommended,off,-1290,-1260,64
recommended,off,-1260,-1230,81
recommended,off,-1230,-1200,82
recommended,off,-1200,-1170,80
recommended,off,-1170,-1140,83
recommended,off,-1140,-1110,106
recommended,off,-1110,-1080,125
recommended,off,-1080,-1050,139
recommended,off,-1050,-1020,158
recommended,off,-1020,-990,154
recommended,off,-990,-960,190
recommended,off,-960,-930,184
recommended,off,-930,-900,244
recommended,off,-900,-870,284
recommended,off,-870,-840,316
recommended,off,-840,-810,341
recommended,off,-810,-780,378
recommended,off,-780,-750,451
recommended,off,-750,-720,495
recommended,off,-720,-690,470
recommended,off,-690,-660,543
recommended,off,-660,-630,552
recommended,off,-630,-600,615
recommended,off,-600,-570,627
recommended,off,-570,-540,585
recommended,off,-540,-510,576
recommended,off,-510,-480,552
recommended,off,-480,-450,522
recommended,off,-450,-420,429
recommended,off,-420,-390,477
recommended,off,-390,-360,435
recommended,off,-360,-330,396
recommended,off,-330,-300,392
recommended,off,-300,-270,405
recommended,off,-270,-240,392
recommended,off,-240,-210,441
recommended,off,-210,-180,423
recommended,off,-180,-150,403
recommended,off,-150,-120,402
recommended,off,-120,-90,396
recommended,off,-90,-60,359
recommended,off,-60,-30,359
recommended,off,-30,0,1836
recommended,off,0,30,6817
recommended,off,30,60,5231
recommended,off,60,90,1644
recommended,off,90,120,635
recommended,off,120,150,432
recommended,off,150,180,298
recommended,off,180,210,247
recommended,off,210,240,223
recommended,off,240,270,154
recommended,off,270,300,110
recommended,off,300,330,101
recommended,off,330,360,76
recommended,off,360,390,64
recommended,off,390,420,44
recommended,off,420,450,40
recommended,off,450,480,33
recommended,off,480,510,25
recommended,off,510,540,16
recommended,off,540,570,20
recommended,off,570,600,21
recommended,off,600,630,12
recommended,off,630,660,16
recommended,off,660,690,17
recommended,off,690,720,13
recommended,off,720,750,8
recommended,off,750,780,10
recommended,off,780,810,7
recommended,off,810,840,13
recommended,off,840,870,15
recommended,off,870,900,5
recommended,off,900,930,10
recommended,off,930,960,14
recommended,off,960,990,10
recommended,off,990,1020,14
recommended,off,1020,1050,17
recommended,off,1050,1080,9
recommended,off,1080,1110,17
recommended,off,1110,1140,5
recommended,off,1140,1170,15
recommended,off,1170,1200,5
recommended,off,1200,1230,7
recommended,off,1230,1260,7
recommended,off,1260,1290,11
recommended,off,1290,1320,9
recommended,off,1320,1350,3
recommended,off,1350,1380,3
recommended,off,1380,1410,3
recommended,off,1410,1440,10
recommended,off,1440,1470,12
recommended,off,1470,1500,3
recommended,off,1500,1530,10
recommended,off,1530,1560,7
recommended,off,1560,1590,4
recommended,off,1590,1620,5
recommended,off,1620,1650,0
recommended,off,1650,1680,3
recommended,off,1680,1710,6
recommended,off,1710,1740,4
recommended,off,1740,1770,6
recommended,off,1770,1800,1050
recommended,land,-1800,-1770,1074
recommended,land,-1770,-1740,8
recommended,land,-1740,-1710,7
recommended,land,-1710,-1680,5
recommended,land,-1680,-1650,5
recommended,land,-1650,-1620,4
recommended,land,-1620,-1590,4
recommended,land,-1590,-1560,7
recommended,land,-1560,-1530,6
recommended,land,-1530,-1500,5
recommended,land,-1500,-1470,6
recommended,land,-1470,-1440,3
recommended,land,-1440,-1410,8
recommended,land,-1410,-1380,7
recommended,land,-1380,-1350,6
recommended,land,-1350,-1320,5
recommended,land,-1320,-1290,5
recommended,land,-1290,-1260,5
recommended,land,-1260,-1230,10
recommended,land,-1230,-1200,12
recommended,land,-1200,-1170,9
recommended,land,-1170,-1140,17
recommended,land,-1140,-1110,10
recommended,land,-1110,-1080,15
recommended,land,-1080,-1050,14
recommended,land,-1050,-1020,8
recommended,land,-1020,-990,13
recommended,land,-990,-960,14
recommended,land,-960,-930,19
recommended,land,-930,-900,23
recommended,land,-900,-870,16
recommended,land,-870,-840,30
recommended,land,-840,-810,13
recommended,land,-810,-780,15
recommended,land,-780,-750,16
recommended,land,-750,-720,28
recommended,land,-720,-690,20
recommended,land,-690,-660,23
recommended,land,-660,-630,27
recommended,land,-630,-600,18
recommended,land,-600,-570,22
recommended,land,-570,-540,32
recommended,land,-540,-510,30
recommended,land,-510,-480,36
recommended,land,-480,-450,24
recommended,land,-450,-420,51
recommended,land,-420,-390,62
recommended,land,-390,-360,64
recommended,land,-360,-330,78
recommended,land,-330,-300,86
recommended,land,-300,-270,64
recommended,land,-270,-240,78
recommended,land,-240,-210,66
recommended,land,-210,-180,66
recommended,land,-180,-150,51
recommended,land,-150,-120,88
recommended,land,-120,-90,75
recommended,land,-90,-60,94
recommended,land,-60,-30,110
recommended,land,-30,0,233
recommended,land,0,30,152
recommended,land,30,60,387
recommended,land,60,90,163
recommended,land,90,120,359
recommended,land,120,150,167
recommended,land,150,180,381
recommended,land,180,210,224
recommended,land,210,240,879
recommended,land,240,270,2474
recommended,land,270,300,3796
recommended,land,300,330,3385
recommended,land,330,360,2415
recommended,land,360,390,1183
recommended,land,390,420,1104
recommended,land,420,450,991
recommended,land,450,480,1182
recommended,land,480,510,1213
recommended,land,510,540,1413
recommended,land,540,570,1351
recommended,land,570,600,1362
recommended,land,600,630,1085
recommended,land,630,660,1014
recommended,land,660,690,780
recommended,land,690,720,660
recommended,land,720,750,499
recommended,land,750,780,453
recommended,land,780,810,371
recommended,land,810,840,298
recommended,land,840,870,279
recommended,land,870,900,212
recommended,land,900,930,224
recommended,land,930,960,176
recommended,land,960,990,152
recommended,land,990,1020,131
recommended,land,1020,1050,113
recommended,land,1050,1080,113
recommended,land,1080,1110,103
recommended,land,1110,1140,92
recommended,land,1140,1170,62
recommended,land,1170,1200,40
recommended,land,1200,1230,44
recommended,land,1230,1260,42
recommended,land,1260,1290,37
recommended,land,1290,1320,35
recommended,land,1320,1350,18
recommended,land,1350,1380,31
recommended,land,1380,1410,32
recommended,land,1410,1440,25
recommended,land,1440,1470,20
recommended,land,1470,1500,16
recommended,land,1500,1530,9
recommended,land,1530,1560,20
recommended,land,1560,1590,9
recommended,land,1590,1620,12
recommended,land,1620,1650,13
recommended,land,1650,1680,13
recommended,land,1680,1710,12
recommended,land,1710,1740,10
recommended,land,1740,1770,19
recommended,land,1770,1800,594
legacy,off,-1800,-1770,697
legacy,off,-1770,-1740,16
legacy,off,-1740,-1710,17
legacy,off,-1710,-1680,10
legacy,off,-1680,-1650,22
legacy,off,-1650,-1620,16
legacy,off,-1620,-1590,14
legacy,off,-1590,-1560,22
legacy,off,-1560,-1530,25
legacy,off,-1530,-1500,18
legacy,off,-1500,-1470,22
legacy,off,-1470,-1440,29
legacy,off,-1440,-1410,32
legacy,off,-1410,-1380,44
legacy,off,-1380,-1350,41
legacy,off,-1350,-1320,40
legacy,off,-1320,-1290,44
legacy,off,-1290,-1260,54
legacy,off,-1260,-1230,67
legacy,off,-1230,-1200,82
legacy,off,-1200,-1170,72
legacy,off,-1170,-1140,80
legacy,off,-1140,-1110,91
