clean_match_pct,completeness,fragmented_pct,gap_minutes,homogeneity,land_err_p50_s,land_err_p90_s,land_signed_p10_s,land_signed_p50_s,land_signed_p90_s,low_alt_ft,low_alt_gap_minutes,merged_pct,n_apdf_flights,n_flights,n_tracks,off_err_p50_s,off_err_p90_s,off_signed_p10_s,off_signed_p50_s,off_signed_p90_s,period,v_measure
52.325434330194426,0.9942454552831704,47.34917733089579,30,0.9998837552704508,370.0,760.0,2.0,340.0,710.0,5000,10,0.3253883389097766,21959,86973,138122,120.0,824.0,-740.0,8.0,140.0,2024,0.9970566342720788
52.330033458659585,0.9942023826580761,47.40551665459395,30,0.9998962182683154,371.0,760.0,2.0,340.0,710.0,20000,10,0.2644498867464615,21959,86973,138353,120.0,824.0,-740.0,8.0,140.0,2024,0.9970411715361855
52.327733894427006,0.9942492271588427,47.33423016338404,30,0.9998802795703731,370.0,760.0,3.0,340.0,710.0,5000,15,0.3380359421889552,21959,86973,138083,120.0,835.0,-750.0,7.0,140.0,2024,0.9970568028400421
52.33808193347361,0.9942276156184745,47.381371230151885,30,0.9998927142571703,370.0,760.0,3.0,340.0,710.0,20000,15,0.28054683637450706,21959,86973,138229,120.0,835.0,-750.0,7.0,140.0,2024,0.9970521179453453
52.62667724466213,0.9957550770903614,46.49029009002794,50,0.9996981227287626,371.0,764.0,4.0,340.0,715.0,5000,10,0.8830326653099237,21959,86973,134491,120.0,830.0,-750.0,8.0,140.0,2024,0.997722704150717
52.663470272383385,0.9956470279940854,46.77888540121647,50,0.9997782321695176,371.0,760.0,3.0,340.0,710.0,20000,10,0.5576443264001472,21959,86973,135064,120.0,830.0,-749.0,8.0,140.0,2024,0.9977083535878932
52.62897680889471,0.9957589455951859,46.475342922516184,50,0.9996946388600424,371.0,761.0,5.0,340.0,715.0,5000,15,0.8956802685891023,21959,86973,134451,120.0,844.0,-760.0,6.0,140.0,2024,0.9977229109843732
52.6715187471974,0.995672421436861,46.75588975889069,50,0.9997745677397986,370.0,760.0,4.0,340.0,710.0,20000,15,0.5725914939119037,21959,86973,134939,120.0,840.0,-756.0,7.0,140.0,2024,0.9977192780883721
52.80489347268693,0.9963572969563168,46.063720924884734,60,0.9995945522293616,372.0,765.0,5.0,340.0,715.0,5000,10,1.1313856024283397,21959,86973,133038,120.0,835.0,-752.0,8.0,140.0,2024,0.9979732993236707
52.85893323215251,0.9962375116435714,46.4213031630506,60,0.9997020194764435,371.0,765.0,3.0,340.0,715.0,20000,10,0.7197636047968909,21959,86973,133718,120.0,835.0,-750.0,8.0,140.0,2024,0.997966758751851
52.80719303691951,0.9963611709371027,46.04877375737298,60,0.9995905979483445,372.0,765.0,5.0,340.0,715.0,5000,15,1.1440332057075184,21959,86973,132997,120.0,850.0,-762.0,6.0,140.0,2024,0.9979732718548386
52.86698170696653,0.9962629393053576,46.39830752072482,60,0.9996983512048402,370.0,765.0,4.0,340.0,715.0,20000,15,0.7347107723086476,21959,86973,133592,120.0,845.0,-760.0,7.0,140.0,2024,0.9979776887711793
