arm,edge,bin_lower_s,bin_upper_s,n
recommended,land,510,540,848
recommended,land,540,570,806
recommended,land,570,600,978
recommended,land,600,630,842
recommended,land,630,660,769
recommended,land,660,690,541
recommended,land,690,720,440
recommended,land,720,750,358
recommended,land,750,780,276
recommended,land,780,810,198
recommended,land,810,840,174
recommended,land,840,870,137
recommended,land,870,900,109
recommended,land,900,930,102
recommended,land,930,960,95
recommended,land,960,990,77
recommended,land,990,1020,72
recommended,land,1020,1050,50
recommended,land,1050,1080,46
recommended,land,1080,1110,42
recommended,land,1110,1140,45
recommended,land,1140,1170,38
recommended,land,1170,1200,22
recommended,land,1200,1230,23
recommended,land,1230,1260,26
recommended,land,1260,1290,26
recommended,land,1290,1320,23
recommended,land,1320,1350,11
recommended,land,1350,1380,13
recommended,land,1380,1410,11
recommended,land,1410,1440,7
recommended,land,1440,1470,9
recommended,land,1470,1500,10
recommended,land,1500,1530,5
recommended,land,1530,1560,11
recommended,land,1560,1590,5
recommended,land,1590,1620,8
recommended,land,1620,1650,8
recommended,land,1650,1680,6
recommended,land,1680,1710,5
recommended,land,1710,1740,9
recommended,land,1740,1770,8
recommended,land,1770,1800,321
legacy,off,-1800,-1770,363
legacy,off,-1770,-1740,8
legacy,off,-1740,-1710,5
legacy,off,-1710,-1680,6
legacy,off,-1680,-1650,10
legacy,off,-1650,-1620,12
legacy,off,-1620,-1590,4
legacy,off,-1590,-1560,10
legacy,off,-1560,-1530,11
legacy,off,-1530,-1500,8
legacy,off,-1500,-1470,17
legacy,off,-1470,-1440,14
legacy,off,-1440,-1410,19
legacy,off,-1410,-1380,18
legacy,off,-1380,-1350,23
legacy,off,-1350,-1320,21
legacy,off,-1320,-1290,13
legacy,off,-1290,-1260,26
legacy,off,-1260,-1230,33
legacy,off,-1230,-1200,29
legacy,off,-1200,-1170,42
legacy,off,-1170,-1140,48
legacy,off,-1140,-1110,47
legacy,off,-1110,-1080,49
legacy,off,-1080,-1050,51
legacy,off,-1050,-1020,74
legacy,off,-1020,-990,77
legacy,off,-990,-960,96
legacy,off,-960,-930,101
legacy,off,-930,-900,120
legacy,off,-900,-870,105
legacy,off,-870,-840,138
legacy,off,-840,-810,173
legacy,off,-810,-780,185
legacy,off,-780,-750,223
legacy,off,-750,-720,241
legacy,off,-720,-690,257
legacy,off,-690,-660,286
legacy,off,-660,-630,342
legacy,off,-630,-600,342
legacy,off,-600,-570,355
legacy,off,-570,-540,363
legacy,off,-540,-510,366
legacy,off,-510,-480,351
legacy,off,-480,-450,311
legacy,off,-450,-420,314
legacy,off,-420,-390,277
legacy,off,-390,-360,269
legacy,off,-360,-330,284
legacy,off,-330,-300,295
legacy,off,-300,-270,312
legacy,off,-270,-240,300
legacy,off,-240,-210,273
legacy,off,-210,-180,261
legacy,off,-180,-150,268
legacy,off,-150,-120,221
legacy,off,-120,-90,232
legacy,off,-90,-60,327
legacy,off,-60,-30,409
legacy,off,-30,0,711
legacy,off,0,30,3251
legacy,off,30,60,3754
legacy,off,60,90,1622
legacy,off,90,120,619
legacy,off,120,150,449
legacy,off,150,180,230
legacy,off,180,210,141
legacy,off,210,240,95
legacy,off,240,270,99
legacy,off,270,300,104
legacy,off,300,330,152
legacy,off,330,360,133
legacy,off,360,390,115
legacy,off,390,420,108
legacy,off,420,450,82
legacy,off,450,480,79
legacy,off,480,510,79
legacy,off,510,540,42
legacy,off,540,570,33
legacy,off,570,600,26
legacy,off,600,630,7
legacy,off,630,660,9
legacy,off,660,690,9
legacy,off,690,720,10
legacy,off,720,750,3
legacy,off,750,780,2
legacy,off,780,810,6
legacy,off,810,840,1
legacy,off,840,870,4
legacy,off,870,900,3
legacy,off,900,930,1
legacy,off,930,960,1
legacy,off,960,990,3
legacy,off,990,1020,2
legacy,off,1020,1050,5
legacy,off,1050,1080,2
legacy,off,1080,1110,1
legacy,off,1110,1140,0
legacy,off,1140,1170,2
legacy,off,1170,1200,1
legacy,off,1200,1230,3
legacy,off,1230,1260,2
legacy,off,1260,1290,1
legacy,off,1290,1320,3
legacy,off,1320,1350,2
legacy,off,1350,1380,3
legacy,off,1380,1410,2
legacy,off,1410,1440,3
legacy,off,1440,1470,1
legacy,off,1470,1500,0
legacy,off,1500,1530,2
legacy,off,1530,1560,1
legacy,off,1560,1590,4
legacy,off,1590,1620,0
legacy,off,1620,1650,7
legacy,off,1650,1680,2
legacy,off,1680,1710,3
legacy,off,1710,1740,1
legacy,off,1740,1770,2
legacy,off,1770,1800,486
legacy,land,-1800,-1770,481
legacy,land,-1770,-1740,2
legacy,land,-1740,-1710,3
legacy,land,-1710,-1680,2
legacy,land,-1680,-1650,1
legacy,land,-1650,-1620,3
legacy,land,-1620,-1590,3
legacy,land,-1590,-1560,2
legacy,land,-1560,-1530,3
legacy,land,-1530,-1500,2
legacy,land,-1500,-1470,0
legacy,land,-1470,-1440,2
legacy,land,-1440,-1410,1
legacy,land,-1410,-1380,3
legacy,land,-1380,-1350,3
legacy,land,-1350,-1320,3
legacy,land,-1320,-1290,2
legacy,land,-1290,-1260,0
legacy,land,-1260,-1230,1
legacy,land,-1230,-1200,1
legacy,land,-1200,-1170,2
legacy,land,-1170,-1140,6
legacy,land,-1140,-1110,2
legacy,land,-1110,-1080,2
legacy,land,-1080,-1050,3
legacy,land,-1050,-1020,0
legacy,land,-1020,-990,3
legacy,land,-990,-960,6
legacy,land,-960,-930,2
legacy,land,-930,-900,2
legacy,land,-900,-870,4
legacy,land,-870,-840,3
legacy,land,-840,-810,7
legacy,land,-810,-780,8
legacy,land,-780,-750,2
legacy,land,-750,-720,8
legacy,land,-720,-690,10
legacy,land,-690,-660,7
legacy,land,-660,-630,7
legacy,land,-630,-600,23
legacy,land,-600,-570,12
legacy,land,-570,-540,20
legacy,land,-540,-510,19
legacy,land,-510,-480,47
legacy,land,-480,-450,34
legacy,land,-450,-420,42
legacy,land,-420,-390,56
legacy,land,-390,-360,77
legacy,land,-360,-330,54
legacy,land,-330,-300,75
legacy,land,-300,-270,73
legacy,land,-270,-240,102
legacy,land,-240,-210,71
legacy,land,-210,-180,98
legacy,land,-180,-150,59
legacy,land,-150,-120,83
legacy,land,-120,-90,106
legacy,land,-90,-60,126
legacy,land,-60,-30,119
legacy,land,-30,0,254
legacy,land,0,30,320
legacy,land,30,60,498
legacy,land,60,90,164
legacy,land,90,120,322
legacy,land,120,150,306
legacy,land,150,180,341
legacy,land,180,210,419
legacy,land,210,240,857
legacy,land,240,270,978
legacy,land,270,300,2339
legacy,land,300,330,1645
legacy,land,330,360,1252
legacy,land,360,390,552
legacy,land,390,420,526
legacy,land,420,450,494
legacy,land,450,480,661
legacy,land,480,510,752
legacy,land,510,540,878
legacy,land,540,570,826
legacy,land,570,600,1011
legacy,land,600,630,850
legacy,land,630,660,760
legacy,land,660,690,545
legacy,land,690,720,431
legacy,land,720,750,356
legacy,land,750,780,275
legacy,land,780,810,195
legacy,land,810,840,179
legacy,land,840,870,132
legacy,land,870,900,104
legacy,land,900,930,96
legacy,land,930,960,89
legacy,land,960,990,73
legacy,land,990,1020,65
legacy,land,1020,1050,45
legacy,land,1050,1080,43
legacy,land,1080,1110,37
legacy,land,1110,1140,40
legacy,land,1140,1170,37
legacy,land,1170,1200,22
legacy,land,1200,1230,22
legacy,land,1230,1260,26
legacy,land,1260,1290,24
legacy,land,1290,1320,18
legacy,land,1320,1350,10
legacy,land,1350,1380,10
legacy,land,1380,1410,11
legacy,land,1410,1440,8
legacy,land,1440,1470,7
legacy,land,1470,1500,5
legacy,land,1500,1530,5
legacy,land,1530,1560,9
legacy,land,1560,1590,3
legacy,land,1590,1620,7
legacy,land,1620,1650,5
legacy,land,1650,1680,4
legacy,land,1680,1710,4
legacy,land,1710,1740,4
legacy,land,1740,1770,2
