clean_match_pct,completeness,fragmented_pct,gap_minutes,homogeneity,land_err_p50_s,land_err_p90_s,land_signed_p10_s,land_signed_p50_s,land_signed_p90_s,low_alt_ft,low_alt_gap_minutes,merged_pct,n_apdf_flights,n_flights,n_tracks,off_err_p50_s,off_err_p90_s,off_signed_p10_s,off_signed_p50_s,off_signed_p90_s,period,v_measure
51.555586046033,0.9947109451874115,47.80983089218948,40,0.9997858838229301,369.0,775.0,66.0,343.0,701.0,15000,5,0.6345830617775186,7613,29153,46342,89.0,886.0,-781.0,13.0,107.0,2025,0.997241957988976
51.53157479504682,0.994607484904586,47.87500428772339,40,0.9997956592175459,370.0,780.0,65.0,343.0,701.0,20000,5,0.5934209172297876,7613,29153,46451,89.0,886.0,-781.0,13.0,107.0,2025,0.9971948238886162
51.469831578225225,0.9944371182693269,47.94360786196961,40,0.9997968954343555,370.0,784.0,65.0,343.0,701.0,30000,5,0.5865605598051659,7613,29153,46617,89.0,891.0,-781.0,13.0,107.0,2025,0.997109804284073
51.6173292628546,0.994789375793505,47.72750660309402,40,0.999778213919327,368.0,775.0,74.0,343.0,701.0,15000,10,0.6551641340513841,7613,29153,46214,94.0,916.0,-806.0,10.0,107.0,2025,0.9972775557833523
51.61389908414228,0.9947129042844866,47.77209892635406,40,0.9997879893139427,369.0,779.0,74.0,343.0,701.0,20000,10,0.6140019895036531,7613,29153,46298,94.0,916.0,-806.0,10.0,107.0,2025,0.9972439899236777
51.56930676088224,0.9945710360196091,47.82355160703872,40,0.9997892255307523,370.0,783.0,74.0,343.0,701.0,30000,10,0.6071416320790313,7613,29153,46424,94.0,916.0,-806.0,10.0,107.0,2025,0.9971733041495456
51.60017836929304,0.9948268385330575,47.679484101121666,40,0.9997615320695911,368.0,775.0,76.0,343.0,702.0,15000,15,0.7203375295852914,7613,29153,46138,95.0,929.0,-818.0,9.0,107.0,2025,0.9972880809840982
51.603608548005354,0.9947582709758642,47.717216066957086,40,0.9997713074642068,369.0,779.0,76.0,343.0,702.0,20000,15,0.6791753850375605,7613,29153,46210,95.0,929.0,-818.0,9.0,107.0,2025,0.9972584893548682
51.56244640345762,0.9946356918488966,47.76523856892944,40,0.9997725436810164,370.0,783.0,76.0,343.0,702.0,30000,15,0.6723150276129386,7613,29153,46310,95.0,931.0,-818.0,9.0,107.0,2025,0.99719750245765
51.583027475731484,0.9952125324866355,47.5937296333139,50,0.9997133330973469,369.0,775.0,69.0,344.0,703.0,15000,5,0.8232428909546188,7613,29153,45878,88.0,891.0,-786.0,12.0,104.0,2025,0.9974578556093031
51.57959729701918,0.9951006734407591,47.70006517339554,50,0.9997374678361587,370.0,780.0,69.0,343.0,703.0,20000,5,0.7203375295852914,7613,29153,46006,88.0,891.0,-786.0,12.0,104.0,2025,0.9974136817645899
51.51785408019758,0.994921090329412,47.768668747641755,50,0.9997387040529683,370.0,785.0,69.0,343.0,703.0,30000,5,0.7134771721606695,7613,29153,46176,88.0,891.0,-786.0,12.0,104.0,2025,0.9973240793063421
51.64477069255308,0.9952910517626096,47.51140534421843,50,0.9997056631937438,368.0,775.0,77.0,344.0,703.0,15000,10,0.8438239632284842,7613,29153,45750,94.0,916.0,-813.0,10.0,104.0,2025,0.997493473060588
51.66192158611464,0.995206207328463,47.597159812026206,50,0.9997297979325556,369.0,779.0,77.0,344.0,703.0,20000,10,0.7409186018591568,7613,29153,45853,94.0,916.0,-813.0,10.0,104.0,2025,0.9974628739266562
51.6173292628546,0.9950560950976418,47.64861249271087,50,0.9997310341493651,370.0,784.0,77.0,344.0,703.0,30000,10,0.734058244434535,7613,29153,45983,94.0,916.0,-813.0,10.0,104.0,2025,0.9973880865815569
51.627619798991525,0.995328838856026,47.463382842246084,50,0.9996889813440079,368.0,775.0,77.0,344.0,703.0,15000,15,0.9089973587623915,7613,29153,45674,94.0,931.0,-826.0,9.0,104.0,2025,0.9975041455203918
51.6516310499777,0.9952519053200506,47.54227695262923,50,0.9997131160828197,369.0,779.0,77.0,344.0,703.0,20000,15,0.8060919973930641,7613,29153,45765,94.0,931.0,-826.0,9.0,104.0,2025,0.9974775225434334
51.610468905429975,0.9951211012154255,47.590299454601585,50,0.9997143522996292,370.0,783.0,77.0,344.0,703.0,30000,15,0.7992316399684424,7613,29153,45869,94.0,931.0,-826.0,9.0,104.0,2025,0.9974124386132133
51.60017836929304,0.9957369128881602,47.36390765958907,60,0.9996004734162025,368.0,773.0,86.0,344.0,705.0,15000,5,1.0359139711178953,7613,29153,45377,86.0,886.0,-791.0,12.0,104.0,2025,0.9976649526569507
51.596748190580726,0.9956243940621489,47.470243199670705,60,0.9996247150954667,369.0,779.0,85.0,344.0,705.0,20000,5,0.9330086097485679,7613,29153,45510,86.0,886.0,-791.0,12.0,104.0,2025,0.9976205444107801
51.54186533118376,0.9954424368061476,47.545707131341544,60,0.9996296095014697,370.0,783.0,85.0,344.0,705.0,30000,5,0.9124275374747024,7613,29153,45686,86.0,886.0,-791.0,12.0,104.0,2025,0.9975316292234709
51.655061228690016,0.9958154595696646,47.26786265564436,60,0.9995764279491695,368.0,772.0,93.0,344.0,705.0,15000,10,1.077076115665626,7613,29153,45246,92.0,911.0,-818.0,10.0,104.0,2025,0.9976923993721615
51.67221212225157,0.9957299924816099,47.35361712345213,60,0.9996006696284336,369.0,778.0,93.0,344.0,705.0,20000,10,0.9741707542962988,7613,29153,45354,92.0,911.0,-818.0,10.0,104.0,2025,0.9976615767545793
51.634480156416146,0.9955775368580528,47.411930161561415,60,0.9996055640344367,370.0,782.0,93.0,344.0,705.0,30000,10,0.9535896820224333,7613,29153,45490,92.0,911.0,-818.0,10.0,104.0,2025,0.9975874844026504
51.634480156416146,0.9958532805741703,47.216409974959696,60,0.9995550097485125,368.0,771.0,94.0,344.0,705.0,15000,15,1.1491098686241554,7613,29153,45169,94.0,924.0,-831.0,9.0,104.0,2025,0.9977007115786138
51.65849140740232,0.9957757606384583,47.29530408534285,60,0.9995792407420073,369.0,778.0,94.0,344.0,705.0,20000,15,1.046204507254828,7613,29153,45264,94.0,924.0,-831.0,9.0,104.0,2025,0.9976738756558685
51.62418962027922,0.9956426347615231,47.35018694473982,60,0.9995841351480104,370.0,781.0,94.0,344.0,705.0,30000,15,1.0256234349809625,7613,29153,45374,94.0,926.0,-831.0,9.0,104.0,2025,0.9976094918069975
