callsign_lookback_minutes,clean_match_pct,completeness,fragmented_pct,gap_minutes,homogeneity,land_err_p50_s,land_err_p90_s,land_signed_p10_s,land_signed_p50_s,land_signed_p90_s,low_alt_ft,low_alt_gap_minutes,merged_pct,n_apdf_flights,n_flights,n_tracks,off_err_p50_s,off_err_p90_s,off_signed_p10_s,off_signed_p50_s,off_signed_p90_s,period
15.0,88.43179916317992,0.9948611102287999,8.368200836820083,30,0.9985456036566586,407.0,931.0,67.0,359.0,785.0,5000,15,3.2,35398,89625,97684,136.0,1090.0,-886.0,-1.0,109.0,2025
20.0,88.56122733612273,0.9948613696289558,8.376011157601116,30,0.9986025344265621,406.0,929.0,67.0,359.0,784.0,5000,15,3.062761506276151,35398,89625,97754,136.0,1084.0,-881.0,-1.0,109.0,2025
25.0,89.14588563458857,0.9948615025390003,8.39721059972106,30,0.9988957387132765,406.0,919.0,67.0,359.0,779.0,5000,15,2.4569037656903765,35398,89625,98065,136.0,1056.0,-871.0,-1.0,109.0,2025
30.0,90.80278940027894,0.9948643013450438,8.45076708507671,30,0.9997387201153007,406.0,901.0,67.0,359.0,768.0,5000,15,0.7464435146443514,35398,89625,98876,136.0,991.0,-838.0,-1.0,109.0,2025
35.0,90.89205020920502,0.9948630903535369,8.566806136680613,30,0.9998396059719806,406.0,900.0,67.0,359.0,767.0,5000,15,0.5411436541143654,35398,89625,99071,135.0,982.0,-835.0,-1.0,109.0,2025
40.0,90.60976290097629,0.9948589628420296,8.878103207810321,30,0.999852201499298,406.0,900.0,67.0,359.0,767.0,5000,15,0.5121338912133891,35398,89625,99368,134.0,981.0,-831.0,-1.0,109.0,2025
50.0,88.81227336122734,0.9948309429115344,10.683403068340306,30,0.9998567121663933,406.0,900.0,67.0,359.0,767.0,5000,15,0.5043235704323571,35398,89625,101022,131.0,976.0,-829.0,0.0,109.0,2025
