apt_type,n_truth,n_answered,n_correct,n_aerodromes,role,coverage,accuracy,overall,run,period
large_airport,80683,60138,59271,331,arrivals,0.7453614763952754,0.9855831587349098,0.7346157183049713,legacy,2025
out of area,7964,42,0,1,arrivals,0.00527373179306881,0.0,0.0,legacy,2025
medium_airport,5983,3436,3293,346,arrivals,0.5742938325254889,0.9583818393480792,0.5503927795420358,legacy,2025
small_airport,352,91,0,70,arrivals,0.2585227272727273,0.0,0.0,legacy,2025
heliport,134,8,0,58,arrivals,0.05970149253731343,0.0,0.0,legacy,2025
large_airport,80661,60919,60450,331,departures,0.7552472694362827,0.992301252482805,0.7494328113958418,legacy,2025
out of area,7892,80,0,1,departures,0.01013684744044602,0.0,0.0,legacy,2025
medium_airport,6069,3069,2956,352,departures,0.5056846267918932,0.9631801889866406,0.48706541440105455,legacy,2025
small_airport,361,78,0,76,departures,0.21606648199445982,0.0,0.0,legacy,2025
heliport,133,15,0,65,departures,0.11278195488721804,0.0,0.0,legacy,2025
large_airport,80683,62411,61987,331,arrivals,0.7735334581014588,0.9932063258079505,0.7682783238104681,trend,2025
out of area,7964,38,0,1,arrivals,0.004771471622300351,0.0,0.0,trend,2025
medium_airport,5983,3826,3378,346,arrivals,0.6394785224803611,0.882906429691584,0.5645996991475848,trend,2025
small_airport,352,113,0,70,arrivals,0.3210227272727273,0.0,0.0,trend,2025
heliport,134,9,0,58,arrivals,0.06716417910447761,0.0,0.0,trend,2025
large_airport,80661,66074,65750,331,departures,0.8191567176206593,0.9950964070587524,0.815139906522359,trend,2025
out of area,7892,113,0,1,departures,0.014318297009630006,0.0,0.0,trend,2025
medium_airport,6069,3619,3373,352,departures,0.5963091118800461,0.9320254213871235,0.5557752512769814,trend,2025
small_airport,361,101,0,76,departures,0.27977839335180055,0.0,0.0,trend,2025
heliport,133,12,0,65,departures,0.09022556390977443,0.0,0.0,trend,2025
large_airport,80683,61753,60074,331,arrivals,0.7653780846027044,0.9728110375204444,0.7445682485777673,endpoint,2025
out of area,7964,368,138,1,arrivals,0.046207935710698145,0.375,0.017327975891511804,endpoint,2025
medium_airport,5983,4410,3985,346,arrivals,0.7370884171820157,0.9036281179138322,0.6660538191542704,endpoint,2025
small_airport,352,151,0,70,arrivals,0.4289772727272727,0.0,0.0,endpoint,2025
heliport,134,38,0,58,arrivals,0.2835820895522388,0.0,0.0,endpoint,2025
large_airport,80661,70360,69787,331,departures,0.8722926817173107,0.9918561682774304,0.8651888769045759,endpoint,2025
out of area,7892,967,629,1,departures,0.12252914343639128,0.6504653567735263,0.07970096300050684,endpoint,2025
medium_airport,6069,4634,4293,352,departures,0.7635524798154556,0.9264134656883901,0.7073652990608008,endpoint,2025
small_airport,361,134,0,76,departures,0.37119113573407203,0.0,0.0,endpoint,2025
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,endpoint,2025
large_airport,80683,73523,62632,331,arrivals,0.9112576379162897,0.8518694830189193,0.7762725729087911,nearest,2025
out of area,7964,4787,0,1,arrivals,0.6010798593671521,0.0,0.0,nearest,2025
medium_airport,5983,5539,4151,346,arrivals,0.9257897375898378,0.7494132514894385,0.6937990974427545,nearest,2025
small_airport,352,296,0,70,arrivals,0.8409090909090909,0.0,0.0,nearest,2025
heliport,134,84,0,58,arrivals,0.6268656716417911,0.0,0.0,nearest,2025
large_airport,80661,77870,71904,331,departures,0.9653983957550737,0.9233851290612559,0.8914345222598282,nearest,2025
out of area,7892,3238,0,1,departures,0.4102889001520527,0.0,0.0,nearest,2025
medium_airport,6069,5680,4518,352,departures,0.9359037732740155,0.7954225352112676,0.7444389520514088,nearest,2025
small_airport,361,289,0,76,departures,0.8005540166204986,0.0,0.0,nearest,2025
heliport,133,83,0,65,departures,0.6240601503759399,0.0,0.0,nearest,2025
large_airport,80683,61048,60703,331,arrivals,0.7566401844254675,0.994348709212423,0.7523641907217133,shipped,2025
out of area,7964,22,0,1,arrivals,0.0027624309392265192,0.0,0.0,shipped,2025
medium_airport,5983,3768,3328,346,arrivals,0.6297843891024569,0.8832271762208068,0.5562426876149089,shipped,2025
small_airport,352,107,0,70,arrivals,0.3039772727272727,0.0,0.0,shipped,2025
heliport,134,9,0,58,arrivals,0.06716417910447761,0.0,0.0,shipped,2025
large_airport,80661,70353,69786,331,departures,0.8722058987614832,0.9919406421900985,0.8651764793394577,shipped,2025
out of area,7892,920,628,1,departures,0.11657374556512924,0.6826086956521739,0.07957425240750127,shipped,2025
medium_airport,6069,4634,4293,352,departures,0.7635524798154556,0.9264134656883901,0.7073652990608008,shipped,2025
small_airport,361,134,0,76,departures,0.37119113573407203,0.0,0.0,shipped,2025
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,shipped,2025
large_airport,80683,60836,60489,331,arrivals,0.7540126172799723,0.9942961404431586,0.7497118352069209,reject_radius20,2025
out of area,7964,20,0,1,arrivals,0.0025113008538422904,0.0,0.0,reject_radius20,2025
medium_airport,5983,3752,3315,346,arrivals,0.6271101454120007,0.8835287846481876,0.5540698646164132,reject_radius20,2025
small_airport,352,85,0,70,arrivals,0.24147727272727273,0.0,0.0,reject_radius20,2025
heliport,134,10,0,58,arrivals,0.07462686567164178,0.0,0.0,reject_radius20,2025
large_airport,80661,70353,69786,331,departures,0.8722058987614832,0.9919406421900985,0.8651764793394577,reject_radius20,2025
out of area,7892,921,628,1,departures,0.11670045615813482,0.6818675352877307,0.07957425240750127,reject_radius20,2025
medium_airport,6069,4634,4293,352,departures,0.7635524798154556,0.9264134656883901,0.7073652990608008,reject_radius20,2025
small_airport,361,134,0,76,departures,0.37119113573407203,0.0,0.0,reject_radius20,2025
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,reject_radius20,2025
large_airport,80683,60912,60402,331,arrivals,0.754954575313263,0.9916272655634357,0.7486335411424959,reject_trend_ooa,2025
out of area,7964,235,213,1,arrivals,0.02950778503264691,0.9063829787234042,0.026745354093420392,reject_trend_ooa,2025
medium_airport,5983,3801,3322,346,arrivals,0.635300016714023,0.8739805314390949,0.5552398462309878,reject_trend_ooa,2025
small_airport,352,107,0,70,arrivals,0.3039772727272727,0.0,0.0,reject_trend_ooa,2025
heliport,134,9,0,58,arrivals,0.06716417910447761,0.0,0.0,reject_trend_ooa,2025
large_airport,80661,70353,69786,331,departures,0.8722058987614832,0.9919406421900985,0.8651764793394577,reject_trend_ooa,2025
out of area,7892,904,628,1,departures,0.11454637607704005,0.6946902654867256,0.07957425240750127,reject_trend_ooa,2025
medium_airport,6069,4634,4293,352,departures,0.7635524798154556,0.9264134656883901,0.7073652990608008,reject_trend_ooa,2025
small_airport,361,134,0,76,departures,0.37119113573407203,0.0,0.0,reject_trend_ooa,2025
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,reject_trend_ooa,2025
large_airport,80683,60636,60312,331,arrivals,0.7515337803502596,0.9946566396200277,0.7475180645241253,reject_margin2,2025
out of area,7964,18,0,1,arrivals,0.0022601707684580612,0.0,0.0,reject_margin2,2025
medium_airport,5983,3692,3254,346,arrivals,0.6170817315727896,0.8813651137594799,0.5438743105465486,reject_margin2,2025
small_airport,352,99,0,70,arrivals,0.28125,0.0,0.0,reject_margin2,2025
heliport,134,9,0,58,arrivals,0.06716417910447761,0.0,0.0,reject_margin2,2025
large_airport,80661,70353,69786,331,departures,0.8722058987614832,0.9919406421900985,0.8651764793394577,reject_margin2,2025
out of area,7892,920,628,1,departures,0.11657374556512924,0.6826086956521739,0.07957425240750127,reject_margin2,2025
medium_airport,6069,4634,4293,352,departures,0.7635524798154556,0.9264134656883901,0.7073652990608008,reject_margin2,2025
small_airport,361,134,0,76,departures,0.37119113573407203,0.0,0.0,reject_margin2,2025
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,reject_margin2,2025
