apt_type,n_truth,n_answered,n_correct,n_aerodromes,role,coverage,accuracy,overall,run,period
small_airport,380,114,0,72,departures,0.3,0.0,0.0,reject_trend_ooa,2024
heliport,182,12,0,77,departures,0.06593406593406594,0.0,0.0,reject_trend_ooa,2024
large_airport,78790,54010,53074,328,arrivals,0.6854930828785379,0.9826698759488983,0.6736134027160807,reject_margin2,2024
out of area,7408,57,0,1,arrivals,0.007694384449244061,0.0,0.0,reject_margin2,2024
medium_airport,6037,2956,2539,341,arrivals,0.48964717574954447,0.8589309878213802,0.4205731323505052,reject_margin2,2024
small_airport,375,89,0,69,arrivals,0.23733333333333334,0.0,0.0,reject_margin2,2024
heliport,189,0,0,78,arrivals,0.0,,0.0,reject_margin2,2024
large_airport,78751,62915,61985,330,departures,0.7989104900255235,0.9852181514742112,0.7871011161763025,reject_margin2,2024
out of area,7371,693,588,1,departures,0.09401709401709402,0.8484848484848485,0.07977207977207977,reject_margin2,2024
medium_airport,6115,3721,3411,340,departures,0.6085036794766967,0.916689062080086,0.5578086672117744,reject_margin2,2024
small_airport,380,114,0,72,departures,0.3,0.0,0.0,reject_margin2,2024
heliport,182,12,0,77,departures,0.06593406593406594,0.0,0.0,reject_margin2,2024
