airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run,period
OOA,7964,42,0,0,arrivals,0.0,0.0,legacy,2025
OOA,7892,80,0,0,departures,0.0,0.0,legacy,2025
LTFM,2282,1315,1311,1318,departures,0.5744960560911481,0.5775635407537248,legacy,2025
LTFM,2258,1887,1592,1598,arrivals,0.7050487156775908,0.7077059344552702,legacy,2025
EHAM,2148,2144,2144,2165,departures,0.9981378026070763,1.0079143389199254,legacy,2025
EHAM,2136,1929,1926,1930,arrivals,0.901685393258427,0.903558052434457,legacy,2025
EDDF,2094,2085,2030,2033,departures,0.9694364851957975,0.9708691499522445,legacy,2025
EDDF,2091,1835,1832,1834,arrivals,0.8761358201817312,0.877092300334768,legacy,2025
LFPG,2084,2067,2064,2074,departures,0.9904030710172744,0.9952015355086372,legacy,2025
LFPG,2066,1774,1773,1779,arrivals,0.8581800580832527,0.8610842207163601,legacy,2025
EGLL,2001,1989,1987,1989,departures,0.9930034982508745,0.9940029985007496,legacy,2025
EGLL,1986,1701,1697,1698,arrivals,0.8544813695871097,0.8549848942598187,legacy,2025
LEMD,1786,1614,1607,1611,arrivals,0.8997760358342665,0.9020156774916014,legacy,2025
LEMD,1773,1670,1666,1668,departures,0.9396503102086858,0.9407783417935702,legacy,2025
LEBL,1597,1529,1528,1530,arrivals,0.9567939887288667,0.9580463368816531,legacy,2025
LEBL,1591,1583,1582,1583,departures,0.994343180389692,0.9949717159019484,legacy,2025
EDDM,1573,1562,1560,1564,departures,0.9917355371900827,0.9942784488239034,legacy,2025
EDDM,1571,1486,1483,1484,arrivals,0.9439847231063018,0.9446212603437301,legacy,2025
LIRF,1449,1445,1445,1447,departures,0.9972394755003451,0.9986197377501725,legacy,2025
LTAI,1437,763,761,772,arrivals,0.5295755045233125,0.5372303409881698,legacy,2025
LEPA,1436,1385,1383,1387,arrivals,0.963091922005571,0.9658774373259053,legacy,2025
LTAI,1435,728,727,730,departures,0.5066202090592334,0.5087108013937283,legacy,2025
LIRF,1433,1297,1292,1296,arrivals,0.9016050244242847,0.9043963712491278,legacy,2025
LEPA,1417,1239,1238,1239,departures,0.8736767819336627,0.8743824982357092,legacy,2025
LGAV,1317,134,117,118,arrivals,0.0888382687927107,0.08959757023538345,legacy,2025
LGAV,1306,305,301,308,departures,0.2304747320061256,0.23583460949464014,legacy,2025
EGKK,1223,1218,1218,1218,departures,0.9959116925592805,0.9959116925592805,legacy,2025
EGKK,1220,1129,1129,1130,arrivals,0.9254098360655738,0.9262295081967213,legacy,2025
EIDW,1188,1110,1109,1111,arrivals,0.9335016835016835,0.9351851851851852,legacy,2025
EIDW,1185,1165,1164,1164,departures,0.9822784810126582,0.9822784810126582,legacy,2025
LSZH,1178,1167,1160,1166,departures,0.9847198641765704,0.9898132427843803,legacy,2025
LSZH,1160,1076,1068,1076,arrivals,0.9206896551724137,0.9275862068965517,legacy,2025
LOWW,1156,1145,1143,1153,departures,0.9887543252595156,0.9974048442906575,legacy,2025
EKCH,1152,1058,1058,1058,arrivals,0.9184027777777778,0.9184027777777778,legacy,2025
LOWW,1145,1074,1072,1078,arrivals,0.9362445414847161,0.9414847161572052,legacy,2025
EKCH,1140,1117,1117,1122,departures,0.9798245614035088,0.9842105263157894,legacy,2025
LTFJ,1138,1003,997,999,arrivals,0.8760984182776801,0.8778558875219684,legacy,2025
LTFJ,1137,1030,1030,1044,departures,0.9058927000879508,0.9182058047493403,legacy,2025
LPPT,1010,976,803,803,departures,0.7950495049504951,0.7950495049504951,legacy,2025
LPPT,1001,906,906,907,arrivals,0.9050949050949051,0.906093906093906,legacy,2025
LFPO,992,985,985,989,departures,0.9929435483870968,0.9969758064516129,legacy,2025
LFPO,991,949,949,950,arrivals,0.9576185671039354,0.958627648839556,legacy,2025
LIMC,973,969,966,968,departures,0.9928057553956835,0.9948612538540597,legacy,2025
LIMC,967,892,885,889,arrivals,0.9152016546018614,0.9193381592554292,legacy,2025
ENGM,940,886,885,899,arrivals,0.9414893617021277,0.9563829787234043,legacy,2025
ENGM,932,807,806,815,departures,0.8648068669527897,0.8744635193133047,legacy,2025
EGCC,926,919,918,920,departures,0.9913606911447084,0.9935205183585313,legacy,2025
EGCC,924,840,840,841,arrivals,0.9090909090909091,0.9101731601731602,legacy,2025
EGSS,888,846,841,844,arrivals,0.9470720720720721,0.9504504504504504,legacy,2025
EGSS,885,882,879,879,departures,0.9932203389830508,0.9932203389830508,legacy,2025
EPWA,880,783,780,780,arrivals,0.8863636363636364,0.8863636363636364,legacy,2025
EPWA,875,870,870,872,departures,0.9942857142857143,0.9965714285714286,legacy,2025
EBBR,872,868,868,878,departures,0.9954128440366973,1.0068807339449541,legacy,2025
EBBR,871,786,783,793,arrivals,0.8989667049368542,0.9104477611940298,legacy,2025
EDDB,870,851,848,861,departures,0.9747126436781609,0.9896551724137931,legacy,2025
LEMG,861,843,843,843,arrivals,0.9790940766550522,0.9790940766550522,legacy,2025
LEMG,850,846,846,848,departures,0.9952941176470588,0.9976470588235294,legacy,2025
ESSA,841,731,724,730,arrivals,0.8608799048751486,0.8680142687277052,legacy,2025
EDDB,840,797,795,800,arrivals,0.9464285714285714,0.9523809523809523,legacy,2025
ESSA,820,792,790,798,departures,0.9634146341463414,0.973170731707317,legacy,2025
EDDL,758,753,750,751,departures,0.9894459102902374,0.9907651715039578,legacy,2025
EDDL,751,732,730,735,arrivals,0.9720372836218375,0.9786950732356857,legacy,2025
LFMN,710,691,686,697,arrivals,0.9661971830985916,0.9816901408450704,legacy,2025
LFMN,707,697,691,694,departures,0.9773691654879774,0.9816124469589816,legacy,2025
LSGG,680,452,445,448,departures,0.6544117647058824,0.6588235294117647,legacy,2025
LSGG,670,650,648,658,arrivals,0.9671641791044776,0.982089552238806,legacy,2025
LKPR,667,659,658,663,departures,0.9865067466266867,0.9940029985007496,legacy,2025
EFHK,666,577,576,578,arrivals,0.8648648648648649,0.8678678678678678,legacy,2025
EFHK,659,654,654,659,departures,0.992412746585736,1.0,legacy,2025
LKPR,657,620,616,616,arrivals,0.9375951293759512,0.9375951293759512,legacy,2025
LEAL,599,598,598,598,departures,0.998330550918197,0.998330550918197,legacy,2025
LEAL,599,592,592,592,arrivals,0.988313856427379,0.988313856427379,legacy,2025
EGPH,584,553,553,556,arrivals,0.946917808219178,0.952054794520548,legacy,2025
LHBP,578,567,566,567,departures,0.9792387543252595,0.9809688581314879,legacy,2025
EGPH,577,573,571,571,departures,0.9896013864818024,0.9896013864818024,legacy,2025
LHBP,577,542,540,543,arrivals,0.9358752166377816,0.9410745233968805,legacy,2025
EGGW,552,532,529,535,arrivals,0.9583333333333334,0.9692028985507246,legacy,2025
EGGW,550,548,538,542,departures,0.9781818181818182,0.9854545454545455,legacy,2025
EDDH,538,532,529,529,departures,0.983271375464684,0.983271375464684,legacy,2025
EDDH,532,523,520,521,arrivals,0.9774436090225563,0.9793233082706767,legacy,2025
GCLP,521,0,0,0,arrivals,0.0,0.0,legacy,2025
GCLP,520,2,0,0,departures,0.0,0.0,legacy,2025
LLBG,516,457,456,458,arrivals,0.8837209302325582,0.8875968992248062,legacy,2025
EDDK,515,499,499,500,departures,0.9689320388349515,0.970873786407767,legacy,2025
LLBG,513,497,496,497,departures,0.9668615984405458,0.9688109161793372,legacy,2025
LPPR,513,509,508,508,departures,0.9902534113060428,0.9902534113060428,legacy,2025
LPPR,512,482,480,480,arrivals,0.9375,0.9375,legacy,2025
LEIB,509,490,490,491,arrivals,0.962671905697446,0.9646365422396856,legacy,2025
EDDK,509,488,484,484,arrivals,0.9508840864440079,0.9508840864440079,legacy,2025
LROP,509,496,495,496,arrivals,0.9724950884086444,0.9744597249508841,legacy,2025
LROP,504,495,495,496,departures,0.9821428571428571,0.9841269841269841,legacy,2025
LEIB,495,418,418,418,departures,0.8444444444444444,0.8444444444444444,legacy,2025
EGBB,474,468,467,467,departures,0.9852320675105485,0.9852320675105485,legacy,2025
EGBB,466,433,432,432,arrivals,0.927038626609442,0.927038626609442,legacy,2025
LIML,465,458,454,461,arrivals,0.9763440860215054,0.9913978494623656,legacy,2025
LIME,460,454,451,452,arrivals,0.9804347826086957,0.9826086956521739,legacy,2025
LIML,458,451,451,456,departures,0.9847161572052402,0.9956331877729258,legacy,2025
LIME,453,447,446,446,departures,0.9845474613686535,0.9845474613686535,legacy,2025
LIRN,449,4,0,0,departures,0.0,0.0,legacy,2025
LIRN,447,4,0,0,arrivals,0.0,0.0,legacy,2025
LFML,445,442,441,442,arrivals,0.9910112359550561,0.9932584269662922,legacy,2025
LFML,444,440,439,440,departures,0.9887387387387387,0.990990990990991,legacy,2025
EDDS,440,420,415,419,departures,0.9431818181818182,0.9522727272727273,legacy,2025
EDDS,433,414,414,420,arrivals,0.9561200923787528,0.9699769053117783,legacy,2025
LGIR,430,3,0,0,arrivals,0.0,0.0,legacy,2025
LGIR,424,0,0,0,departures,0.0,0.0,legacy,2025
LIPZ,412,407,407,408,departures,0.9878640776699029,0.9902912621359223,legacy,2025
LFLL,412,401,401,401,arrivals,0.9733009708737864,0.9733009708737864,legacy,2025
LFLL,411,406,406,406,departures,0.9878345498783455,0.9878345498783455,legacy,2025
LIPZ,409,390,390,393,arrivals,0.9535452322738386,0.960880195599022,legacy,2025
LPFR,407,403,402,404,arrivals,0.9877149877149877,0.9926289926289926,legacy,2025
LPFR,405,403,400,400,departures,0.9876543209876543,0.9876543209876543,legacy,2025
LYBE,395,374,374,376,arrivals,0.9468354430379747,0.9518987341772152,legacy,2025
LYBE,394,388,387,387,departures,0.9822335025380711,0.9822335025380711,legacy,2025
LICC,391,22,19,19,arrivals,0.04859335038363171,0.04859335038363171,legacy,2025
LICC,390,4,0,0,departures,0.0,0.0,legacy,2025
LTAC,381,2,0,0,departures,0.0,0.0,legacy,2025
LIPE,380,374,374,375,departures,0.9842105263157894,0.9868421052631579,legacy,2025
LIPE,376,373,372,372,arrivals,0.9893617021276596,0.9893617021276596,legacy,2025
LTAC,374,4,0,0,arrivals,0.0,0.0,legacy,2025
LCLK,368,319,316,317,departures,0.8586956521739131,0.8614130434782609,legacy,2025
LCLK,367,356,355,362,arrivals,0.9673024523160763,0.9863760217983651,legacy,2025
GMMN,360,148,147,149,departures,0.4083333333333333,0.41388888888888886,legacy,2025
EPKK,360,351,351,353,departures,0.975,0.9805555555555555,legacy,2025
EGGD,360,343,343,344,arrivals,0.9527777777777777,0.9555555555555556,legacy,2025
EGGD,359,357,357,357,departures,0.9944289693593314,0.9944289693593314,legacy,2025
LEVC,357,352,351,351,arrivals,0.9831932773109243,0.9831932773109243,legacy,2025
GMMN,357,266,266,272,arrivals,0.7450980392156863,0.7619047619047619,legacy,2025
ENBR,357,337,326,337,arrivals,0.9131652661064426,0.9439775910364145,legacy,2025
EPKK,356,307,306,307,arrivals,0.8595505617977528,0.8623595505617978,legacy,2025
LEVC,355,318,318,318,departures,0.895774647887324,0.895774647887324,legacy,2025
LFSB,354,349,348,350,departures,0.9830508474576272,0.9887005649717514,legacy,2025
LFSB,352,344,344,345,arrivals,0.9772727272727273,0.9801136363636364,legacy,2025
ENBR,349,342,337,353,departures,0.9656160458452722,1.011461318051576,legacy,2025
LTBJ,346,2,1,1,departures,0.002890173410404624,0.002890173410404624,legacy,2025
LGRP,346,316,315,316,arrivals,0.9104046242774566,0.9132947976878613,legacy,2025
