airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run,period
OOA,7408,66,0,0,arrivals,0.0,0.0,legacy,2024
OOA,7371,56,0,0,departures,0.0,0.0,legacy,2024
LFPG,2124,1884,1878,1887,departures,0.884180790960452,0.8884180790960452,legacy,2024
EHAM,2123,1935,1926,1938,departures,0.9072067828544512,0.9128591615638247,legacy,2024
EHAM,2119,1777,1767,1788,arrivals,0.8338839075035394,0.8437942425672487,legacy,2024
LFPG,2118,1657,1646,1658,arrivals,0.777148253068933,0.7828139754485364,legacy,2024
LTFM,2104,1082,1076,1079,departures,0.5114068441064639,0.5128326996197718,legacy,2024
LTFM,2073,1691,897,912,arrivals,0.43270622286541244,0.4399421128798842,legacy,2024
EGLL,2023,1856,1854,1854,departures,0.9164607019278299,0.9164607019278299,legacy,2024
EGLL,2017,1611,1600,1602,arrivals,0.7932573128408528,0.7942488844819038,legacy,2024
EDDF,1981,1838,1790,1797,departures,0.9035840484603735,0.9071176173649672,legacy,2024
EDDF,1973,1617,1602,1607,arrivals,0.8119614799797263,0.8144956918398378,legacy,2024
LEMD,1789,1490,1482,1489,arrivals,0.8283957518166574,0.8323085522638345,legacy,2024
LEMD,1788,1581,1577,1583,departures,0.8819910514541387,0.8853467561521253,legacy,2024
LEBL,1563,1443,1436,1440,departures,0.9187460012795905,0.9213051823416507,legacy,2024
LEBL,1563,1391,1385,1387,arrivals,0.8861164427383237,0.8873960332693538,legacy,2024
LIRF,1464,1208,1166,1173,arrivals,0.796448087431694,0.8012295081967213,legacy,2024
LIRF,1463,1319,1317,1326,departures,0.9002050580997949,0.9063568010936432,legacy,2024
EDDM,1459,1304,1290,1299,arrivals,0.884167237834133,0.890335846470185,legacy,2024
EDDM,1452,1358,1350,1359,departures,0.9297520661157025,0.9359504132231405,legacy,2024
LTAI,1327,118,114,116,departures,0.08590806330067823,0.08741522230595328,legacy,2024
LEPA,1320,629,622,627,arrivals,0.4712121212121212,0.475,legacy,2024
LTAI,1309,57,52,52,arrivals,0.03972498090145149,0.03972498090145149,legacy,2024
LEPA,1302,433,425,428,departures,0.32642089093702,0.32872503840245776,legacy,2024
LGAV,1283,177,143,145,arrivals,0.11145752143413874,0.11301636788776305,legacy,2024
LGAV,1273,377,366,370,departures,0.2875098193244305,0.2906520031421838,legacy,2024
EGKK,1261,1113,1113,1113,arrivals,0.8826328310864393,0.8826328310864393,legacy,2024
EGKK,1260,1183,1183,1184,departures,0.9388888888888889,0.9396825396825397,legacy,2024
LOWW,1171,1066,1059,1064,departures,0.9043552519214346,0.9086251067463706,legacy,2024
LOWW,1160,1001,996,1001,arrivals,0.8586206896551725,0.8629310344827587,legacy,2024
EKCH,1157,983,977,980,arrivals,0.8444252376836646,0.8470181503889369,legacy,2024
EKCH,1152,1014,1009,1010,departures,0.8758680555555556,0.8767361111111112,legacy,2024
LSZH,1138,1062,1051,1068,departures,0.9235500878734623,0.9384885764499121,legacy,2024
EIDW,1135,996,993,1002,arrivals,0.8748898678414097,0.8828193832599119,legacy,2024
EIDW,1134,1036,1032,1036,departures,0.91005291005291,0.9135802469135802,legacy,2024
LSZH,1122,987,976,988,arrivals,0.8698752228163993,0.8805704099821747,legacy,2024
ENGM,1093,990,985,1001,arrivals,0.9011893870082343,0.9158279963403476,legacy,2024
ENGM,1087,1005,1003,1017,departures,0.922723091076357,0.9356025758969642,legacy,2024
LPPT,988,883,836,836,departures,0.8461538461538461,0.8461538461538461,legacy,2024
