adep_accuracy,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,ades_accuracy,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,model,n_ground_truth
0.9816111060608028,0.8095693679296858,0.08297237057908238,0.9857191699760671,0.8718471980188939,0.8944365192582026,0.07944754181449569,0.794682282686404,0.007369948273686867,0.9563338709186623,0.6910088733756676,0.08372934101518147,0.959670013468838,0.7496787222324215,0.5516014234875445,0.01946258161727775,0.660835190714496,0.002954287396442239,"base (30 NM / 15,000 ft)",95116
0.9804798962386511,0.8105891753227638,0.08297237057908238,0.9852931512610564,0.8723172521324406,0.8944365192582026,0.07944754181449569,0.7947663905126372,0.007369948273686867,0.9552137423016543,0.6964969090373859,0.08372934101518147,0.9593033858124126,0.7550486506333761,0.5516014234875445,0.01946258161727775,0.6653034189831364,0.002954287396442239,+bearing 7 min / 0.10 deg,95116
0.979964231098209,0.8112410109760714,0.08297237057908238,0.9848960453906671,0.8729134183252316,0.8944365192582026,0.07944754181449569,0.7949871735564994,0.007369948273686867,0.9543682158288544,0.6983367677362379,0.08372934101518147,0.9586883357084381,0.7568615751789977,0.5516014234875445,0.01946258161727775,0.6664704150721225,0.002954287396442239,+bearing 7 min / 0.25 deg,95116
0.9793430146773316,0.8122923588039868,0.08297237057908238,0.9844795465875994,0.8738649912868018,0.8944365192582026,0.07944754181449569,0.7955128474704571,0.007369948273686867,0.9533111935924985,0.6996404390428529,0.08372934101518147,0.9578477372483729,0.7581007894253717,0.5516014234875445,0.01946258161727775,0.6669750620295218,0.002954287396442239,+bearing 7 min / 0.50 deg,95116
0.9785710592979372,0.8134488414146936,0.08297237057908238,0.9838443396226415,0.8749885352655232,0.8944365192582026,0.07944754181449569,0.7960174944278565,0.007369948273686867,0.9526803938047785,0.7005340846965811,0.08372934101518147,0.9573512737168343,0.7589613548742427,0.5516014234875445,0.01946258161727775,0.6673850876824089,0.002954287396442239,+bearing 7 min / 0.75 deg,95116
0.977699772868057,0.8146684048950755,0.08297237057908238,0.9833518748772986,0.875963037696047,0.8944365192582026,0.07944754181449569,0.7965011144286976,0.007369948273686867,0.9522467699871099,0.7014382438285882,0.08372934101518147,0.9569661920364806,0.7599022397650083,0.5516014234875445,0.01946258161727775,0.667942302031204,0.002954287396442239,+bearing 7 min / 1 deg,95116
0.9724660149393329,0.8205664662096808,0.08297237057908238,0.9813310735936379,0.8794024580390718,0.8944365192582026,0.07944754181449569,0.7979730013877792,0.007369948273686867,0.9506696328590412,0.704161234702889,0.08372934101518147,0.955732771591935,0.7625757297595006,0.5516014234875445,0.01946258161727775,0.6694247024685647,0.002954287396442239,+bearing 7 min / 2 deg,95116
0.9700695020085442,0.8244143992598512,0.08297237057908238,0.9796896305434712,0.8828418783820967,0.8944365192582026,0.07944754181449569,0.7997392657386769,0.007369948273686867,0.9491885942078567,0.7068106312292359,0.08372934101518147,0.9547792959668832,0.7650197356342942,0.5516014234875445,0.01946258161727775,0.6708965894276463,0.002954287396442239,+bearing 7 min / 3 deg,95116
0.9702537630012011,0.8228058370831406,0.08297237057908238,0.9798709240898327,0.8811107034761075,0.8944365192582026,0.07944754181449569,0.7983304596492704,0.007369948273686867,0.9451966283884989,0.7159468438538206,0.08372934101518147,0.9518663464674316,0.7740269873324765,0.5516014234875445,0.01946258161727775,0.6767105429160183,0.002954287396442239,+bearing 20 min / 1 deg,95116
0.9680446102333634,0.8258021783926994,0.08297237057908238,0.978055043967731,0.8839539576263413,0.8944365192582026,0.07944754181449569,0.7994133479120232,0.007369948273686867,0.9366428016906754,0.7312965221413853,0.08372934101518147,0.9467321165863108,0.7877386634844868,0.5516014234875445,0.01946258161727775,0.6849636233651542,0.002954287396442239,+bearing 30 min / 1 deg,95116
0.979475971237908,0.8129441944572943,0.08297237057908238,0.9841714929636521,0.8749656057965698,0.8944365192582026,0.07944754181449569,0.7962593044282771,0.007369948273686867,0.9539235442961257,0.6938790529458766,0.08372934101518147,0.9576401701712386,0.7524899026987333,0.5516014234875445,0.01946258161727775,0.6619075654989697,0.002954287396442239,+bearing 7 min / 1 deg +rate,95116
0.9753528355144984,0.8194204970772531,0.08297237057908238,0.9817177978019689,0.880445748876456,0.8944365192582026,0.07944754181449569,0.7992241053029985,0.007369948273686867,0.9522212655397955,0.6960027755582657,0.08372934101518147,0.9562790839137444,0.7545208371580686,0.5516014234875445,0.01946258161727775,0.6627486437613019,0.002954287396442239,+bearing 7 min / 3 deg +rate,95116
