flights,guess_right,median_align_deg,median_slope_ft_min,median_vr_ft_min,side,slope_vr_sign_agreement,window_min
9799,False,89.71056936115963,0.0,0.0,arrival,0.35979350591051923,2
3620,True,110.44253266935499,0.0,-704.0000010700803,arrival,0.35979350591051923,2
9805,False,88.13896135826303,0.0,0.0,arrival,0.36477094387564457,3
3629,True,109.21789786762531,0.0,-704.0000010700799,arrival,0.36477094387564457,3
9813,False,91.80466149123919,0.0,0.0,arrival,0.5412905632226781,5
3644,True,43.31126637459323,5.000000159999332,-704.0000010700802,arrival,0.5412905632226781,5
9839,False,66.9146956601534,0.0,-2.258823532845177,arrival,0.5787047364116291,7
3659,True,11.736096484339214,1581.2184085122622,-710.0235304910012,arrival,0.5787047364116291,7
9860,False,38.72347263512847,0.0,-2.151260507471597,arrival,0.548929550337062,10
3674,True,4.488359856139823,2330.00007456,-726.4000011041275,arrival,0.548929550337062,10
9873,False,19.555025144199817,0.0,-1.7679558037922654,arrival,0.5506357185097576,15
3677,True,2.2855169547966625,1465.00004688,-779.0063706108392,arrival,0.5506357185097576,15
9876,False,12.889804590013796,0.0,-1.0666666682880002,arrival,0.5673559822747415,20
3678,True,1.43983799813401,782.8947618947369,-856.266667968193,arrival,0.5673559822747415,20
9876,False,7.7698222452718255,0.0,-0.35457063765806096,arrival,0.617219227645278,30
3678,True,0.57968595173827,126.66667071999997,-994.5358505682954,arrival,0.617219227645278,30
6285,False,62.121631555468696,12.500000400001312,25.600000038912004,departure,0.7731958762886598,2
1459,True,9.13673503243541,1775.0000568,1958.4000029767685,departure,0.7731958762886598,2
6294,False,50.90846557209093,8.333333600000875,22.48648652066595,departure,0.7646905537459283,3
1463,True,7.933285237462002,1725.0000551999992,1904.4324353271709,departure,0.7646905537459283,3
6301,False,35.307398977317234,5.000000160000525,16.786885271417706,departure,0.7611241217798594,5
1463,True,6.362943454091692,1610.0000515200002,1760.524592839934,departure,0.7611241217798594,5
6302,False,25.9277962448908,3.5714286857146607,12.800000019456002,departure,0.7707304393033533,7
1464,True,5.195191900241809,1467.8571898285718,1619.576473049992,departure,0.7707304393033533,7
6303,False,18.073974728653695,2.5000000800002624,7.529411776150589,departure,0.7820280082987552,10
1465,True,4.152020474048527,1257.5000402399999,1400.5950434512204,departure,0.7820280082987552,10
6306,False,11.989455992763567,1.6666667199997773,4.243093929101437,departure,0.7875112888659528,15
1467,True,3.102798562939597,910.0000291200002,1072.7955817411455,departure,0.7875112888659528,15
6307,False,9.030497466606676,1.250000039999833,2.1333333365760003,departure,0.8047931967529958,20
1467,True,2.367365889029486,687.500022,822.6666679171199,departure,0.8047931967529958,20
6308,False,6.189480738825807,-0.0,0.5333333341440001,departure,0.8224768280123584,30
1468,True,1.8000017482000317,435.00001392,534.0444452561926,departure,0.8224768280123584,30
