flights,fresh_share,freshness,overall_t2pt_vs_ols,overall_vr_vs_ols,t2pt_vs_ols,vr_vs_ols,vr_zero_share,window_min
29242,0.10578814021635619,1. <30% fresh,0.47132541624395774,0.43041713910604523,0.4610833732302852,0.4123862936871623,0.44854206946949976,5
2645,0.10578814021635619,2. 30-60%,0.47132541624395774,0.43041713910604523,0.5379962192816635,0.5376181474480152,0.44854206946949976,5
947,0.10578814021635619,3. 60-90%,0.47132541624395774,0.43041713910604523,0.5670538542766631,0.545934530095037,0.44854206946949976,5
680,0.10578814021635619,4. >=90% fresh,0.47132541624395774,0.43041713910604523,0.5191176470588236,0.6279411764705882,0.44854206946949976,5
18381,0.28868059619281955,1. <30% fresh,0.5980334605224538,0.5188435573818608,0.5329416245035634,0.46635112344268537,0.4529001622109648,10
13397,0.28868059619281955,2. 30-60%,0.5980334605224538,0.5188435573818608,0.6861984026274539,0.5746062551317459,0.4529001622109648,10
1468,0.28868059619281955,3. 60-90%,0.5980334605224538,0.5188435573818608,0.6341961852861036,0.5844686648501363,0.4529001622109648,10
824,0.28868059619281955,4. >=90% fresh,0.5980334605224538,0.5188435573818608,0.5521844660194175,0.6662621359223301,0.4529001622109648,10
11960,0.4391789227776878,1. <30% fresh,0.6428263431741743,0.5756460746830713,0.5539297658862876,0.4975752508361204,0.46699533348679745,20
10451,0.4391789227776878,2. 30-60%,0.6428263431741743,0.5756460746830713,0.6043440819060377,0.5970720505214812,0.46699533348679745,20
11309,0.4391789227776878,3. 60-90%,0.6428263431741743,0.5756460746830713,0.775134848350871,0.624988946856486,0.46699533348679745,20
1067,0.4391789227776878,4. >=90% fresh,0.6428263431741743,0.5756460746830713,0.6138706654170571,0.717900656044986,0.46699533348679745,20
