accuracy,bearing_deg,correct,coverage,height_ft,overall,radius_nm,score_k1,score_k2,score_k3,wrong
0.9563338709186623,-1.0,62856,0.6910088733756676,15000,0.660835190714496,30,59986,57116,54246,2870
0.955221177500415,0.1,63292,0.6966125572984566,15000,0.6654190672442071,30,60325,57358,54391,2967
0.9543792049850238,0.25,63408,0.6985049833887044,15000,0.666638630724589,30,60377,57346,54315,3031
0.9523417133611003,1.0,63565,0.7017326212204046,15000,0.668289246814416,30,60384,57203,54022,3181
0.9688624065559414,-1.0,61951,0.6722528281256571,10000,0.6513204928718618,30,59960,57969,55978,1991
0.9676064415133526,0.1,62429,0.6783191050927289,10000,0.6563459354892973,30,60339,58249,56159,2090
0.9666980884239156,0.25,62556,0.6803376929223264,10000,0.6576811472307498,30,60401,58246,56091,2155
0.9642901063764373,1.0,62729,0.6839227890155178,10000,0.6594999789730435,30,60406,58083,55760,2323
0.9783658520775265,-1.0,60373,0.6487657176500273,8000,0.6347302241473569,20,59038,57703,56368,1335
0.9769681405986679,0.1,60870,0.6550422641826822,8000,0.6399554228520964,20,59435,58000,56565,1435
0.9760034555024076,0.25,61009,0.6571870137516296,8000,0.6414167963328988,20,59509,58009,56509,1500
0.9733373610824045,1.0,61220,0.6612662433239412,8000,0.6436351402498003,20,59543,57866,56189,1677
0.9509549067632342,-1.0,63287,0.6996824929559695,15000,0.6653664998528113,40,60023,56759,53495,3264
0.9498844404682025,0.1,63704,0.7050864207914547,15000,0.6697506202952185,40,60343,56982,53621,3361
0.9490660876806852,0.25,63819,0.7069683334034232,15000,0.6709596702973212,40,60394,56969,53544,3425
0.9470723221556,1.0,63970,0.7101328903654485,15000,0.6725472055174734,40,60395,56820,53245,3575
0.9654979485266691,-1.0,62124,0.6764792463938769,10000,0.6531393246141554,40,59904,57684,55464,2220
0.9642785625163666,0.1,62600,0.6825244964043904,10000,0.6581437402750326,40,60281,57962,55643,2319
0.9633856030471042,0.25,62727,0.684543084233988,10000,0.6594789520164851,40,60343,57959,55575,2384
0.9610084033613445,1.0,62898,0.6881071533706211,10000,0.6612767568022204,40,60346,57794,55242,2552
