month,adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth,days,cleaned
2024-06,0.984376902162886,0.2655524305218806,0.2614036789189539,0.9687522551778884,0.2986454595415899,0.289313462429552,0.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9860791708827769,0.35143697669155916,0.3465446825935624,0.9679249770649995,0.3171478140928243,0.3069752906820117,500.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.986165513792816,0.38790288688455693,0.3825364497462257,0.966898422926912,0.317729716915053,0.3072123622021789,1000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9859348387451239,0.3922671580512721,0.386749857218289,0.9664124724622946,0.3179452364788414,0.30726624209312603,2000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9855132109638653,0.39275207706979604,0.3870623605857822,0.9659944508357583,0.31847325941012294,0.3076434013297557,5000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9854965180676646,0.39304302848091033,0.3873425360187071,0.9658587702396647,0.3187857627776161,0.3079020248063018,8000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9854496629582945,0.39325854804469873,0.38753650362611664,0.9655184059439379,0.31907671418873046,0.3080744404573325,10000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9843583362957696,0.39406674640890527,0.38790288688455693,0.9641079117330463,0.32034827961508205,0.3088503108869708,15000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9840662494192244,0.39428226597269367,0.38799987068826175,0.9632987475235889,0.3209194064591213,0.3091412622980851,20000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9809954258331518,0.39578012694102305,0.3882584941648078,0.9560898595533336,0.32762206489294066,0.3132361340100648,1000000000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
