month,callsign_blank,callsign_null,callsign_padded,days,ends_at_window_edge,fragmented_flights,matched_flights,matched_tracks,max_duration_h,max_flights_per_track,max_tracks_per_flight,median_duration_h,merged_tracks,months,n_tracks,over_18h,p99_duration_h,p99_tracks_per_flight,single_sample,starts_at_window_edge,under_5min
2024-06,237,51469,114219,"2024-06-05,2024-06-06,2024-06-07",872,7852,79707,85006,71.99861111111112,7,8,1.5666666666666667,3254,202406,166617,40015,55.86527777777778,3,7549,789,22290
2025-06,302,51812,115623,"2025-06-05,2025-06-06,2025-06-07",945,8785,82982,88893,71.99722222222222,7,12,1.6277777777777778,3312,202506,168483,39031,55.74027777777778,3,7760,795,22116
