month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,OOA,7408,432,347,578,arrivals,0.046841252699784015,0.07802375809935205,,,,False,False,False
2024-06,OOA,7371,819,777,976,departures,0.10541310541310542,0.13241079907746575,,,,False,False,False
2024-06,LFPG,2124,1888,1885,1897,departures,0.8874764595103578,0.8931261770244822,large_airport,49.00896,2.554117,True,True,True
2024-06,EHAM,2123,1950,1947,1964,departures,0.917098445595855,0.9251059821008007,large_airport,52.308601,4.76389,True,True,True
2024-06,EHAM,2119,1672,1652,1671,arrivals,0.779613025011798,0.7885795186408683,large_airport,52.308601,4.76389,True,True,True
2024-06,LFPG,2118,1581,1570,1586,arrivals,0.7412653446647781,0.7488196411709159,large_airport,49.00896,2.554117,True,True,True
2024-06,LTFM,2104,1945,1938,1944,departures,0.9211026615969582,0.9239543726235742,large_airport,41.274874,28.732136,True,True,True
2024-06,LTFM,2073,1482,1455,1474,arrivals,0.7018813314037626,0.7110467920887602,large_airport,41.274874,28.732136,True,True,True
2024-06,EGLL,2023,1854,1853,1854,departures,0.9159663865546218,0.9164607019278299,large_airport,51.470748,-0.459909,True,True,True
2024-06,EGLL,2017,1470,1424,1458,arrivals,0.7059990084283589,0.7228557263262271,large_airport,51.470748,-0.459909,True,True,True
2024-06,EDDF,1981,1838,1835,1841,departures,0.9262998485613326,0.9293286219081273,large_airport,50.026706,8.55835,True,True,True
2024-06,EDDF,1973,1482,1461,1471,arrivals,0.7404967055245818,0.7455651292448049,large_airport,50.026706,8.55835,True,True,True
2024-06,LEMD,1789,1397,1383,1400,arrivals,0.7730575740637228,0.7825600894354388,large_airport,40.493407,-3.572249,True,True,True
2024-06,LEMD,1788,1614,1610,1615,departures,0.9004474272930649,0.9032438478747203,large_airport,40.493407,-3.572249,True,True,True
2024-06,LEBL,1563,1442,1438,1442,departures,0.9200255918106206,0.9225847728726807,large_airport,41.2971,2.07846,True,True,True
2024-06,LEBL,1563,1366,1358,1369,arrivals,0.8688419705694178,0.8758797184900832,large_airport,41.2971,2.07846,True,True,True
2024-06,LIRF,1464,1098,1094,1099,arrivals,0.7472677595628415,0.7506830601092896,large_airport,41.804532,12.251998,True,True,True
2024-06,LIRF,1463,1322,1320,1326,departures,0.9022556390977443,0.9063568010936432,large_airport,41.804532,12.251998,True,True,True
2024-06,EDDM,1459,1236,1214,1233,arrivals,0.8320767649074708,0.8450993831391364,large_airport,48.353802,11.7861,True,True,True
2024-06,EDDM,1452,1358,1354,1359,departures,0.9325068870523416,0.9359504132231405,large_airport,48.353802,11.7861,True,True,True
2024-06,LTAI,1327,1010,1007,1017,departures,0.758854559155991,0.7663903541823662,large_airport,36.898701,30.800501,True,True,True
2024-06,LEPA,1320,1146,1139,1151,arrivals,0.8628787878787879,0.871969696969697,large_airport,39.551701,2.73881,True,True,True
2024-06,LTAI,1309,645,618,619,arrivals,0.4721161191749427,0.47288006111535524,large_airport,36.898701,30.800501,True,True,True
2024-06,LEPA,1302,1167,1164,1164,departures,0.8940092165898618,0.8940092165898618,large_airport,39.551701,2.73881,True,True,True
2024-06,LGAV,1283,693,669,676,arrivals,0.5214341387373344,0.5268901013250195,large_airport,37.936401,23.9445,True,True,True
