month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,EGSS,898,731,730,730,departures,0.8129175946547884,0.8129175946547884,large_airport,51.884998,0.235,True,True,True
2024-06,EBBR,847,707,707,714,departures,0.8347107438016529,0.8429752066115702,large_airport,50.901402,4.48444,True,True,True
2024-06,ESSA,847,583,581,587,arrivals,0.6859504132231405,0.693034238488784,large_airport,59.64849,17.928829,True,True,True
2024-06,EBBR,839,625,620,637,arrivals,0.7389749702026222,0.7592371871275327,large_airport,50.901402,4.48444,True,True,True
2024-06,ESSA,830,591,590,592,departures,0.7108433734939759,0.7132530120481928,large_airport,59.64849,17.928829,True,True,True
2024-06,EPWA,817,687,687,689,departures,0.8408812729498164,0.8433292533659731,large_airport,52.165699,20.9671,True,True,True
2024-06,EPWA,806,624,620,624,arrivals,0.7692307692307693,0.7741935483870968,large_airport,52.165699,20.9671,True,True,True
2024-06,LEMG,775,75,68,68,arrivals,0.08774193548387096,0.08774193548387096,large_airport,36.6749,-4.49911,True,True,True
2024-06,LEMG,769,578,575,579,departures,0.7477243172951885,0.752925877763329,large_airport,36.6749,-4.49911,True,True,True
2024-06,EDDL,758,603,600,607,departures,0.7915567282321899,0.8007915567282322,large_airport,51.289501,6.76678,True,True,True
2024-06,EDDL,752,562,553,560,arrivals,0.7353723404255319,0.7446808510638298,large_airport,51.289501,6.76678,True,True,True
2024-06,LFMN,732,548,522,547,arrivals,0.7131147540983607,0.7472677595628415,large_airport,43.658401,7.21587,True,True,True
2024-06,LSGG,710,521,499,521,arrivals,0.7028169014084507,0.7338028169014085,large_airport,46.238098,6.10895,True,True,True
2024-06,LFMN,708,547,536,542,departures,0.7570621468926554,0.7655367231638418,large_airport,43.658401,7.21587,True,True,True
2024-06,LSGG,702,572,566,573,departures,0.8062678062678063,0.8162393162393162,large_airport,46.238098,6.10895,True,True,True
2024-06,EFHK,661,529,525,529,arrivals,0.794251134644478,0.800302571860817,large_airport,60.318363,24.963341,True,True,True
2024-06,EFHK,654,560,558,561,departures,0.8532110091743119,0.8577981651376146,large_airport,60.318363,24.963341,True,True,True
2024-06,LKPR,629,502,500,503,departures,0.794912559618442,0.7996820349761526,large_airport,50.100874,14.259911,True,True,True
2024-06,LKPR,610,458,452,456,arrivals,0.740983606557377,0.7475409836065574,large_airport,50.100874,14.259911,True,True,True
2024-06,EGGW,591,402,397,403,departures,0.6717428087986463,0.6818950930626058,large_airport,51.874699,-0.368333,True,True,True
2024-06,EGPH,590,408,399,403,arrivals,0.676271186440678,0.6830508474576271,large_airport,55.950145,-3.372288,True,True,True
2024-06,EGPH,588,435,434,436,departures,0.7380952380952381,0.7414965986394558,large_airport,55.950145,-3.372288,True,True,True
2024-06,EGGW,586,365,353,373,arrivals,0.6023890784982935,0.636518771331058,large_airport,51.874699,-0.368333,True,True,True
2024-06,EDDK,563,438,436,438,departures,0.7744227353463587,0.7779751332149201,large_airport,50.865898,7.14274,True,True,True
2024-06,EDDH,559,450,443,446,arrivals,0.7924865831842576,0.7978533094812165,large_airport,53.630402,9.98823,True,True,True
2024-06,EDDH,554,457,455,456,departures,0.8212996389891697,0.8231046931407943,large_airport,53.630402,9.98823,True,True,True
2024-06,EDDK,552,400,395,404,arrivals,0.7155797101449275,0.7318840579710145,large_airport,50.865898,7.14274,True,True,True
2024-06,LHBP,547,389,389,389,departures,0.7111517367458866,0.7111517367458866,large_airport,47.43018,19.262393,True,True,True
2024-06,LHBP,546,350,348,352,arrivals,0.6373626373626373,0.6446886446886447,large_airport,47.43018,19.262393,True,True,True
2024-06,LROP,527,356,355,355,departures,0.6736242884250474,0.6736242884250474,large_airport,44.571792,26.103285,True,True,True
2024-06,LROP,526,328,327,327,arrivals,0.6216730038022814,0.6216730038022814,large_airport,44.571792,26.103285,True,True,True
2024-06,LEAL,525,390,389,392,arrivals,0.7409523809523809,0.7466666666666667,large_airport,38.2822,-0.558156,True,True,True
2024-06,LEAL,523,391,391,393,departures,0.7476099426386233,0.751434034416826,large_airport,38.2822,-0.558156,True,True,True
2024-06,LIML,514,323,312,316,departures,0.6070038910505836,0.6147859922178989,large_airport,45.445099,9.27674,True,True,True
2024-06,GCLP,510,2,0,0,arrivals,0.0,0.0,large_airport,27.9319,-15.3866,True,True,True
2024-06,GCLP,507,0,0,0,departures,0.0,0.0,large_airport,27.9319,-15.3866,True,True,True
2024-06,LPPR,503,395,387,390,arrivals,0.7693836978131213,0.7753479125248509,large_airport,41.2481002808,-8.68138980865,True,True,True
2024-06,LPPR,498,415,415,417,departures,0.8333333333333334,0.8373493975903614,large_airport,41.2481002808,-8.68138980865,True,True,True
2024-06,LIML,497,289,272,299,arrivals,0.5472837022132797,0.6016096579476862,large_airport,45.445099,9.27674,True,True,True
2024-06,LIME,492,367,365,365,arrivals,0.741869918699187,0.741869918699187,large_airport,45.669362,9.708851,True,True,True
2024-06,LIME,487,371,371,371,departures,0.7618069815195072,0.7618069815195072,large_airport,45.669362,9.708851,True,True,True
2024-06,OMDB,486,3,0,0,arrivals,0.0,0.0,large_airport,25.24979,55.370992,False,True,False
2024-06,LLBG,483,353,337,341,departures,0.6977225672877847,0.7060041407867494,large_airport,32.011398,34.8867,True,True,True
2024-06,LLBG,475,242,162,163,arrivals,0.3410526315789474,0.3431578947368421,large_airport,32.011398,34.8867,True,True,True
2024-06,LFML,472,353,333,338,arrivals,0.7055084745762712,0.7161016949152542,large_airport,43.438088,5.2125,True,True,True
2024-06,OMDB,467,1,0,0,departures,0.0,0.0,large_airport,25.24979,55.370992,False,True,False
2024-06,LFML,467,355,354,356,departures,0.7580299785867237,0.7623126338329764,large_airport,43.438088,5.2125,True,True,True
2024-06,LIRN,452,0,0,0,departures,0.0,0.0,large_airport,40.886002,14.2908,True,True,True
2024-06,LIRN,451,3,0,0,arrivals,0.0,0.0,large_airport,40.886002,14.2908,True,True,True
2024-06,LEIB,451,336,325,336,arrivals,0.720620842572062,0.7450110864745011,large_airport,38.872898,1.37312,True,True,True
2024-06,EGBB,446,295,295,296,departures,0.6614349775784754,0.6636771300448431,large_airport,52.453899,-1.74803,True,True,True
2024-06,EGBB,441,256,252,256,arrivals,0.5714285714285714,0.5804988662131519,large_airport,52.453899,-1.74803,True,True,True
2024-06,LEIB,436,342,340,346,departures,0.7798165137614679,0.7935779816513762,large_airport,38.872898,1.37312,True,True,True
2024-06,LIPZ,429,325,317,327,arrivals,0.7389277389277389,0.7622377622377622,large_airport,45.505299,12.3519,True,True,True
2024-06,LFLL,424,108,26,26,arrivals,0.06132075471698113,0.06132075471698113,large_airport,45.725996,5.090139,True,True,True
2024-06,LFLL,422,330,330,330,departures,0.7819905213270142,0.7819905213270142,large_airport,45.725996,5.090139,True,True,True
2024-06,LIPZ,422,334,334,338,departures,0.7914691943127962,0.8009478672985783,large_airport,45.505299,12.3519,True,True,True
2024-06,KJFK,421,0,0,0,departures,0.0,0.0,large_airport,40.639447,-73.779317,False,True,False
2024-06,ENBR,417,268,268,273,departures,0.6426858513189448,0.6546762589928058,large_airport,60.2934,5.21814,True,True,True
2024-06,KJFK,417,2,0,0,arrivals,0.0,0.0,large_airport,40.639447,-73.779317,False,True,False
2024-06,ENBR,415,262,262,268,arrivals,0.6313253012048192,0.6457831325301204,large_airport,60.2934,5.21814,True,True,True
2024-06,EDDS,414,306,299,313,arrivals,0.7222222222222222,0.7560386473429952,large_airport,48.689899,9.22196,True,True,True
2024-06,EDDS,408,331,325,325,departures,0.7965686274509803,0.7965686274509803,large_airport,48.689899,9.22196,True,True,True
2024-06,LIPE,390,300,299,299,departures,0.7666666666666667,0.7666666666666667,large_airport,44.5354,11.2887,True,True,True
2024-06,LIPE,389,290,282,284,arrivals,0.7249357326478149,0.7300771208226221,large_airport,44.5354,11.2887,True,True,True
2024-06,OTHH,388,0,0,0,arrivals,0.0,0.0,large_airport,25.273056,51.608056,False,True,False
2024-06,LICC,387,1,1,1,departures,0.002583979328165375,0.002583979328165375,large_airport,37.466801,15.0664,True,True,True
2024-06,LICC,384,17,0,0,arrivals,0.0,0.0,large_airport,37.466801,15.0664,True,True,True
2024-06,OTHH,383,0,0,0,departures,0.0,0.0,large_airport,25.273056,51.608056,False,True,False
2024-06,LTAC,379,0,0,0,departures,0.0,0.0,large_airport,40.128101,32.995098,True,True,True
2024-06,EGGD,376,305,304,305,arrivals,0.8085106382978723,0.8111702127659575,large_airport,51.382326,-2.716453,True,True,True
2024-06,EGGD,375,316,315,315,departures,0.84,0.84,large_airport,51.382326,-2.716453,True,True,True
