adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth
0.9968977609927164,0.22879891371435626,0.2280891247994075,0.9964677222898903,0.25336378224910505,0.25246883100851747,0.0,1.0,32404
0.997008547008547,0.2888532279965436,0.2879891371435625,0.996633727874905,0.2841933094679669,0.2832366374521664,500.0,1.0,32404
0.9966652040368583,0.3516541167757067,0.3504814220466609,0.99645466265578,0.28724848784100726,0.2862300950499938,1000.0,1.0,32404
0.996689584924879,0.36356622639180347,0.3623626712751512,0.9964580873671782,0.2875262313294655,0.286507838538452,2000.0,1.0,32404
0.996439471007121,0.3640291322059005,0.3627329959264288,0.9964641594342655,0.28801999753116897,0.2870016047401555,5000.0,1.0,32404
0.99509762488378,0.3651092457721269,0.3633193432909517,0.9941388174807197,0.30011726947290457,0.29835822737933587,1000000000.0,1.0,32404
0.9967171717171717,0.24441426984322923,0.24361189976546105,0.995871268261698,0.2915072213306999,0.29030366621404763,0.0,2.0,32404
0.9969936114242766,0.328477965683249,0.327490433279842,0.9958674401970913,0.3883162572521911,0.38671151709665474,500.0,2.0,32404
0.9969248373024386,0.43152079990124675,0.4301938032341686,0.9953217271263134,0.4023885940007407,0.4005061103567461,1000.0,2.0,32404
0.9967322355353367,0.4816380693741513,0.48006418960622144,0.9951757408683667,0.40300580175287004,0.40106159733366253,2000.0,2.0,32404
0.996368732878894,0.4844155042587335,0.4826564621651648,0.9949614474387358,0.4042402172571288,0.40220343167510186,5000.0,2.0,32404
0.9946649730073039,0.48589680286384396,0.4833045303049006,0.9919608273039539,0.42226268361930624,0.4188680409825947,1000000000.0,2.0,32404
0.9967373572593801,0.24592642883594618,0.245124058758178,0.995945945945946,0.2968769287742254,0.2956733736575731,0.0,3.0,32404
0.9970279557908424,0.3322737933588446,0.3312862609554376,0.9960743648618621,0.416646093074929,0.4150104925317862,500.0,3.0,32404
0.9970084875469598,0.4435872114553759,0.44226021478829775,0.9955059335720806,0.4394827799037156,0.4375077150969016,1000.0,3.0,32404
0.9966803011441105,0.5205838785335144,0.5188556968275522,0.9949040139616055,0.44207505246265894,0.43982224416738674,2000.0,3.0,32404
0.9958747312765092,0.5311381310949266,0.5289470435748673,0.9942952553221094,0.4435872114553759,0.4410566596716455,5000.0,3.0,32404
