month,adep_accuracy,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,ades_accuracy,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth,days,cleaned,sched_penalty_nm,variant
2024-06,0.9863856845881058,0.2643670729210444,0.0794297352342158,0.9865633292616148,0.2779065411808775,0.8327974276527331,0.1054131054131054,0.260767896205778,0.0100539876507289,0.9719765081206496,0.2972445823769652,0.0798284464272244,0.9729064039408868,0.3185581618671756,0.6744639376218323,0.04670626349892,0.2889147512365435,0.0055280768111725,0.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9891542135264212,0.3497343721376308,0.0794297352342158,0.9893566623503774,0.3706396029404879,0.8789592760180995,0.1054131054131054,0.3459412278149549,0.0095259647194474,0.9714412750530133,0.3150680503022662,0.0798284464272244,0.972310784585528,0.3379278846716867,0.6744639376218323,0.04670626349892,0.3060701085141004,0.0055280768111725,500.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9892566134613238,0.3861679543960603,0.0794297352342158,0.9894418445382948,0.4102167907477642,0.8900343642611683,0.1054131054131054,0.3820192027931335,0.0094074289593637,0.9704014748054076,0.3156499531244949,0.0798284464272244,0.9712556208924248,0.3385602698176623,0.6744639376218323,0.04670626349892,0.3063071800342676,0.0055280768111725,1000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9889900662251656,0.390521449584586,0.0794297352342158,0.989167230873392,0.4149459193706981,0.8900343642611683,0.1054131054131054,0.3862218342870074,0.0094074289593637,0.9699099344978166,0.3158654726882833,0.0798284464272244,0.970756999654338,0.338794486538394,0.6744639376218323,0.04670626349892,0.3063610599252147,0.0055280768111725,2000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.988562766983602,0.3910063686031099,0.0794297352342158,0.9887301721466204,0.415472678747015,0.8900343642611683,0.1054131054131054,0.3865343376545005,0.0094074289593637,0.9694833282245156,0.3163934956195648,0.0798284464272244,0.9703233375892888,0.3393683175041866,0.6744639376218323,0.04670626349892,0.3067382191618444,0.0055280768111725,5000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9885437320995814,0.3912973200142243,0.0794297352342158,0.9887105855855856,0.4157887343728051,0.8900343642611683,0.1054131054131054,0.3868145130874255,0.0094074289593637,0.9693762972540748,0.3166952230088686,0.0798284464272244,0.970214086255042,0.339696220913211,0.6744639376218323,0.04670626349892,0.3069968426383905,0.0055280768111725,8000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9884949906418584,0.3915128395780127,0.0794297352342158,0.9886606640405178,0.4160228496511682,0.8900343642611683,0.1054131054131054,0.387008480694835,0.0094074289593637,0.9690634030256672,0.3169753984417935,0.0798284464272244,0.9699297327087352,0.3399889918141256,0.6744639376218323,0.04670626349892,0.3071692582894212,0.0055280768111725,10000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9875552869426664,0.3922563820730826,0.0794297352342158,0.987699738830071,0.4168305473615208,0.8900343642611683,0.1054131054131054,0.3873748639532753,0.0094074289593637,0.967694964613457,0.3182254119117663,0.0798284464272244,0.968606326768682,0.3413240271222962,0.6744639376218323,0.04670626349892,0.3079451287190595,0.0055280768111725,15000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9872872048325096,0.3924611256586817,0.0794297352342158,0.9874256202986416,0.4170529568759657,0.8900343642611683,0.1054131054131054,0.3874718477569801,0.0094074289593637,0.9669720428653528,0.3187642108212373,0.0798284464272244,0.9679386175241488,0.3418861472520523,0.6744639376218323,0.04670626349892,0.3082360801301738,0.0055280768111725,20000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9849173327493704,0.3936680352158967,0.0794297352342158,0.9858302996359564,0.4180128295172542,0.8900343642611683,0.1054131054131054,0.3877304712335262,0.0094074289593637,0.9602425206241924,0.3252513496912682,0.0798284464272244,0.964760974295051,0.3476127460739422,0.6744639376218323,0.04670626349892,0.312320175863964,0.0055280768111725,1000000000.0,1.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9870609292266388,0.2889901830838694,0.0794297352342158,0.987281460134486,0.3046425059699396,0.8327974276527331,0.1054131054131054,0.2852509186521406,0.0100539876507289,0.9728011963734928,0.3458765719458184,0.0798284464272244,0.9738850690721,0.3713037673759529,0.6744639376218323,0.04670626349892,0.3364691429864546,0.0055280768111725,0.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9901568668190318,0.4149182642054332,0.0794297352342158,0.990531759713566,0.4413658285339701,0.8819523269012486,0.1054131054131054,0.410834168471643,0.0094936367848791,0.974630438538042,0.4366534122134937,0.0798284464272244,0.975601854159398,0.4699090068039957,0.67578125,0.04670626349892,0.4255757066347698,0.0055173008329831,500.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
2024-06,0.9907302637305248,0.4952208536729922,0.0794297352342158,0.991185134327036,0.5285269466685396,0.8961937716262975,0.1054131054131054,0.4906302869642991,0.0093427730902272,0.973898619310143,0.4417504498970894,0.0798284464272244,0.9748756096359428,0.4754365214132637,0.67578125,0.04670626349892,0.4302201532344099,0.0055173008329831,1000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False,15,default
