month,side,truth,predicted,n,apart_nm,t_scheduled,p_scheduled,t_type,p_type,sched_to_unsched,sched_penalty_nm,variant
2024-06,ades,LLBG,OLBA,90,112.72129451337824,yes,yes,large_airport,large_airport,False,15,default
2024-06,adep,LCLK,OLBA,83,111.97351918305228,yes,yes,large_airport,large_airport,False,15,default
2024-06,ades,LCLK,OLBA,61,111.97351918305228,yes,yes,large_airport,large_airport,False,15,default
2024-06,adep,EGKB,EGLC,57,10.511711079981486,no,yes,medium_airport,medium_airport,False,15,default
2024-06,adep,OOA,LPPD,54,10807.282931871372,,yes,,large_airport,False,15,default
2024-06,ades,EGLF,EGLL,53,16.66285404213838,no,yes,medium_airport,large_airport,False,15,default
2024-06,ades,OOA,LPPD,52,10807.282931871372,,yes,,large_airport,False,15,default
2024-06,ades,LEBB,LEVT,50,26.40773447366533,yes,yes,large_airport,medium_airport,False,15,default
2024-06,ades,UDYZ,UDSG,43,43.69889253106842,yes,yes,large_airport,large_airport,False,15,default
2024-06,ades,EGKB,EGLC,36,10.511711079981486,no,yes,medium_airport,medium_airport,False,15,default
2024-06,ades,HECA,HE42,36,31.30256002694784,yes,no,large_airport,medium_airport,True,15,default
2024-06,ades,ENZV,ENHD,34,31.09269352103867,yes,yes,large_airport,medium_airport,False,15,default
2024-06,adep,OJAI,OLBA,32,128.480716787818,yes,yes,large_airport,large_airport,False,15,default
2024-06,ades,EGLL,EGLC,30,19.372073297764167,yes,yes,large_airport,medium_airport,False,15,default
2024-06,ades,OJAI,OLBA,30,128.480716787818,yes,yes,large_airport,large_airport,False,15,default
2024-06,ades,ENTC,ENSR,28,42.88421169047339,yes,yes,large_airport,medium_airport,False,15,default
2024-06,adep,EGWU,EGLL,26,5.17896360872294,no,yes,medium_airport,large_airport,False,15,default
2024-06,ades,LFMD,LFMN,25,13.130286069826292,no,yes,medium_airport,large_airport,False,15,default
2024-06,ades,EPGD,EPMB,25,31.574973650065647,yes,no,large_airport,medium_airport,True,15,default
2024-06,adep,LFMD,LFMN,24,13.130286069826292,no,yes,medium_airport,large_airport,False,15,default
2024-06,adep,ENLK,ENBO,24,55.75594807637389,yes,yes,medium_airport,large_airport,False,15,default
2024-06,ades,GMME,GMMY,23,16.74564093101195,yes,no,large_airport,medium_airport,True,15,default
2024-06,ades,ENLK,ENBO,23,55.75594807637389,yes,yes,medium_airport,large_airport,False,15,default
2024-06,ades,ENSK,ENBO,22,80.06151693595844,yes,yes,medium_airport,large_airport,False,15,default
2024-06,adep,ENTC,ENSR,21,42.88421169047339,yes,yes,large_airport,medium_airport,False,15,default
