month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,sched_penalty_nm,variant,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,LPPT,980,807,799,807,arrivals,0.8153061224489796,0.823469387755102,15,default,large_airport,38.7813,-9.13592,True,True,True
2024-06,LTFJ,971,833,829,837,arrivals,0.8537590113285273,0.8619979402677652,15,default,large_airport,40.898602,29.3092,True,True,True
2024-06,LIMC,971,720,707,717,arrivals,0.7281153450051493,0.7384140061791967,15,default,large_airport,45.6306,8.72811,True,True,True
2024-06,LFPO,952,847,847,850,departures,0.8897058823529411,0.8928571428571429,15,default,large_airport,48.729499,2.358963,True,True,True
2024-06,LIMC,952,869,865,868,departures,0.9086134453781513,0.9117647058823528,15,default,large_airport,45.6306,8.72811,True,True,True
2024-06,LFPO,946,782,781,786,arrivals,0.8255813953488372,0.8308668076109936,15,default,large_airport,48.729499,2.358963,True,True,True
2024-06,EDDB,942,824,802,821,arrivals,0.851380042462845,0.8715498938428875,15,default,large_airport,52.361738,13.502341,True,True,True
2024-06,EDDB,937,850,844,852,departures,0.9007470651013874,0.9092849519743864,15,default,large_airport,52.361738,13.502341,True,True,True
2024-06,EGCC,928,857,855,857,departures,0.9213362068965516,0.9234913793103448,15,default,large_airport,53.349375,-2.279521,True,True,True
2024-06,EGCC,925,747,737,744,arrivals,0.7967567567567567,0.8043243243243243,15,default,large_airport,53.349375,-2.279521,True,True,True
2024-06,EGSS,906,804,791,797,arrivals,0.8730684326710817,0.8796909492273731,15,default,large_airport,51.884998,0.235,True,True,True
2024-06,EGSS,898,838,836,836,departures,0.930957683741648,0.930957683741648,15,default,large_airport,51.884998,0.235,True,True,True
2024-06,EBBR,847,780,778,785,departures,0.9185360094451004,0.9268004722550176,15,default,large_airport,50.901402,4.48444,True,True,True
2024-06,ESSA,847,717,711,717,arrivals,0.8394332939787486,0.846517119244392,15,default,large_airport,59.64849,17.928829,True,True,True
2024-06,EBBR,839,703,693,710,arrivals,0.8259833134684148,0.8462455303933254,15,default,large_airport,50.901402,4.48444,True,True,True
2024-06,ESSA,830,730,727,730,departures,0.8759036144578313,0.8795180722891566,15,default,large_airport,59.64849,17.928829,True,True,True
2024-06,EPWA,817,776,775,778,departures,0.94859241126071,0.9522643818849448,15,default,large_airport,52.165699,20.9671,True,True,True
