month,adep_accuracy,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,ades_accuracy,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,airport_set,cleaned,days,ladder,max_fl,method,n_ground_truth,radius_nm,sched_penalty_nm,variant
2024-06,0.9758290674382372,0.7262470500759707,0.0794297352342158,0.9771088680605624,0.779322938614974,0.9224806201550388,0.0968660968660968,0.7086929816054053,0.0083406071186111,0.943854855638672,0.6468065388635653,0.0798284464272244,0.9459314325988823,0.697860430256116,0.6876513317191283,0.0383369330453563,0.6104914923652195,0.0044504789922305,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M7_abstain,92799,30.0,0,default
2024-06,0.9800335744952684,0.7253634198644382,0.0794297352342158,0.9813667398562276,0.7783630659736854,0.9224806201550388,0.0968660968660968,0.7108805051778575,0.0083406071186111,0.9563968057736644,0.645028502462311,0.0798284464272244,0.95857032275435,0.6959281423100795,0.6876513317191283,0.0383369330453563,0.6169031993879245,0.0044504789922305,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M7_abstain,92799,30.0,10,default
2024-06,0.975485842185668,0.6066229161952176,0.0794297352342158,0.9764224751066856,0.6583321627569415,0.0,0.0,0.5917520662938178,0.0,0.9439540321557396,0.59449994073212,0.0798284464272244,0.9449474696521566,0.6453958848122168,0.0,0.0,0.5611806161704329,0.0,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M0_current,92799,30.0,15,default
2024-06,0.8650673694273275,0.834157695664824,0.0794297352342158,0.8963430957862611,0.8745142107973967,0.0,0.0,0.7216026034763305,0.0,0.7854719957927951,0.8196209010872962,0.0798284464272244,0.8255900724116965,0.8474429389514118,0.0,0.0,0.6437892649705277,0.0,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M1_traffic,92799,30.0,15,default
2024-06,0.9770101344690248,0.2732680309055054,0.0794297352342158,0.9804899283707308,0.2957929484478157,0.0,0.0,0.2669856356210735,0.0,0.9640510106212924,0.3033545620103665,0.0798284464272244,0.9703936782636678,0.3275169514351629,0.0,0.0,0.2924492720826733,0.0,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M2_on_ground,92799,30.0,15,default
2024-06,0.97084163935534,0.637873252944536,0.0794297352342158,0.9726820351376052,0.6915999438123331,0.0,0.0,0.6192739145895969,0.0,0.9501159050477096,0.5996724102630416,0.0798284464272244,0.951449497039823,0.6507828693890457,0.0,0.0,0.5697582948092113,0.0,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M3_vert_rate,92799,30.0,15,default
2024-06,0.7692339066005031,0.7926270757227988,0.0794297352342158,0.793640329345097,0.8345390270169031,0.0,0.0,0.6097156219355812,0.0,0.7239738818686187,0.7905149839976724,0.0798284464272244,0.7784650562851783,0.7989600777599513,0.0,0.0,0.5723122016401039,0.0,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M5_min_alt,92799,30.0,15,default
2024-06,0.8449687716863289,0.8540501514024935,0.0794297352342158,0.8902951342727998,0.8805075619234911,0.0,0.0,0.7216457073890883,0.0,0.7541517338852153,0.8539316156424099,0.0798284464272244,0.8156853110583354,0.8580061130564111,0.0,0.0,0.6439940085561267,0.0,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",m1-m0-m3-m2-m5,40.0,M6_cascade,92799,30.0,15,default
2024-06,0.9821114980504212,0.7240810784598972,0.0794297352342158,0.983472693032015,0.7769700800674252,0.9224806201550388,0.0968660968660968,0.7111283526762142,0.0083406071186111,0.9563202623126338,0.6441448722507785,0.0798284464272244,0.9584800741427248,0.6949795645911162,0.6876513317191283,0.0383369330453563,0.6160087931982026,0.0044504789922305,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M7_abstain,92799,30.0,15,default
2024-06,0.9553351978981268,0.7628745999418097,0.0794297352342158,0.9634329336693812,0.8034953411059605,0.9677627337201804,0.2036358703025369,0.7288009569068632,0.0167135421717906,0.6707245437420244,0.5319992672334831,0.0798284464272244,0.6767981052894004,0.5636893817849656,0.8322981366459627,0.0723542116630669,0.3568249657862692,0.0069397299539865,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M8_extrapolate,92799,30.0,15,default
