bias_s,coverage_pct,det_type,mad_s,milestone,n_detected,n_truth,p90_abs_s,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
,0.0,AIBT,,ALDT,0,11657,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,AOBT,0,11674,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ATOT,0,11675,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-65.0,87.59,AIBT,70.0,AIBT,10210,11657,305.0,V00_v3_shipped,1287,11.04,6374,54.68,9159,78.57,3188,27.35,4782,41.02
5.0,95.92,ALDT,15.0,ALDT,11181,11657,45.0,V00_v3_shipped,4786,41.06,11109,95.3,11122,95.41,8703,74.66,11025,94.58
,0.0,ALDT,,AOBT,0,11674,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,ATOT,0,11675,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,AIBT,0,11657,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,ALDT,0,11657,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62.0,90.13,AOBT,70.0,AOBT,10522,11674,440.0,V00_v3_shipped,1038,8.89,6227,53.34,7929,67.92,3038,26.02,4980,42.66
,0.0,AOBT,,ATOT,0,11675,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,AIBT,0,11657,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,ALDT,0,11657,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,AOBT,0,11674,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25.0,89.78,ATOT,25.0,ATOT,10482,11675,60.0,V00_v3_shipped,3387,29.01,10416,89.22,10419,89.24,6420,54.99,9707,83.14
,0.0,ATOT,,AIBT,0,11657,,V00_v3_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,4.81,landing,20.0,ALDT,561,11657,55.0,V00_v3_shipped,132,1.13,558,4.79,558,4.79,380,3.26,526,4.51
