bias_s,coverage_pct,mad_s,median_pos_error_nm,milestone,n_compared,n_detected,n_truth,p90_abs_s,p90_pos_error_nm,period,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
0.10091805458068848,94.96,1.8882179260253906,0.17497987156114733,xing-100nm,10847,10847,11423,7.277431011199951,0.8234353541544613,2026,V06_runway_milestones,10042,87.91,10201,89.3,10209,89.37,10196,89.26,10198,89.28
0.18908309936523438,96.56,2.0204639434814453,0.09726229272494696,xing-40nm,11086,11086,11481,7.338284015655518,0.5972495323894681,2026,V06_runway_milestones,10158,88.48,10562,92.0,10565,92.02,10559,91.97,10560,91.98
